attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,149,299,141,0.00621192822442272,0.00643794474828286,0.0363842780686906,1,2500
2,149,141,141,0.00621192822442272,0.078543043129691,11.6439070594686,0,2500
3,74,141,55,0.00621192822442272,0.00438076199867974,-0.294782257551463,1,2500
4,74,55,55,0.00621192822442272,0.0781772805587501,11.5850263773798,0,2500
5,37,55,13,0.00621192822442272,0.00596366788070366,-0.0399651017767719,1,2500
6,37,13,13,0.00621192822442272,0.0783062209123713,11.6057832742664,0,2500
7,18,13,13,0.00621192822442272,0.0782169809320083,11.5914173677171,0,2500
8,9,13,13,0.00621192822442272,0.0781846811344297,11.5862177265732,0,2500
9,4,13,13,0.00621192822442272,0.0889115466102267,13.3130350831588,0,2500
10,2,13,13,0.00621192822442272,0.0884536576893413,13.2393238449823,0,2500
11,1,13,13,0.00621192822442272,0.097117770404031,14.6340780020935,0,2500
