attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,149,299,136,0.00532525781479428,0.00387719942255999,-0.27192268291901,1,2500
2,149,136,136,0.00532525781479428,0.0781929306031169,13.6834075123812,0,2500
3,74,136,48,0.00532525781479428,0.00521772991250017,-0.0201920556776386,1,2500
4,74,48,48,0.00532525781479428,0.0781763788709699,13.680299356359,0,2500
5,37,48,48,0.00532525781479428,0.0783847869341257,13.7194351260069,0,2500
6,18,48,48,0.00532525781479428,0.00672220802752373,0.262325367393206,0,2500
7,9,48,35,0.00532525781479428,0.00546478342595077,0.0262007241731788,1,2500
8,9,35,35,0.00532525781479428,0.00659393737037784,0.238238147279743,0,2500
9,4,35,29,0.00532525781479428,0.00575041911288293,0.079838631832528,1,2500
10,4,29,29,0.00532525781479428,0.00990973772694203,0.860893513814759,0,2500
11,2,29,29,0.00532525781479428,0.00602603472937509,0.131594927222858,0,2500
12,1,29,23,0.00532525781479428,0.00500942393539618,-0.0593086551642009,1,2500
13,1,23,23,0.00532525781479428,0.0108289704943168,1.03351102818581,0,2500
