seed,canonical,structural,a,b,rel_ab,R_hat,R_err,test_acc,baseline_acc,dense_n,pruned_n,dense_e,pruned_e,quad,fidelity_max,fidelity_pass,reason
1,1,1,-9.51693738142721,-9.51693738142721,0,0.202904133561105,0.188383465755578,0.933774834437086,0.966887417218543,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
2,1,1,-9.57948320085481,-9.57948320085481,0,0.199339530449697,0.202641878201211,0.927152317880795,0.970198675496689,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
3,1,1,-9.48360758198641,-9.48360758198641,0,0.198836782075932,0.204652871696271,0.897350993377483,0.804635761589404,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
4,1,1,-9.70738385308375,-9.70738385308375,0,0.204011329917603,0.183954680329589,0.927152317880795,0.804635761589404,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
5,1,1,-9.68187545474149,-9.68187545474149,0,0.20572148869237,0.177114045230519,0.933774834437086,0.801324503311258,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
6,1,1,-9.49666943858709,-9.49666943858709,0,0.198103791121639,0.207584835513444,0.923841059602649,0.804635761589404,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
7,1,1,-9.51358224776926,-9.51358224776926,0,0.199432084083992,0.202271663664032,0.923841059602649,0.804635761589404,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
8,1,1,-9.71967561384844,-9.71967561384844,0,0.201905584462611,0.192377662149556,0.917218543046358,0.841059602649007,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
9,1,1,-1.10021457272203,-1.02330871111378,0.0724323224460576,0.252100525291416,0.00840210116566542,0.980132450331126,0.854304635761589,25,9,299,20,2,0,1,canonical centred quadratic h with a~b
10,1,1,-9.5066209764129,-9.5066209764129,0,0.198179388559902,0.207282445760393,0.917218543046358,0.804635761589404,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
11,1,1,-9.64933321540154,-9.64933321540154,0,0.202308998487433,0.190764006050267,0.887417218543046,0.811258278145695,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
12,1,1,-9.61198362154344,-9.61198362154344,0,0.205160453176495,0.17935818729402,0.937086092715232,0.804635761589404,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
13,1,1,-9.55034615425339,-9.55034615425339,0,0.206289878299276,0.174840486802896,0.927152317880795,0.798013245033113,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
14,1,1,0.603816895369355,0.656457147359492,0.0835377865534011,0.25498022289471,0.01992089157884,0.996688741721854,0.804635761589404,25,20,299,56,8,0,1,canonical centred quadratic h with a~b
15,1,1,-9.52656847826547,-9.52656847826547,0,0.197853889504631,0.208584441981475,0.917218543046358,0.80794701986755,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
16,1,1,-9.66169007523032,-9.66169007523032,0,0.204400610203129,0.182397559187485,0.937086092715232,0.794701986754967,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
17,1,1,-9.40351261152431,-9.40351261152431,0,0.197424279670531,0.210302881317875,0.920529801324503,0.804635761589404,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
18,1,1,-0.929395413755741,-0.926891728888728,0.00269751894466744,null,null,0.990066225165563,0.804635761589404,25,25,299,288,12,0,1,canonical centred quadratic h with a~b
19,1,1,-9.61127736748993,-9.61127736748993,0,0.199137730202665,0.20344907918934,0.927152317880795,0.80794701986755,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
20,1,1,-9.40963780411199,-9.40963780411199,0,0.200279538827954,0.198881844688185,0.927152317880795,0.804635761589404,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
21,1,1,-9.54787268468879,-9.54787268468879,0,0.209517721921156,0.161929112315375,0.933774834437086,0.804635761589404,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
22,1,1,-0.661395696476497,-0.643669557519005,0.0271651381464989,null,null,0.990066225165563,0.781456953642384,25,25,299,277,12,0,1,canonical centred quadratic h with a~b
23,1,1,-10.0084305644723,-10.0084305644723,0,0.208047674425006,0.167809302299975,0.913907284768212,0.804635761589404,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
24,1,1,-0.893841036435791,-0.927985801815751,0.0374840952642116,null,null,0.983443708609272,0.791390728476821,25,15,299,43,5,0,1,canonical centred quadratic h with a~b
25,1,1,-9.57607775477969,-9.57607775477969,0,0.198365464312656,0.206538142749378,0.913907284768212,0.804635761589404,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
26,1,1,-9.78168469782144,-9.78168469782144,0,0.209068947034621,0.163724211861518,0.95364238410596,0.804635761589404,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
27,1,1,-9.77823393672664,-9.77823393672664,0,0.204028036654608,0.183887853381566,0.943708609271523,0.804635761589404,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
28,1,1,-9.75962421052112,-9.75962421052112,0,0.207024080995825,0.1719036760167,0.947019867549669,0.771523178807947,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
29,1,1,-9.60092464777869,-9.60092464777869,0,0.200070558846937,0.199717764612251,0.93046357615894,0.943708609271523,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
30,1,1,-9.58029523400212,-9.58029523400212,0,0.201916457842026,0.192334168631896,0.910596026490066,0.794701986754967,25,4,299,3,1,0,1,canonical centred quadratic h with a~b
