attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,276,1.15746483874415E-05,3.22303286608617E-05,1.78456222444144,0,10000
2,69,276,174,1.15746483874415E-05,1.00845347505129E-05,-0.128739430093224,1,10000
3,69,174,174,1.15746483874415E-05,3.76426250657819E-05,2.2521614312383,0,10000
4,34,174,174,1.15746483874415E-05,1.75876872094582E-05,0.519500776243085,0,10000
5,17,174,157,1.15746483874415E-05,7.67624807925852E-06,-0.336805074131908,1,10000
6,17,157,129,1.15746483874415E-05,7.29516631879157E-06,-0.369728904533565,1,10000
7,17,129,129,1.15746483874415E-05,1.65862220913514E-05,0.432978483333232,0,10000
8,8,129,129,1.15746483874415E-05,2.07658322217327E-05,0.794078880552739,0,10000
9,4,129,125,1.15746483874415E-05,9.98698263825005E-06,-0.137167514385499,1,10000
10,4,125,121,1.15746483874415E-05,8.91597138019852E-06,-0.229698295641332,1,10000
11,4,121,117,1.15746483874415E-05,6.10852491984237E-06,-0.472249634254971,1,10000
12,4,117,117,1.15746483874415E-05,1.39078084950158E-05,0.201575031005328,0,10000
13,2,117,115,1.15746483874415E-05,6.71165131015477E-06,-0.420142099743013,1,10000
14,2,115,99,1.15746483874415E-05,6.2248280923027E-06,-0.46220153874768,1,10000
15,2,99,97,1.15746483874415E-05,9.11808662031673E-06,-0.2122364053659,1,10000
16,2,97,95,1.15746483874415E-05,5.40486497849941E-06,-0.533042836587272,1,10000
17,2,95,93,1.15746483874415E-05,4.26312780078628E-06,-0.631684034098888,1,10000
18,2,93,91,1.15746483874415E-05,4.48094275474217E-06,-0.612865755852767,1,10000
19,2,91,89,1.15746483874415E-05,3.05061153804306E-06,-0.736440241126204,1,10000
20,2,89,87,1.15746483874415E-05,1.78982018744651E-06,-0.84536720878809,1,10000
21,2,87,85,1.15746483874415E-05,1.73268221968049E-06,-0.850303684251831,1,10000
22,2,85,83,1.15746483874415E-05,1.91279657425499E-06,-0.83474257616928,1,10000
23,2,83,81,1.15746483874415E-05,2.03382165594716E-06,-0.824286527947246,1,10000
24,2,81,79,1.15746483874415E-05,7.34679767011831E-07,-0.936526817712324,1,10000
25,2,79,77,1.15746483874415E-05,1.03453871038133E-06,-0.910620290504565,1,10000
26,2,77,75,1.15746483874415E-05,1.96312801791089E-06,-0.830394155208993,1,10000
27,2,75,69,1.15746483874415E-05,2.61756995197377E-06,-0.773853177707426,1,10000
28,2,69,67,1.15746483874415E-05,2.92299049329369E-06,-0.747466152279396,1,10000
29,2,67,65,1.15746483874415E-05,2.65731821430162E-06,-0.77041909824364,1,10000
30,2,65,63,1.15746483874415E-05,1.76400370853936E-06,-0.847597641890072,1,10000
31,2,63,61,1.15746483874415E-05,3.75246631795569E-06,-0.675802997002734,1,10000
32,2,61,59,1.15746483874415E-05,1.37484182084926E-06,-0.881219560644196,1,10000
33,2,59,57,1.15746483874415E-05,1.69456460060723E-06,-0.853596883129009,1,10000
34,2,57,55,1.15746483874415E-05,6.2635624173101E-07,-0.945885505912162,1,10000
35,2,55,52,1.15746483874415E-05,4.21346911067745E-07,-0.963597433203681,1,10000
36,2,52,50,1.15746483874415E-05,1.59353622649016E-07,-0.986232530154271,1,10000
37,2,50,48,1.15746483874415E-05,2.57506842045727E-07,-0.977752512782581,1,10000
38,2,48,46,1.15746483874415E-05,2.52862802183492E-07,-0.978153737917616,1,10000
39,2,46,43,1.15746483874415E-05,6.35428112103843E-07,-0.945101735203181,1,10000
40,2,43,40,1.15746483874415E-05,4.2664413582666E-07,-0.963139775693785,1,10000
41,2,40,32,1.15746483874415E-05,2.51722630766176E-07,-0.978252243840142,1,10000
42,2,32,27,1.15746483874415E-05,4.28804648450589E-06,-0.629531166652249,1,10000
43,2,27,25,1.15746483874415E-05,2.70769999253761E-06,-0.766066328591419,1,10000
44,2,25,19,1.15746483874415E-05,1.16946296641045E-06,-0.898963413205768,1,10000
45,2,19,14,1.15746483874415E-05,6.89570664633316E-06,-0.404240507744927,1,10000
46,2,14,12,1.15746483874415E-05,3.74675123894996E-06,-0.676296755328207,1,10000
47,2,12,12,1.15746483874415E-05,3.40090140960629E-05,1.93823302079419,0,10000
48,1,12,12,1.15746483874415E-05,2.37258638216848E-05,1.0498129210929,0,10000
