r,A,r_scaled,A_scaled
398,497660,0.796,1.99064
488,748172,0.976,2.992688
463,673452,0.926,2.693808
359,404936,0.718,1.619744
295,273428,0.59,1.093712
378,448884,0.756,1.795536
203,129488,0.406,0.517952
372,434780,0.744,1.73912
305,292288,0.61,1.169152
393,485200,0.786,1.9408
444,619336,0.888,2.477344
285,255208,0.57,1.020832
283,251640,0.566,1.00656
465,679356,0.93,2.717424
288,260600,0.576,1.0424
433,589016,0.866,2.356064
386,468124,0.772,1.872496
500,785456,1,3.141824
468,688028,0.936,2.752112
319,319704,0.638,1.278816
340,363176,0.68,1.452704
467,685144,0.934,2.740576
315,311756,0.63,1.247024
486,742064,0.972,2.968256
297,277128,0.594,1.108512
287,258796,0.574,1.035184
337,356792,0.674,1.427168
351,387064,0.702,1.548256
420,554148,0.84,2.216592
412,533260,0.824,2.13304
473,702856,0.946,2.811424
477,714868,0.954,2.859472
458,659024,0.916,2.636096
341,365284,0.682,1.461136
489,751208,0.978,3.004832
267,223996,0.534,0.895984
450,636160,0.9,2.54464
242,184028,0.484,0.736112
401,505216,0.802,2.020864
492,760464,0.984,3.041856
344,371756,0.688,1.487024
324,329804,0.648,1.319216
469,691096,0.938,2.764384
379,451224,0.758,1.804896
495,769848,0.99,3.079392
449,633372,0.898,2.533488
233,170580,0.466,0.68232
409,525556,0.818,2.102224
470,694032,0.94,2.776128
498,779152,0.996,3.116608
215,145232,0.43,0.580928
217,147948,0.434,0.591792
327,335956,0.654,1.343824
255,204296,0.51,0.817184
471,696972,0.942,2.787888
200,125676,0.4,0.502704
368,425488,0.736,1.701952
427,572848,0.854,2.291392
226,160480,0.452,0.64192
487,745120,0.974,2.98048
308,298032,0.616,1.192128
211,139916,0.422,0.559664
231,167652,0.462,0.670608
273,234148,0.546,0.936592
419,551560,0.838,2.20624
440,608228,0.88,2.432912
461,667648,0.922,2.670592
228,163340,0.456,0.65336
314,309784,0.628,1.239136
452,641896,0.904,2.567584
346,376148,0.692,1.504592
212,141192,0.424,0.564768
292,267888,0.584,1.071552
328,337960,0.656,1.35184
204,130768,0.408,0.523072
227,161892,0.454,0.647568
472,699928,0.944,2.799712
234,171988,0.468,0.687952
370,430112,0.74,1.720448
280,246288,0.56,0.985152
360,407188,0.72,1.628752
431,583644,0.862,2.334576
289,262376,0.578,1.049504
375,441788,0.75,1.767152
483,732920,0.966,2.93168
369,427740,0.738,1.71096
247,191676,0.494,0.766704
318,317700,0.636,1.2708
363,413996,0.726,1.655984
439,605480,0.878,2.42192
334,350520,0.668,1.40208
336,354680,0.672,1.41872
