attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,120,9.09094644069614E-06,8.04348159455972E-06,-0.115220659693626,1,10000
2,138,120,120,9.09094644069614E-06,0.428016852550337,47080.6603466384,0,10000
3,69,120,32,9.09094644069614E-06,1.37804539014515E-07,-0.984841562986487,1,10000
4,69,32,32,9.09094644069614E-06,0.420259355506083,46227.3391776205,0,10000
5,34,32,32,9.09094644069614E-06,0.408484168424569,44932.073920221,0,10000
6,17,32,14,9.09094644069614E-06,1.28123933997454E-07,-0.985906425163402,1,10000
7,17,14,14,9.09094644069614E-06,0.436891518792661,48056.869622561,0,10000
8,8,14,2,9.09094644069614E-06,3.7127144160603E-09,-0.999591603092122,1,10000
9,8,2,2,9.09094644069614E-06,0.412680323033979,45393.6490308855,0,10000
10,4,2,2,9.09094644069614E-06,0.450070459197317,49506.5471111073,0,10000
11,2,2,2,9.09094644069614E-06,0.44147745142656,48561.3201397668,0,10000
12,1,2,2,9.09094644069614E-06,0.428551630262698,47139.4856533157,0,10000
