seed,canonical,structural,near_zero_b,k_canonical,b,k_ols,pi_error,linear_contam,dense_neurons,pruned_neurons,dense_edges,pruned_edges,sq_linear,quad_sigmoid,val_loss,test_rmse,fidelity_max,fidelity_pass,reason
1,1,1,1,3.14164304807633,9.92172403780747,3.14164304807632,1.60410632730659E-05,0,24,3,276,2,1,0,2.58385043975751E-09,21.3367370454717,2.22044604925031E-15,1,canonical A = b + k r^2
2,1,1,1,3.14165909080182,9.00856314474405,3.14165909080182,2.11476213999315E-05,0,24,3,276,2,1,0,3.4482606221242E-09,19.2729859988093,4.44089209850063E-15,1,canonical A = b + k r^2
3,1,1,1,3.14164709900353,9.77839602333611,3.14164709900353,1.73305134499962E-05,0,24,3,276,2,1,0,3.50106002564245E-09,19.657232626343,8.88178419700125E-16,1,canonical A = b + k r^2
4,1,1,1,3.14164075172354,9.73078345270638,3.14164075172354,1.53101114790699E-05,0,24,3,276,2,1,0,3.76210029381637E-09,18.229618865459,1.77635683940025E-15,1,canonical A = b + k r^2
5,1,1,1,3.14164870182155,10.4769089569627,3.14164870182155,1.78407062701294E-05,0,24,3,276,2,1,0,2.24770505873095E-09,19.1798418599283,3.5527136788005E-15,1,canonical A = b + k r^2
6,1,1,1,3.14164994891225,9.57883285844725,3.14164994891225,1.82376675686375E-05,0,24,3,276,2,1,0,3.34457823901496E-09,18.4745285661433,3.99680288865056E-15,1,canonical A = b + k r^2
7,1,1,1,3.14163597349378,11.3673789443629,3.14163597349378,1.37891537084726E-05,0,24,3,276,2,1,0,3.00689904231858E-09,18.9042371622134,3.10862446895044E-15,1,canonical A = b + k r^2
8,1,1,1,3.14165043797662,9.45485295934139,3.14165043797662,1.83933415925539E-05,0,24,3,276,2,1,0,2.98290822270371E-09,20.3784575345874,4.44089209850063E-15,1,canonical A = b + k r^2
9,1,1,1,3.14165052316327,9.4490426720779,3.14165052316327,1.8420457348021E-05,0,24,3,276,2,1,0,3.95361860937158E-09,21.9523788375401,3.99680288865056E-15,1,canonical A = b + k r^2
10,1,1,1,3.1416555994881,9.81826347920592,3.1416555994881,2.00363017258443E-05,0,24,3,276,2,1,0,3.23201443003217E-09,21.9394000885581,4.44089209850063E-16,1,canonical A = b + k r^2
11,1,1,1,3.14169930171829,3.29565791028913,3.14169930171829,3.39471536440997E-05,0,24,3,276,2,1,0,3.6327721930366E-09,18.6620416707879,6.21724893790088E-15,1,canonical A = b + k r^2
12,1,1,1,3.14164728332002,9.92336705523524,3.14164728332001,1.73891832102656E-05,0,24,3,276,2,1,0,3.18422180178079E-09,18.8406079996579,1.33226762955019E-15,1,canonical A = b + k r^2
13,1,1,1,3.14166050061834,8.2216829993999,3.14166050061834,2.15963799341057E-05,0,24,3,276,2,1,0,3.84402785081148E-09,21.3428717896705,1.33226762955019E-15,1,canonical A = b + k r^2
14,1,1,1,3.14165159747438,9.47479560683448,3.14165159747438,1.87624211951233E-05,0,24,3,276,2,1,0,2.80305361051796E-09,20.8132623669147,3.5527136788005E-15,1,canonical A = b + k r^2
15,1,1,1,3.14165225456295,8.82934731774911,3.14165225456296,1.8971578983406E-05,0,24,3,276,2,1,0,3.90930281006414E-09,21.5158875962331,4.88498130835069E-15,1,canonical A = b + k r^2
16,1,1,1,3.14165780571134,8.21021472350872,3.14165780571135,2.07385643954266E-05,0,24,3,276,2,1,0,2.48940131209173E-09,21.147409564893,4.44089209850063E-15,1,canonical A = b + k r^2
17,1,1,1,3.14165019162838,9.30447308001905,3.14165019162838,1.83149265127327E-05,0,24,3,276,2,1,0,3.7488751698511E-09,18.2842426468716,3.10862446895044E-15,1,canonical A = b + k r^2
18,1,1,1,3.14164760717302,10.7318819775642,3.14164760717301,1.74922688214031E-05,0,24,3,276,2,1,0,3.76509698016152E-09,22.8216171699102,2.66453525910038E-15,1,canonical A = b + k r^2
19,1,1,1,3.14164252756716,10.2278317084895,3.14164252756716,1.58753800599644E-05,0,24,3,276,2,1,0,3.32383337928035E-09,21.5211049703679,3.10862446895044E-15,1,canonical A = b + k r^2
20,1,1,1,3.14164418771251,9.98492533983985,3.14164418771251,1.64038207361247E-05,0,24,3,276,2,1,0,2.73281728817278E-09,19.5122347559823,4.44089209850063E-16,1,canonical A = b + k r^2
21,1,1,1,3.14158854498335,20.094836817322,3.14158854498336,1.30781004785246E-06,0,24,3,276,2,1,0,3.7127144160603E-09,22.2808382957575,8.43769498715119E-15,1,canonical A = b + k r^2
