index,funno,ihono,bias
0,1,1,0
1,1,3,0.234564713636445
2,1,3,-0.07754777694509
3,1,3,-0.41254966422045
4,1,3,0.453832362996655
5,1,3,-0.329061193266611
6,2,3,-0.218832585990989
7,2,3,0.268358168085353
8,2,3,-0.0756112727482756
9,2,3,-0.28568649174854
10,2,3,-0.462793396444506
11,2,3,0.258809073802791
12,4,3,-0.479408380045378
13,4,3,-0.511346086437118
14,4,3,0.0172480534847344
15,4,3,-0.134834761584203
16,4,3,-0.234045118373417
17,7,3,0.220960141791604
18,7,3,-0.14243422156338
19,7,3,0.258981058550812
20,7,3,-0.333197543474145
21,7,3,-0.356085749204693
22,7,3,-0.208456350076844
23,1,2,-0.101660726207165
