index,src,dst,weight
0,0,1,-0.534555078881301
1,0,2,0.189991000733416
2,0,3,-0.786078018887696
3,0,4,-0.348382784262367
4,0,5,0.492020145946522
5,0,7,0.820639673663416
6,0,8,-0.320743178794888
7,0,9,0.196759065838157
8,0,11,-0.700354761753171
9,0,12,0.196448925977643
10,0,13,-0.206192806594996
11,0,14,-0.250366645494111
12,0,15,-0.465678284859097
13,0,16,0.446257785876482
14,1,2,0.231343341365048
15,1,4,-0.233884164862884
16,1,5,0.411412600389588
17,1,6,-0.356959139216396
18,1,7,0.401916482835079
19,1,10,-0.350007105385379
20,1,11,-0.340841998431958
21,1,12,-0.245060673323937
22,1,13,-0.326307995212401
23,1,14,-0.164028602552804
24,2,3,0.334922232314707
25,2,5,0.230628970492827
26,2,6,0.388820639596882
27,2,7,-0.366773891229346
28,2,9,-0.178021064700655
29,2,10,-0.330616395114936
30,2,15,-0.328848630482304
31,2,16,0.20044437239063
32,3,4,0.332505509784862
33,3,6,-0.216895869700977
34,3,7,-0.153113404644292
35,3,8,-0.30817827873917
36,3,11,-0.301118280784675
37,3,13,-0.273261584999152
38,3,14,-0.365704505043867
39,3,15,-0.342639898629448
40,4,5,0.342599957819076
41,4,7,-0.196604300264819
42,4,9,0.416466097080373
43,4,10,0.419211247404209
44,4,11,-0.167268212422581
45,4,12,0.238691451013183
46,4,13,-0.339473324790393
47,4,15,-0.359854051495206
48,5,6,0.322765392594312
49,5,7,-0.2707702708939
50,5,8,-0.407851851743997
51,5,10,0.369129999181778
52,5,11,0.196287832639299
53,5,12,-0.438492925492652
54,5,15,0.210505383510691
55,5,16,0.149966899193266
56,6,8,-0.227542373004222
57,6,9,-0.195258865062703
58,6,11,-0.261104962062872
59,6,14,-0.286307878551428
60,7,8,0.221740608813807
61,7,9,-0.333870957297902
62,7,10,0.169743122321145
63,7,11,0.360511492096907
64,7,13,-0.237926421537814
65,7,14,-0.498307247720663
66,7,15,-0.43039393950453
67,7,16,0.774024698614335
68,8,9,-0.326547660028675
69,8,10,-0.460307738215369
70,8,15,-0.410778765826813
71,9,10,-0.43322325494836
72,9,12,-0.411054410859505
73,9,13,-0.367043166458508
74,9,14,-0.429271195195875
75,9,15,-0.302389958423252
76,10,11,0.296836197927289
77,10,12,-0.321798313565415
78,10,15,-0.337074030671748
79,11,13,-0.267867806342229
80,11,15,-0.244599175220689
81,11,16,-0.713971481382308
82,12,13,-0.191363262158253
83,13,15,-0.292107759778187
84,13,16,-0.478163420100919
85,14,15,0.18410496067312
86,14,16,-0.340013991826588
87,15,16,-0.720762733080866
