epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,active_neurons,active_connections,learning_rate,random_seed
1,0.00561952036986445,0.00541870603473135,0.965079365079365,0.940298507462687,24,276,0.05,2
50,2.41438706238238E-05,1.93579186778097E-05,0.996825396825397,1,24,276,0.05,2
100,1.55041044808639E-07,1.05151241881718E-07,1,1,24,276,0.05,2
150,5.30068812653289E-08,4.60829350350288E-08,1,1,24,276,0.05,2
200,4.26596404944466E-08,4.55405693019681E-08,1,1,24,276,0.05,2
250,3.46584750012203E-08,3.28108835186176E-08,1,1,24,276,0.05,2
300,5.45829727296014E-08,5.03469834314322E-08,1,1,24,276,0.05,2
350,4.63969141303775E-08,4.13589591733521E-08,1,1,24,276,0.05,2
400,7.99382000081838E-08,8.99014371129381E-08,1,1,24,276,0.05,2
epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,active_neurons,active_connections,learning_rate,random_seed
1,0.0025003649739067,0.00235068018739575,0.965079365079365,0.955223880597015,24,276,0.05,2
50,6.25496681736022E-05,5.50788701300414E-05,0.993650793650794,1,24,276,0.05,2
100,6.27716015728984E-05,5.4747684056726E-05,0.996825396825397,1,24,276,0.05,2
150,2.57137407323931E-05,2.26185654810708E-05,0.993650793650794,1,24,276,0.05,2
200,1.18359921928773E-05,1.09022970657785E-05,0.996825396825397,1,24,276,0.05,2
250,7.399464708961E-06,7.16983078808052E-06,0.996825396825397,1,24,276,0.05,2
300,5.67978043983533E-06,5.09755368323982E-06,0.996825396825397,1,24,276,0.05,2
350,3.29493071821368E-06,2.00329947642156E-06,1,1,24,276,0.05,2
400,2.07931179045833E-06,1.7547354036266E-06,1,1,24,276,0.05,2
