attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,125,6.32669800587132E-05,3.38841387034313E-05,-0.464426171883248,1,10000
2,138,125,125,6.32669800587132E-05,0.464305149957035,7337.82270856217,0,10000
3,69,125,23,6.32669800587132E-05,4.57427150515424E-05,-0.276989118034525,1,10000
4,69,23,23,6.32669800587132E-05,0.578620806185662,9144.69978919001,0,10000
5,34,23,23,6.32669800587132E-05,0.408316077983317,6452.85756684435,0,10000
6,17,23,6,6.32669800587132E-05,3.56674742114326E-08,-0.999436238711278,1,10000
7,17,6,6,6.32669800587132E-05,0.46039827001908,7276.07043376844,0,10000
8,8,6,6,6.32669800587132E-05,0.417668356639707,6600.67999566442,0,10000
9,4,6,6,6.32669800587132E-05,0.28609254754496,4520.98836232517,0,10000
10,2,6,4,6.32669800587132E-05,3.11840392854769E-08,-0.99950710403347,1,10000
11,2,4,2,6.32669800587132E-05,4.32313544778683E-08,-0.999316683767144,1,10000
12,2,2,2,6.32669800587132E-05,0.299723599332228,4736.44122216799,0,10000
13,1,2,2,6.32669800587132E-05,0.394625817575213,6236.46885356296,0,10000
