attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,276,2.1717325702983E-07,9.40381141254937E-07,3.33009641295645,0,10000
2,69,276,207,2.1717325702983E-07,1.15740526710955E-07,-0.46705902792139,1,10000
3,69,207,207,2.1717325702983E-07,1.03138798326426E-06,3.7491482025459,0,10000
4,34,207,173,2.1717325702983E-07,9.65137045803047E-08,-0.555591209063794,1,10000
5,34,173,139,2.1717325702983E-07,2.01134296121792E-07,-0.0738532963376567,1,10000
6,34,139,139,2.1717325702983E-07,1.43497346304957E-06,5.60750537462568,0,10000
7,17,139,122,2.1717325702983E-07,1.37455085619044E-07,-0.367071767956383,1,10000
8,17,122,122,2.1717325702983E-07,2.43439773205402E-06,10.2094728667243,0,10000
9,8,122,122,2.1717325702983E-07,2.11206237662189E-06,8.72524152148159,0,10000
10,4,122,122,2.1717325702983E-07,3.13555210723129E-06,13.4380212836271,0,10000
11,2,122,122,2.1717325702983E-07,1.58676736108234E-06,6.30645836777401,0,10000
12,1,122,122,2.1717325702983E-07,1.64593160978758E-06,6.5788871627113,0,10000
9100,1,122,122,2.1717325702983E-07,2.75627961449433E-07,0.269161614183343,0,3000
9101,1,122,122,2.1717325702983E-07,3.11048249423603E-07,0.432258527949778,0,3000
9102,1,122,109,2.1717325702983E-07,1.28364131942591E-07,-0.408932141562164,1,3000
9103,1,109,109,2.1717325702983E-07,2.77765696262569E-06,11.7900506748129,0,3000
9104,1,109,103,2.1717325702983E-07,1.08913561201689E-07,-0.498494599697749,1,3000
9105,1,103,97,2.1717325702983E-07,1.50124205414111E-07,-0.308735304395742,1,3000
9106,1,97,97,2.1717325702983E-07,5.06003481668182E-07,1.32995299968578,0,3000
9107,1,97,97,2.1717325702983E-07,5.28880469292088E-07,1.43529280043649,0,3000
9108,1,97,88,2.1717325702983E-07,2.35395283379036E-07,0.083905479884677,1,3000
9109,1,88,82,2.1717325702983E-07,7.06661660881264E-08,-0.674609263338441,1,3000
9110,1,82,74,2.1717325702983E-07,8.60315605361479E-08,-0.603857483592784,1,3000
9111,1,74,74,2.1717325702983E-07,3.67228359968208E-07,0.690946505065156,0,3000
9112,1,74,74,2.1717325702983E-07,1.88016855991807E-06,7.65745895987471,0,3000
9113,1,74,74,2.1717325702983E-07,2.51249462104561E-06,10.5690792476373,0,3000
9114,1,74,74,2.1717325702983E-07,4.84766312793396E-07,1.23216393870637,0,3000
9115,1,74,74,2.1717325702983E-07,1.17456795714247E-06,4.40843736105657,0,3000
9200,1,74,74,2.1717325702983E-07,3.89466572463239E-07,0.793344990031365,0,3000
9201,1,74,73,2.1717325702983E-07,2.2564361561978E-07,0.0390027699809583,1,3000
9202,1,73,73,2.1717325702983E-07,3.60612227450807E-07,0.660481738786443,0,3000
