r,A,r_scaled,A_scaled
369,427740,0.738,1.71096
336,354680,0.672,1.41872
257,207544,0.514,0.830176
318,317700,0.636,1.2708
324,329804,0.648,1.319216
389,475452,0.778,1.901808
431,583644,0.862,2.334576
494,766700,0.988,3.0668
286,257008,0.572,1.028032
306,294168,0.612,1.176672
296,275260,0.592,1.10104
326,333868,0.652,1.335472
447,627768,0.894,2.511072
331,344184,0.662,1.376736
448,630548,0.896,2.522192
379,451224,0.758,1.804896
321,323708,0.642,1.294832
385,465696,0.77,1.862784
330,342140,0.66,1.36856
432,586292,0.864,2.345168
285,255208,0.57,1.020832
334,350520,0.668,1.40208
302,286520,0.604,1.14608
402,507728,0.804,2.030912
242,184028,0.484,0.736112
266,222304,0.532,0.889216
283,251640,0.566,1.00656
357,400384,0.714,1.601536
207,134624,0.414,0.538496
265,220620,0.53,0.88248
237,176488,0.474,0.705952
240,180960,0.48,0.72384
482,729924,0.964,2.919696
428,575548,0.856,2.302192
233,170580,0.466,0.68232
370,430112,0.74,1.720448
434,591732,0.868,2.366928
262,215684,0.524,0.862736
362,411632,0.724,1.646528
209,137208,0.418,0.548832
488,748172,0.976,2.992688
443,616532,0.886,2.466128
397,495204,0.794,1.980816
228,163340,0.456,0.65336
442,613756,0.884,2.455024
215,145232,0.43,0.580928
208,135948,0.416,0.543792
297,277128,0.594,1.108512
203,129488,0.406,0.517952
290,264220,0.58,1.05688
308,298032,0.616,1.192128
219,150692,0.438,0.602768
366,420836,0.732,1.683344
314,309784,0.628,1.239136
335,352580,0.67,1.41032
422,559488,0.844,2.237952
361,409404,0.722,1.637616
319,319704,0.638,1.278816
376,444160,0.752,1.77664
289,262376,0.578,1.049504
490,754296,0.98,3.017184
373,437112,0.746,1.748448
279,244580,0.558,0.97832
471,696972,0.942,2.787888
493,763556,0.986,3.054224
216,146604,0.432,0.586416
352,389284,0.704,1.557136
378,448884,0.756,1.795536
282,249836,0.564,0.999344
281,248060,0.562,0.99224
246,190120,0.492,0.76048
303,288408,0.606,1.153632
393,485200,0.786,1.9408
498,779152,0.996,3.116608
394,487692,0.788,1.950768
333,348372,0.666,1.393488
409,525556,0.818,2.102224
463,673452,0.926,2.693808
329,340076,0.658,1.360304
298,279004,0.596,1.116016
416,543696,0.832,2.174784
345,373896,0.69,1.495584
410,528112,0.82,2.112448
439,605480,0.878,2.42192
461,667648,0.922,2.670592
301,284644,0.602,1.138576
383,460852,0.766,1.843408
252,199496,0.504,0.797984
412,533260,0.824,2.13304
426,570148,0.852,2.280592
417,546292,0.834,2.185168
468,688028,0.936,2.752112
459,661916,0.918,2.647664
218,149344,0.436,0.597376
411,530740,0.822,2.12296
269,227336,0.538,0.909344
365,418576,0.73,1.674304
478,717824,0.956,2.871296
202,128196,0.404,0.512784
453,644680,0.906,2.57872
359,404936,0.718,1.619744
206,133344,0.412,0.533376
451,638988,0.902,2.555952
421,556856,0.842,2.227424
469,691096,0.938,2.764384
465,679356,0.93,2.717424
460,664796,0.92,2.659184
400,502652,0.8,2.010608
475,708832,0.95,2.835328
268,225640,0.536,0.90256
375,441788,0.75,1.767152
437,599964,0.874,2.399856
230,166196,0.46,0.664784
280,246288,0.56,0.985152
243,185520,0.486,0.74208
424,564824,0.848,2.259296
430,580872,0.86,2.323488
491,757396,0.982,3.029584
261,214036,0.522,0.856144
201,126928,0.402,0.507712
221,153456,0.442,0.613824
391,480280,0.782,1.92112
404,512784,0.808,2.051136
212,141192,0.424,0.564768
390,477880,0.78,1.91152
377,446548,0.754,1.786192
455,650384,0.91,2.601536
441,611000,0.882,2.444
481,726896,0.962,2.907584
445,622156,0.89,2.488624
273,234148,0.546,0.936592
200,125676,0.4,0.502704
342,367480,0.684,1.46992
354,393712,0.708,1.574848
497,775996,0.994,3.103984
234,171988,0.468,0.687952
251,197916,0.502,0.791664
363,413996,0.726,1.655984
405,515320,0.81,2.06128
477,714868,0.954,2.859472
211,139916,0.422,0.559664
339,361072,0.678,1.444288
232,169104,0.464,0.676416
229,164744,0.458,0.658976
472,699928,0.944,2.799712
427,572848,0.854,2.291392
496,772956,0.992,3.091824
256,205892,0.512,0.823568
371,432440,0.742,1.72976
450,636160,0.9,2.54464
264,218964,0.528,0.875856
381,456092,0.762,1.824368
293,269724,0.586,1.078896
476,711828,0.952,2.847312
271,230720,0.542,0.92288
213,142556,0.426,0.570224
360,407188,0.72,1.628752
458,659024,0.916,2.636096
277,241056,0.554,0.964224
484,735968,0.968,2.943872
250,196364,0.5,0.785456
287,258796,0.574,1.035184
449,633372,0.898,2.533488
304,290356,0.608,1.161424
487,745120,0.974,2.98048
492,760464,0.984,3.041856
227,161892,0.454,0.647568
244,187068,0.488,0.748272
214,143868,0.428,0.575472
420,554148,0.84,2.216592
259,210764,0.518,0.843056
291,266064,0.582,1.064256
204,130768,0.408,0.523072
386,468124,0.772,1.872496
473,702856,0.946,2.811424
470,694032,0.94,2.776128
418,548920,0.836,2.19568
295,273428,0.59,1.093712
341,365284,0.682,1.461136
355,395956,0.71,1.583824
387,470552,0.774,1.882208
479,720844,0.958,2.883376
374,439408,0.748,1.757632
311,303848,0.622,1.215392
263,217288,0.526,0.869152
274,235912,0.548,0.943648
223,156264,0.446,0.625056
276,239348,0.552,0.957392
350,384852,0.7,1.539408
356,398184,0.712,1.592736
433,589016,0.866,2.356064
486,742064,0.972,2.968256
254,202744,0.508,0.810976
313,307788,0.626,1.231152
456,653248,0.912,2.612992
270,229020,0.54,0.91608
322,325784,0.644,1.303136
388,472952,0.776,1.891808
348,380496,0.696,1.521984
444,619336,0.888,2.477344
235,173512,0.47,0.694048
284,253404,0.568,1.013616
205,132020,0.41,0.52808
315,311756,0.63,1.247024
457,656172,0.914,2.624688
440,608228,0.88,2.432912
236,175004,0.472,0.700016
353,391496,0.706,1.565984
483,732920,0.966,2.93168
255,204296,0.51,0.817184
71,15856,0.142,0.063424
161,81440,0.322,0.32576
110,38024,0.22,0.152096
182,104076,0.364,0.416304
149,69748,0.298,0.278992
147,67896,0.294,0.271584
56,9856,0.112,0.039424
176,97328,0.352,0.389312
88,24344,0.176,0.097376
81,20636,0.162,0.082544
58,10580,0.116,0.04232
129,52276,0.258,0.209104
190,113424,0.38,0.453696
164,84504,0.328,0.338016
83,21652,0.166,0.086608
95,28372,0.19,0.113488
170,90824,0.34,0.363296
62,12096,0.124,0.048384
75,17692,0.15,0.070768
174,95132,0.348,0.380528
128,51468,0.256,0.205872
135,57268,0.27,0.229072
117,43020,0.234,0.17208
109,37340,0.218,0.14936
51,8184,0.102,0.032736
157,77452,0.314,0.309808
183,105204,0.366,0.420816
118,43748,0.236,0.174992
178,99552,0.356,0.398208
112,39428,0.224,0.157712
126,49884,0.252,0.199536
113,40128,0.226,0.160512
86,23236,0.172,0.092944
167,87624,0.334,0.350496
70,15380,0.14,0.06152
140,61572,0.28,0.246288
57,10216,0.114,0.040864
191,114620,0.382,0.45848
