index,funno,ihono,bias
0,1,1,0
1,1,3,-0.135386027393581
2,1,3,0.164690920960273
3,1,3,0.396383718857601
4,2,3,-0.0412169010027063
5,2,3,-0.0634519472909509
6,2,3,0.0829087865700217
7,2,3,0.417741162053657
8,4,3,-0.193376477403701
9,4,3,0.388278326906135
10,4,3,-0.502244983455968
11,4,3,0.0544820533149807
12,4,3,0.00474831096670737
13,7,3,0.0375094073515902
14,7,3,-0.0365797685359437
15,7,3,-0.020253772751545
16,7,3,-0.242507585493403
17,7,3,0.0411340016694891
18,7,3,0.131748692231501
19,1,2,0.191986648900256
