epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,active_neurons,active_connections,learning_rate,random_seed
1,0.00142819045013616,0.0017029288685023,0.974603174603175,0.970149253731343,24,276,0.05,1
50,0.000283989523003151,0.000247991891387055,1,1,24,276,0.05,1
100,7.45557355231158E-06,5.51225090712771E-06,0.996825396825397,1,24,276,0.05,1
150,1.65402362062184E-07,1.48685304160643E-07,1,1,24,276,0.05,1
200,6.35988574571185E-08,6.6283389674504E-08,1,1,24,276,0.05,1
250,6.51464145795991E-08,5.22859676582599E-08,1,1,24,276,0.05,1
300,3.39684986741471E-08,2.84663988087626E-08,1,1,24,276,0.05,1
350,5.80704744986809E-08,4.36481417395604E-08,1,1,24,276,0.05,1
400,5.72690787419942E-08,4.81560904835828E-08,1,1,24,276,0.05,1
epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,active_neurons,active_connections,learning_rate,random_seed
1,0.00142819045013616,0.0017029288685023,0.974603174603175,0.970149253731343,24,276,0.05,1
50,0.000283989523003151,0.000247991891387055,1,1,24,276,0.05,1
100,7.45557355231158E-06,5.51225090712771E-06,0.996825396825397,1,24,276,0.05,1
150,1.65402362062184E-07,1.48685304160643E-07,1,1,24,276,0.05,1
200,6.35988574571185E-08,6.6283389674504E-08,1,1,24,276,0.05,1
250,6.51464145795991E-08,5.22859676582599E-08,1,1,24,276,0.05,1
300,3.39684986741471E-08,2.84663988087626E-08,1,1,24,276,0.05,1
350,5.80704744986809E-08,4.36481417395604E-08,1,1,24,276,0.05,1
400,5.72690787419942E-08,4.81560904835828E-08,1,1,24,276,0.05,1
