attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,127,1.9091297410565E-06,1.28666721477175E-06,-0.326045167543347,1,10000
2,138,127,127,1.9091297410565E-06,0.367357825233729,192420.613541275,0,10000
3,69,127,127,1.9091297410565E-06,6.09686408272248E-06,2.19353051372428,0,10000
4,34,127,127,1.9091297410565E-06,3.78411603034517E-06,0.982115698564867,0,10000
5,17,127,127,1.9091297410565E-06,2.83042841942865E-06,0.482575206157709,0,10000
6,8,127,127,1.9091297410565E-06,2.66600411703414E-06,0.396449942453251,0,10000
7,4,127,112,1.9091297410565E-06,1.0254117072094E-06,-0.46289050704226,1,10000
8,4,112,108,1.9091297410565E-06,1.63079164998991E-06,-0.145793177425732,1,10000
9,4,108,104,1.9091297410565E-06,2.05969694326165E-06,0.0788669302914037,1,10000
10,4,104,104,1.9091297410565E-06,4.44651893365885E-06,1.3290815904414,0,10000
11,2,104,104,1.9091297410565E-06,3.4383195261502E-06,0.800987880607559,0,10000
12,1,104,103,1.9091297410565E-06,1.28482863788952E-06,-0.327008212035654,1,10000
13,1,103,103,1.9091297410565E-06,7.040422459955E-06,2.68776532497936,0,10000
9100,1,103,103,1.28482863788952E-06,2.49834031897192E-06,0.944493020544537,0,3000
9101,1,103,96,1.28482863788952E-06,1.24071625236095E-06,-0.0343332832314732,1,3000
9102,1,96,96,1.28482863788952E-06,7.65684251602914E-06,4.95942703192417,0,3000
9103,1,96,87,1.28482863788952E-06,1.1945396445196E-06,-0.0702731794009779,1,3000
9104,1,87,82,1.28482863788952E-06,1.04227278326582E-06,-0.188784595447789,1,3000
9105,1,82,76,1.28482863788952E-06,1.08806287991536E-06,-0.153145526314994,1,3000
9106,1,76,76,1.28482863788952E-06,2.90755819549339E-06,1.26299298579566,0,3000
9107,1,76,70,1.28482863788952E-06,1.31177706586414E-06,0.0209743363277452,1,3000
9108,1,70,63,1.28482863788952E-06,9.8064949738596E-07,-0.236746855987902,1,3000
9109,1,63,63,1.28482863788952E-06,2.8687274855647E-06,1.23277050414825,0,3000
9110,1,63,55,1.28482863788952E-06,1.09010875964022E-06,-0.151553189668275,1,3000
9111,1,55,50,1.28482863788952E-06,1.2810569601791E-06,-0.00293554922360225,1,3000
9112,1,50,44,1.28482863788952E-06,1.08568515774947E-06,-0.154996140549273,1,3000
9113,1,44,44,1.28482863788952E-06,1.84643578407412E-06,0.437106653465553,0,3000
9114,1,44,44,1.28482863788952E-06,1.43243732729491E-06,0.114885896105062,0,3000
9200,1,44,43,1.28482863788952E-06,1.06387582769924E-06,-0.17197064548096,1,3000
9201,1,43,43,1.28482863788952E-06,4.30979474593427E-06,2.35437319720208,0,3000
9202,1,43,42,1.28482863788952E-06,1.26165252848318E-06,-0.0180382883155619,1,3000
9203,1,42,39,1.28482863788952E-06,1.32624345517487E-06,0.0322337283463575,1,3000
9204,1,39,39,1.28482863788952E-06,2.17315259653336E-06,0.691394893020919,0,3000
9205,1,39,38,1.28482863788952E-06,1.28737457596395E-06,0.00198153901567073,1,3000
9206,1,38,37,1.28482863788952E-06,1.06511622041585E-06,-0.171005230576567,1,3000
9207,1,37,37,1.28482863788952E-06,1.54826585308366E-06,0.205036848825894,0,3000
9208,1,37,34,1.28482863788952E-06,9.99056684955326E-07,-0.222420285870659,1,3000
