r,A,r_scaled,A_scaled
495,769848,0.99,3.079392
443,616532,0.886,2.466128
321,323708,0.642,1.294832
283,251640,0.566,1.00656
409,525556,0.818,2.102224
425,567412,0.85,2.269648
202,128196,0.404,0.512784
414,538468,0.828,2.153872
374,439408,0.748,1.757632
451,638988,0.902,2.555952
354,393712,0.708,1.574848
278,242820,0.556,0.97128
432,586292,0.864,2.345168
228,163340,0.456,0.65336
223,156264,0.446,0.625056
429,578212,0.858,2.312848
441,611000,0.882,2.444
421,556856,0.842,2.227424
484,735968,0.968,2.943872
273,234148,0.546,0.936592
221,153456,0.442,0.613824
453,644680,0.906,2.57872
500,785456,1,3.141824
301,284644,0.602,1.138576
444,619336,0.888,2.477344
316,313724,0.632,1.254896
328,337960,0.656,1.35184
417,546292,0.834,2.185168
498,779152,0.996,3.116608
209,137208,0.418,0.548832
300,282792,0.6,1.131168
385,465696,0.77,1.862784
372,434780,0.744,1.73912
483,732920,0.966,2.93168
492,760464,0.984,3.041856
489,751208,0.978,3.004832
212,141192,0.424,0.564768
332,346292,0.664,1.385168
257,207544,0.514,0.830176
377,446548,0.754,1.786192
226,160480,0.452,0.64192
219,150692,0.438,0.602768
419,551560,0.838,2.20624
284,253404,0.568,1.013616
244,187068,0.488,0.748272
418,548920,0.836,2.19568
324,329804,0.648,1.319216
331,344184,0.662,1.376736
378,448884,0.756,1.795536
336,354680,0.672,1.41872
448,630548,0.896,2.522192
446,624948,0.892,2.499792
253,201100,0.506,0.8044
314,309784,0.628,1.239136
210,138536,0.42,0.554144
496,772956,0.992,3.091824
468,688028,0.936,2.752112
289,262376,0.578,1.049504
292,267888,0.584,1.071552
341,365284,0.682,1.461136
458,659024,0.916,2.636096
263,217288,0.526,0.869152
315,311756,0.63,1.247024
272,232440,0.544,0.92976
322,325784,0.644,1.303136
266,222304,0.532,0.889216
262,215684,0.524,0.862736
459,661916,0.918,2.647664
462,670556,0.924,2.682224
494,766700,0.988,3.0668
475,708832,0.95,2.835328
461,667648,0.922,2.670592
439,605480,0.878,2.42192
267,223996,0.534,0.895984
307,296092,0.614,1.184368
310,301916,0.62,1.207664
427,572848,0.854,2.291392
242,184028,0.484,0.736112
255,204296,0.51,0.817184
271,230720,0.542,0.92288
339,361072,0.678,1.444288
493,763556,0.986,3.054224
426,570148,0.852,2.280592
367,423152,0.734,1.692608
389,475452,0.778,1.901808
340,363176,0.68,1.452704
473,702856,0.946,2.811424
347,378340,0.694,1.51336
293,269724,0.586,1.078896
358,402684,0.716,1.610736
382,458464,0.764,1.833856
411,530740,0.822,2.12296
248,193236,0.496,0.772944
317,315768,0.634,1.263072
338,358916,0.676,1.435664
233,170580,0.466,0.68232
302,286520,0.604,1.14608
359,404936,0.718,1.619744
450,636160,0.9,2.54464
404,512784,0.808,2.051136
225,159068,0.45,0.636272
467,685144,0.934,2.740576
478,717824,0.956,2.871296
259,210764,0.518,0.843056
435,594504,0.87,2.378016
434,591732,0.868,2.366928
294,271520,0.588,1.08608
252,199496,0.504,0.797984
299,280908,0.598,1.123632
433,589016,0.866,2.356064
477,714868,0.954,2.859472
351,387064,0.702,1.548256
452,641896,0.904,2.567584
407,520408,0.814,2.081632
264,218964,0.528,0.875856
436,597264,0.872,2.389056
234,171988,0.468,0.687952
485,738956,0.97,2.955824
488,748172,0.976,2.992688
203,129488,0.406,0.517952
277,241056,0.554,0.964224
420,554148,0.84,2.216592
291,266064,0.582,1.064256
265,220620,0.53,0.88248
406,517892,0.812,2.071568
254,202744,0.508,0.810976
325,331864,0.65,1.327456
345,373896,0.69,1.495584
470,694032,0.94,2.776128
279,244580,0.558,0.97832
334,350520,0.668,1.40208
346,376148,0.692,1.504592
329,340076,0.658,1.360304
355,395956,0.71,1.583824
232,169104,0.464,0.676416
335,352580,0.67,1.41032
274,235912,0.548,0.943648
454,647572,0.908,2.590288
201,126928,0.402,0.507712
290,264220,0.58,1.05688
361,409404,0.722,1.637616
207,134624,0.414,0.538496
412,533260,0.824,2.13304
386,468124,0.772,1.872496
356,398184,0.712,1.592736
362,411632,0.724,1.646528
268,225640,0.536,0.90256
423,562164,0.846,2.248656
216,146604,0.432,0.586416
261,214036,0.522,0.856144
481,726896,0.962,2.907584
247,191676,0.494,0.766704
206,133344,0.412,0.533376
368,425488,0.736,1.701952
241,182512,0.482,0.730048
276,239348,0.552,0.957392
380,453668,0.76,1.814672
296,275260,0.592,1.10104
349,382660,0.698,1.53064
403,510212,0.806,2.040848
363,413996,0.726,1.655984
393,485200,0.786,1.9408
287,258796,0.574,1.035184
357,400384,0.714,1.601536
337,356792,0.674,1.427168
474,705868,0.948,2.823472
204,130768,0.408,0.523072
445,622156,0.89,2.488624
344,371756,0.688,1.487024
313,307788,0.626,1.231152
295,273428,0.59,1.093712
243,185520,0.486,0.74208
312,305844,0.624,1.223376
282,249836,0.564,0.999344
369,427740,0.738,1.71096
487,745120,0.974,2.98048
392,482756,0.784,1.931024
366,420836,0.732,1.683344
394,487692,0.788,1.950768
305,292288,0.61,1.169152
437,599964,0.874,2.399856
376,444160,0.752,1.77664
286,257008,0.572,1.028032
480,723804,0.96,2.895216
304,290356,0.608,1.161424
214,143868,0.428,0.575472
227,161892,0.454,0.647568
387,470552,0.774,1.882208
371,432440,0.742,1.72976
218,149344,0.436,0.597376
326,333868,0.652,1.335472
430,580872,0.86,2.323488
319,319704,0.638,1.278816
401,505216,0.802,2.020864
398,497660,0.796,1.99064
370,430112,0.74,1.720448
390,477880,0.78,1.91152
416,543696,0.832,2.174784
479,720844,0.958,2.883376
270,229020,0.54,0.91608
236,175004,0.472,0.700016
