seed,canonical,structural,near_zero_b,k_canonical,b,k_ols,pi_error,linear_contam,dense_neurons,pruned_neurons,dense_edges,pruned_edges,sq_linear,quad_sigmoid,val_loss,test_rmse,fidelity_max,fidelity_pass,reason
1,0,1,0,null,0,3.14159980367007,2.27594123881169E-06,0,24,23,276,180,6,5,3.2094505515712E-08,59.0315255694108,0,1,non-canonical: sigmoid on path; square of degree>1 polynomial
2,0,1,0,null,0,3.14173503046639,4.53199673857542E-05,0,24,23,276,152,6,4,3.97997484550107E-08,81.3178175480704,0,1,non-canonical: sigmoid on path; square of degree>1 polynomial
3,0,1,0,null,0,3.141792661201,6.36643999582655E-05,0,24,16,276,71,6,1,2.52779168936829E-08,62.9144370669294,0,1,non-canonical: sigmoid on path; square of degree>1 polynomial
4,0,1,0,null,0,3.14184668513953,8.08607536845901E-05,0,24,13,276,57,6,0,6.29063311374987E-07,275.993054666985,4.88498130835069E-15,1,non-canonical: square of degree>1 polynomial
5,0,1,0,null,0,3.14322455125291,0.000519449159411744,0,24,13,276,68,6,0,4.26855401691822E-06,711.763585773302,1.77635683940025E-15,1,non-canonical: square of degree>1 polynomial
6,0,1,0,null,0,3.14137627268686,6.88761805847264E-05,0,24,9,276,18,5,0,7.2057290607398E-06,979.589132431144,8.43769498715119E-15,1,non-canonical: square of degree>1 polynomial
7,0,1,0,null,0,3.14187290453076,8.92066451234339E-05,0,24,14,276,41,5,3,6.07334465175765E-08,93.6653780830277,0,1,non-canonical: sigmoid on path; square of degree>1 polynomial
8,0,1,0,null,0,3.14177309203767,5.74353418060477E-05,0,24,17,276,66,6,2,1.25189048709643E-08,37.3536490256943,0,1,non-canonical: sigmoid on path; square of degree>1 polynomial
9,0,1,0,null,0,3.14156140663682,9.94621404388405E-06,0,24,23,276,182,6,5,5.05727769046678E-09,27.272855637771,0,1,non-canonical: sigmoid on path; square of degree>1 polynomial
10,0,1,0,null,0,3.14294257377287,0.000429692939831488,0,24,20,276,98,6,4,6.83660946530922E-07,296.98959274443,0,1,non-canonical: sigmoid on path; square of degree>1 polynomial
11,0,1,0,null,0,3.14202801746808,0.000138580626547347,0,24,11,276,24,6,0,1.99925244865432E-06,621.437008963628,7.99360577730113E-15,1,non-canonical: sigmoid on path; square of degree>1 polynomial
12,0,1,0,null,0,3.13916244922701,0.000773558074121538,0,24,13,276,47,6,0,3.06413063901723E-06,644.553985897782,2.66453525910038E-15,1,non-canonical: square of degree>1 polynomial
13,1,1,1,3.14164173400458,6.21048865685758,3.14164173400457,1.56227812440019E-05,0,24,3,276,2,1,0,3.82410125321395E-09,22.4798966317738,3.10862446895044E-15,1,canonical A = b + k r^2
14,0,1,0,null,0,3.14095346316531,0.000203460631268195,0,24,13,276,42,5,0,1.35379541999107E-06,337.354910443211,1.33226762955019E-15,1,non-canonical: sigmoid on path; square of degree>1 polynomial
15,0,1,0,null,0,3.14199610458725,0.000128422441079889,0,24,7,276,12,4,0,2.40689987035943E-06,529.018930208296,1.02140518265514E-14,1,non-canonical: square of degree>1 polynomial
16,1,1,1,3.14167144879735,27.3990800254906,3.14167144879735,2.50812935504075E-05,0,24,3,276,2,1,0,5.1916262462355E-09,26.6936521740348,3.10862446895044E-15,1,canonical A = b + k r^2
17,1,1,1,3.14167572332349,1.23008997597596,3.14167572332349,2.64419174770263E-05,0,24,3,276,2,1,0,4.2369235048153E-09,19.6535163905602,5.77315972805081E-15,1,canonical A = b + k r^2
