r,C,r_scaled,C_scaled
225,1491.87633380821,0.45,2.98375266761642
154,1019.94530957906,0.308,2.03989061915813
393,2603.90490450797,0.786,5.20780980901593
300,1988.77792078584,0.6,3.97755584157168
452,2996.23794899078,0.904,5.99247589798155
220,1458.90577105974,0.44,2.91781154211947
99,657.269119345814,0.198,1.31453823869163
371,2458.36579926454,0.742,4.91673159852909
500,3136.97301372709,1,6.27394602745417
321,2126.31702602924,0.642,4.25263405205848
203,1346.33722856483,0.406,2.69267445712965
135,893.719912834648,0.27,1.7874398256693
149,986.974746830587,0.298,1.97394949366117
239,1582.78802205363,0.478,3.16557604410727
301,1994.43477503533,0.602,3.98886955007067
243,1610.10173055262,0.486,3.22020346110523
52,344.534054609519,0.104,0.689068109219037
167,1107.54328932551,0.334,2.21508657865102
308,2041.0621920333,0.616,4.0821243840666
100,662.925973595307,0.2,1.32585194719061
143,948.347329832617,0.286,1.89669465966523
124,822.121933088201,0.248,1.6442438661764
165,1093.88643507602,0.33,2.18777287015204
236,1563.47431355465,0.472,3.1269486271093
411,2724.47344700291,0.822,5.44894689400583
229,1516.84689655669,0.458,3.03369379311337
183,1212.11183182043,0.366,2.42422366364085
302,2002.43477503533,0.604,4.00486955007067
103,682.239682094292,0.206,1.36447936418858
270,1788.61139854448,0.54,3.57722279708896
230,1524.84689655668,0.46,3.04969379311337
223,1478.21947955872,0.446,2.95643895911744
410,2716.47344700291,0.82,5.43294689400582
114,756.180807591246,0.228,1.51236161518249
111,734.523953341754,0.222,1.46904790668351
342,2266.19927702315,0.684,4.53239855404631
104,690.239682094292,0.208,1.38047936418858
268,1777.2976900455,0.536,3.55459538009099
485,3213.37503398065,0.97,6.4267500679613
388,2570.93434175948,0.776,5.14186868351897
278,1843.23881554245,0.556,3.68647763108489
119,789.151370339723,0.238,1.57830274067945
418,2771.10086400089,0.836,5.54220172800178
81,536.70057685089,0.162,1.07340115370178
499,3306.6298679766,0.998,6.61325973595319
437,2897.32626074533,0.874,5.79465252149066
375,2485.67950776353,0.75,4.97135901552706
491,3254.34559672913,0.982,6.50869119345826
84,556.014285349875,0.168,1.11202857069975
487,3227.03188823014,0.974,6.45406377646029
252,1670.38600180007,0.504,3.34077200360015
334,2213.91500577569,0.668,4.42783001155138
285,1889.86623254041,0.57,3.77973246508083
169,1121.200143575,0.338,2.24240028715
404,2677.84603000493,0.808,5.35569206000987
339,2246.88556852417,0.678,4.49377113704833
142,940.347329832617,0.284,1.88069465966523
147,973.317892581095,0.294,1.94663578516219
148,981.317892581095,0.296,1.96263578516219
310,2054.71904628279,0.62,4.10943809256559
405,2683.50288425443,0.81,5.36700576850885
