attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,276,3.23866710371923E-05,3.72410218978398E-05,0.149887305647218,0,10000
2,69,276,176,3.23866710371923E-05,5.16811016760308E-06,-0.840424779636409,1,10000
3,69,176,99,3.23866710371923E-05,5.47306320806282E-06,-0.831008775129199,1,10000
4,69,99,99,3.23866710371923E-05,5.91370375297294E-05,0.82596838871823,0,10000
5,34,99,99,3.23866710371923E-05,0.000245100871835181,6.56795508725524,0,10000
6,17,99,59,3.23866710371923E-05,1.66023389647283E-05,-0.487371241531355,1,10000
7,17,59,36,3.23866710371923E-05,1.9561258390935E-05,-0.396008982569675,1,10000
8,17,36,36,3.23866710371923E-05,7.57985438882219E-05,1.34042405288201,0,10000
9,8,36,23,3.23866710371923E-05,8.51723368962176E-06,-0.737014227864274,1,10000
10,8,23,23,3.23866710371923E-05,5.73987656571968E-05,0.772295942095471,0,10000
11,4,23,14,3.23866710371923E-05,4.52111956308901E-06,-0.860401843774032,1,10000
12,4,14,14,3.23866710371923E-05,0.000425449743105865,12.1365691341752,0,10000
13,2,14,14,3.23866710371923E-05,4.73573169122936E-05,0.46224713425808,0,10000
14,1,14,11,3.23866710371923E-05,5.92552595094407E-06,-0.817038128304718,1,10000
15,1,11,11,3.23866710371923E-05,6.80843790954786E-05,1.1022345586952,0,10000
8100,1,11,11,3.23866710371923E-05,9.52216949443537E-05,1.94015074395892,0,5000
8200,1,11,6,3.23866710371923E-05,8.95982123464218E-06,-0.723348496535724,1,5000
8300,1,6,1,3.23866710371923E-05,1.90032090972398E-06,-0.941323981475537,1,5000
