attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,104,7.09309987102552E-06,4.16512873865235E-06,-0.412791471375385,1,10000
2,138,104,104,7.09309987102552E-06,1.39211572360106,196262.375521848,0,10000
3,69,104,25,7.09309987102552E-06,4.33911413663949E-06,-0.388262647426655,1,10000
4,69,25,25,7.09309987102552E-06,1.38616983051249,195424.111124521,0,10000
5,34,25,25,7.09309987102552E-06,1.49988936982853,211456.52873936,0,10000
6,17,25,25,7.09309987102552E-06,0.00419486885020528,590.401351522037,0,10000
7,8,25,25,7.09309987102552E-06,8.46946401710622E-05,10.9404268530082,0,10000
8,4,25,16,7.09309987102552E-06,1.5206161332791E-06,-0.785620368960172,1,10000
9,4,16,16,7.09309987102552E-06,4.36998821692824E-05,5.1609004474604,0,10000
10,2,16,9,7.09309987102552E-06,1.93038048858126E-06,-0.727850936306897,1,10000
11,2,9,9,7.09309987102552E-06,0.000706495215146321,98.6031675843548,0,10000
12,1,9,9,7.09309987102552E-06,9.96878202650813E-05,13.0541966245667,0,10000
8200,1,9,6,7.09309987102552E-06,2.31889798457352E-06,-0.673076930152084,1,5000
8300,1,6,1,7.09309987102552E-06,2.51140281184746E-06,-0.645937198472809,1,5000
