attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,106,3.72648181093768E-06,2.38171314946228E-06,-0.360868167269282,1,10000
2,138,106,106,3.72648181093768E-06,1.68723284238499,452767.30211079,0,10000
3,69,106,106,3.72648181093768E-06,2.94058254146617E-05,6.89104225018676,0,10000
4,34,106,106,3.72648181093768E-06,7.77447802086794E-06,1.08627826870076,0,10000
5,17,106,85,3.72648181093768E-06,3.35511572460078E-06,-0.0996559503515867,1,10000
6,17,85,55,3.72648181093768E-06,1.61964557314996E-06,-0.565368716306061,1,10000
7,17,55,55,3.72648181093768E-06,4.10170293473423E-06,0.100690448211831,0,10000
8,8,55,55,3.72648181093768E-06,6.84825850408038E-06,0.837727607841775,0,10000
9,4,55,51,3.72648181093768E-06,3.91421541285314E-06,0.0503782418485023,1,10000
10,4,51,51,3.72648181093768E-06,4.30781130722154E-06,0.155999552869838,0,10000
11,2,51,51,3.72648181093768E-06,5.5482540071684E-06,0.488871887388154,0,10000
12,1,51,51,3.72648181093768E-06,6.45981799970906E-06,0.733489743797677,0,10000
8100,1,51,42,3.72648181093768E-06,1.81895140322508E-06,-0.511885071359739,1,5000
8101,1,42,42,3.72648181093768E-06,0.000125496489761166,32.6769360829345,0,5000
8102,1,42,42,3.72648181093768E-06,4.822253887909E-05,11.9405002695977,0,5000
8200,1,42,42,3.72648181093768E-06,6.25332432230588E-05,15.7807724270963,0,5000
8300,9,42,28,3.72648181093768E-06,9.24195003263785E-07,-0.751992616587807,1,5000
