r,C,r_scaled,C_scaled
294,1944.9789309127,0.588,3.88995786182539
285,1887.03780541574,0.57,3.77407561083148
67,440.617315730204,0.134,0.881234631460408
255,1686.87128317437,0.51,3.37374256634874
444,2938.78210486797,0.888,5.87756420973593
299,1977.94949366117,0.598,3.95589898732235
454,3007.06637611542,0.908,6.01413275223085
117,772.666088965484,0.234,1.54533217793097
242,1601.61644917843,0.484,3.20323289835686
343,2271.37084989847,0.686,4.54274169979694
65,426.960461480712,0.13,0.853920922961423
432,2859.18412512152,0.864,5.71836825024305
101,665.754400720052,0.202,1.3315088014401
296,1958.63578516219,0.592,3.91727157032438
384,2543.13535188626,0.768,5.08627070377251
322,2131.48859890457,0.644,4.26297719780915
232,1535.67532368148,0.464,3.07135064736295
289,1912.00836816422,0.578,3.82401673632844
153,1011.46002820483,0.306,2.02292005640965
280,1851.72409691676,0.56,3.70344819383351
237,1568.64588642995,0.474,3.13729177285991
410,2713.64501987813,0.82,5.42729003975625
381,2521.47849763677,0.762,5.04295699527353
336,2224.74343290051,0.672,4.44948686580101
329,2178.11601590254,0.658,4.35623203180508
262,1733.49870017234,0.524,3.46699740034468
353,2337.31197539542,0.706,4.67462395079083
304,2010.92005640965,0.608,4.0218401128193
394,2609.07647738321,0.788,5.21815295476642
355,2350.96882964491,0.71,4.70193765928981
189,1250.25396744417,0.378,2.50050793488833
102,673.754400720052,0.204,1.3475088014401
450,2979.75266761644,0.9,5.95950533523288
300,1985.94949366117,0.6,3.97189898732235
447,2960.43895911746,0.894,5.92087791823491
331,2191.77287015203,0.662,4.38354574030406
191,1263.91082169366,0.382,2.52782164338732
111,731.695526217007,0.222,1.46339105243401
400,2647.70389438118,0.8,5.29540778876235
406,2688.67445712965,0.812,5.3773489142593
366,2422.56680939134,0.732,4.84513361878269
183,1209.28340469569,0.366,2.41856680939138
318,2104.17489040559,0.636,4.20834978081118
122,805.636651713961,0.244,1.61127330342792
63,415.646752981727,0.126,0.831293505963454
374,2474.8510806388,0.748,4.9497021612776
198,1310.53823869163,0.396,2.62107647738326
490,3243.51716960423,0.98,6.48703433920846
465,3078.66435586186,0.93,6.15732871172373
473,3130.94862710932,0.946,6.26189725421864
415,2746.6155826266,0.83,5.49323116525321
54,355.362481734265,0.108,0.710724963468529
53,347.362481734265,0.106,0.694724963468529
174,1151.34227919873,0.348,2.30268455839747
100,660.09754647056,0.2,1.32019509294112
354,2342.96882964491,0.708,4.68593765928982
155,1025.11688245432,0.31,2.05023376490864
349,2309.99826689644,0.698,4.61999653379287
269,1780.12611717031,0.538,3.56025223434062
51,336.04877323528,0.102,0.672097546470559
320,2117.83174465508,0.64,4.23566348931016
151,997.803173955333,0.302,1.99560634791067
279,1846.06724266726,0.558,3.69213448533453
423,2801.24299962457,0.846,5.60248599924914
398,2634.04704013168,0.796,5.26809408026337
239,1579.95959492894,0.478,3.15991918985788
199,1316.19509294112,0.398,2.63239018588224
56,369.019335983757,0.112,0.738038671967514
475,3144.60548135881,0.95,6.28921096271762
419,2773.92929112559,0.838,5.54785858225118
306,2024.57691065914,0.612,4.04915382131829
492,3257.17402385372,0.984,6.51434804770744
375,2482.8510806388,0.75,4.9657021612776
176,1162.65598769772,0.352,2.32531197539544
460,3045.69379311339,0.92,6.09138758622678
179,1184.31284194721,0.358,2.36862568389442
436,2886.49783362051,0.872,5.77299566724101
437,2894.49783362051,0.874,5.78899566724101
290,1920.00836816422,0.58,3.84001673632844
411,2721.64501987813,0.822,5.44329003975626
485,3210.54660685576,0.97,6.42109321371152
75,495.244732728174,0.15,0.990489465456347
417,2760.2724368761,0.834,5.52054487375219
124,819.293505963454,0.248,1.63858701192691
218,1442.42048968554,0.436,2.88484097937108
115,759.009234715992,0.23,1.51801846943198
477,3158.2623356083,0.954,6.3165246712166
240,1587.95959492894,0.48,3.17591918985788
204,1349.1656556896,0.408,2.6983313113792
112,739.695526217007,0.224,1.47939105243401
274,1813.09667991879,0.548,3.62619335983758
427,2826.21356237305,0.854,5.6524271247461
126,832.950360212946,0.252,1.66590072042589
440,2913.81154211949,0.88,5.82762308423898
175,1156.99913344823,0.35,2.31399826689645
149,984.14631970584,0.298,1.96829263941168
201,1329.85194719061,0.402,2.65970389438123
159,1050.08744520279,0.318,2.10017489040559
181,1195.6265504462,0.362,2.39125310089239
163,1077.40115370178,0.326,2.15480230740356
177,1170.65598769772,0.354,2.34131197539544
192,1269.56767594315,0.384,2.5391353518863
205,1354.82250993909,0.41,2.70964501987818
170,1124.02857069975,0.34,2.2480571413995
87,574.842712474621,0.174,1.14968542494924
305,2018.92005640965,0.61,4.0378401128193
215,1423.10678118655,0.43,2.84621356237311
125,824.950360212946,0.25,1.64990072042589
164,1083.05800795127,0.328,2.16611601590254
361,2389.59624664287,0.722,4.77919249328574
246,1626.58701192691,0.492,3.25317402385382
254,1681.21442892488,0.508,3.36242885784976
182,1203.6265504462,0.364,2.40725310089239
194,1283.22453019264,0.388,2.56644906038529
344,2277.02770414796,0.688,4.55405540829593
405,2680.67445712965,0.81,5.3613489142593
68,448.617315730204,0.136,0.897234631460408
412,2727.30187412762,0.824,5.45460374825524
228,1508.36161518249,0.456,3.01672323036498
154,1017.11688245432,0.308,2.03423376490864
208,1376.47936418858,0.416,2.75295872837717
66,434.960461480712,0.132,0.869920922961423
143,945.518902707871,0.286,1.89103780541574
211,1395.79307268757,0.422,2.79158614537514
466,3086.66435586186,0.932,6.17332871172373
173,1143.34227919873,0.346,2.28668455839747
128,846.607214462439,0.256,1.69321442892488
104,687.411254969545,0.208,1.37482250993909
210,1387.79307268757,0.42,2.77558614537514
342,2263.37084989847,0.684,4.52674169979694
291,1925.66522241371,0.582,3.85133044482742
185,1222.94025894518,0.37,2.44588051789036
193,1275.22453019264,0.386,2.55044906038529
359,2375.93939239338,0.718,4.75187878478676
276,1826.75353416828,0.552,3.65350706833656
429,2839.87041662254,0.858,5.67974083324508
271,1793.7829714198,0.542,3.58756594283961
295,1952.9789309127,0.59,3.90595786182539
166,1096.71486220076,0.332,2.19342972440153
321,2123.48859890457,0.642,4.24697719780915
236,1560.64588642995,0.472,3.12129177285991
142,937.518902707871,0.284,1.87503780541574
395,2614.7333316327,0.79,5.2294666632654
471,3119.63491861034,0.942,6.23926983722067
98,646.440692221067,0.196,1.29288138444213
268,1774.46926292082,0.536,3.54893852584164
118,778.322943214977,0.236,1.55664588642995
459,3040.0369388639,0.918,6.0800738777278
252,1667.55757467539,0.504,3.33511514935077
160,1058.08744520279,0.32,2.11617489040559
234,1546.98903218046,0.468,3.09397806436092
145,959.175756957363,0.29,1.91835151391473
390,2581.76276888422,0.78,5.16352553776845
77,506.558441227159,0.154,1.01311688245432
396,2622.7333316327,0.792,5.2454666632654
245,1620.93015767742,0.49,3.24186031535483
114,753.352380466499,0.228,1.506704760933
134,885.234631460408,0.268,1.77046926292082
420,2779.58614537508,0.84,5.55917229075016
309,2043.89061915813,0.618,4.08778123831626
188,1242.25396744417,0.376,2.48450793488833
486,3218.54660685576,0.972,6.43709321371152
340,2249.71399564898,0.68,4.49942799129796
399,2642.04704013168,0.798,5.28409408026337
282,1865.38095116625,0.564,3.7307619023325
387,2562.44906038524,0.774,5.12489812077048
446,2952.43895911746,0.892,5.90487791823491
326,2158.80230740356,0.652,4.31760461480711
495,3278.83087810321,0.99,6.55766175620642
369,2441.88051789033,0.738,4.88376103578065
140,923.862048458378,0.28,1.84772409691676
73,481.587878478681,0.146,0.963175756957363
150,992.14631970584,0.3,1.98429263941168
488,3232.20346110525,0.976,6.4644069222105
58,382.676190233249,0.116,0.765352380466499
352,2329.31197539542,0.704,4.65862395079084
386,2554.44906038524,0.772,5.10889812077048
328,2170.11601590254,0.656,4.34023203180508
455,3012.72323036491,0.91,6.02544646072983
367,2430.56680939134,0.734,4.86113361878269
263,1739.15555442183,0.526,3.47831110884367
497,3290.1445866022,0.994,6.58028917320439
380,2515.82164338727,0.76,5.03164328677455
96,632.783837971575,0.192,1.26556767594315
197,1302.53823869163,0.394,2.60507647738326
83,547.529003975636,0.166,1.09505800795127
430,2847.87041662254,0.86,5.69574083324508
377,2496.50793488829,0.754,4.99301586977658
480,3177.57604410728,0.96,6.35515208821457
85,561.185858225128,0.17,1.12237171645026
202,1335.50880144011,0.404,2.67101760288021
350,2315.65512114593,0.7,4.63131024229185
74,487.244732728174,0.148,0.974489465456348
130,857.920922961424,0.26,1.71584184592285
469,3105.97806436085,0.938,6.21195612872169
184,1217.28340469569,0.368,2.43456680939138
90,594.156420973605,0.18,1.18831284194721
284,1879.03780541574,0.568,3.75807561083148
301,1991.60634791067,0.602,3.98321269582133
