seed,estimator,canonical,structural,near_zero_b,k_canonical,b,k_ols,two_pi_error,quad_contam,dense_neurons,pruned_neurons,dense_edges,pruned_edges,linear_hid,sq_linear,val_loss,test_rmse,fidelity_max,fidelity_pass,reason
1,raw,1,1,1,6.62816029317285,-3.17515531674606,6.62816029317286,0.0549044742638857,0,24,11,276,28,9,0,9.24195003263785E-07,0.693412939632767,1.77635683940025E-15,1,canonical C = b + k r
2,raw,1,1,1,6.62728977280721,-2.78299555353796,6.6272897728072,0.0547659266446319,0,24,2,276,1,0,0,9.05495695763599E-07,0.655144151175379,2.66453525910038E-15,1,canonical C = b + k r
3,raw,1,1,1,6.62718204146949,-2.74541431184188,6.62718204146945,0.0547487806697073,0,24,2,276,1,0,0,9.97791398967671E-07,0.669809827167604,8.88178419700125E-16,1,canonical C = b + k r
4,raw,1,1,1,6.62452768679943,-2.10137780841477,6.62452768679948,0.054326327003248,0,24,10,276,24,8,0,1.18611244499421E-06,0.776493667581056,1.06581410364015E-14,1,canonical C = b + k r
5,raw,1,1,1,6.62740446121758,-2.82737656711428,6.62740446121758,0.0547841798720564,0,24,2,276,1,0,0,9.50921370717669E-07,0.611608189916628,4.44089209850063E-15,1,canonical C = b + k r
6,raw,1,1,1,6.62732383558266,-2.79890683106137,6.62732383558267,0.0547713479037189,0,24,2,276,1,0,0,8.1823613603247E-07,0.620764803357181,4.44089209850063E-15,1,canonical C = b + k r
7,raw,1,1,1,6.62969371244649,-3.52923142436389,6.62969371244651,0.0551485255211173,0,24,11,276,26,9,0,1.43875096163111E-06,0.701859268409777,9.76996261670138E-15,1,canonical C = b + k r
8,raw,1,1,1,6.62813184873156,-2.76483414760623,6.62813184873158,0.054899947190451,0,24,2,276,1,0,0,8.68313816077494E-07,0.724113255707386,3.5527136788005E-15,1,canonical C = b + k r
9,raw,1,1,1,6.62753256309677,-2.80501038977339,6.62753256309677,0.0548045679193501,0,24,2,276,1,0,0,8.94420022466556E-07,0.691902047201821,3.5527136788005E-15,1,canonical C = b + k r
10,raw,1,1,1,6.62743141694182,-2.81503350184342,6.62743141694182,0.0547884700088151,0,24,2,276,1,0,0,7.72231725059575E-07,0.705014178198181,3.5527136788005E-15,1,canonical C = b + k r
11,raw,1,1,1,6.6275874113268,-2.82380327737759,6.6275874113268,0.0548132972862782,0,24,2,276,1,0,0,9.7251215281255E-07,0.672085981696487,3.5527136788005E-15,1,canonical C = b + k r
12,raw,1,1,1,6.62598441579878,-3.31472401480373,6.62598441579879,0.0545581726242407,0,24,12,276,33,10,0,2.36271292381142E-06,1.19051938003158,3.5527136788005E-15,1,canonical C = b + k r
13,raw,1,1,1,6.62796890511912,-2.34557600683247,6.62796890511913,0.0548740139090857,0,24,14,276,84,12,0,1.90697599501068E-06,0.958608508501183,3.5527136788005E-15,1,canonical C = b + k r
14,raw,1,1,1,6.62789689312224,-2.86867269446368,6.62789689312224,0.0548625528438206,0,24,2,276,1,0,0,1.17393877089949E-06,0.659423472026298,4.44089209850063E-15,1,canonical C = b + k r
15,raw,1,1,1,6.62723830066765,-2.71744274970528,6.62723830066771,0.054757734599189,0,24,2,276,1,0,0,1.04533155985465E-06,0.618853826248798,8.88178419700125E-16,1,canonical C = b + k r
16,raw,1,1,1,6.62742423417537,-2.75630174568897,6.62742423417521,0.0547873268360297,0,24,2,276,1,0,0,9.89169769376182E-07,0.68338489647824,4.44089209850063E-15,1,canonical C = b + k r
17,raw,1,1,1,6.62730588453058,-2.82262890703914,6.6273058845306,0.0547684909050479,0,24,2,276,1,0,0,1.03959998871497E-06,0.66326080793388,2.66453525910038E-15,1,canonical C = b + k r
18,raw,1,1,1,6.62743373220612,-2.83007994123674,6.62743373220611,0.0547888384945718,0,24,2,276,1,0,0,9.46684485002052E-07,0.669253082543769,3.5527136788005E-15,1,canonical C = b + k r
19,raw,1,1,1,6.62714642590013,-2.76647924340883,6.62714642590014,0.0547431122757928,0,24,2,276,1,0,0,8.70099002662308E-07,0.671071329391745,1.77635683940025E-15,1,canonical C = b + k r
20,raw,1,1,1,6.62759222310482,-2.92256899104243,6.62759222310481,0.054814063104536,0,24,2,276,1,0,0,8.74302765107924E-07,0.741448278691627,2.66453525910038E-15,1,canonical C = b + k r
21,raw,1,1,1,6.62748123653544,-2.99149436227668,6.62748123653545,0.0547963990434022,0,24,2,276,1,0,0,8.08905116791719E-07,0.728335391908659,1.77635683940025E-15,1,canonical C = b + k r
22,raw,1,1,1,6.62691102996543,-2.76610717130588,6.62691102996542,0.0547056478492011,0,24,2,276,1,0,0,1.07666533162697E-06,0.661046946174108,1.77635683940025E-15,1,canonical C = b + k r
23,raw,1,1,1,6.63093684524968,-2.4736691514641,6.63093684524971,0.0553463762516642,0,24,11,276,29,9,0,4.38413336326575E-06,1.43971167150761,1.15463194561016E-14,1,canonical C = b + k r
24,raw,1,1,1,6.62745901229042,-2.85067124076718,6.62745901229041,0.0547928619449509,0,24,2,276,1,0,0,8.79320906742206E-07,0.694781641123073,1.77635683940025E-15,1,canonical C = b + k r
25,raw,1,1,1,6.62753639091035,-2.85806396630133,6.62753639091039,0.0548051771348015,0,24,2,276,1,0,0,9.64146999161113E-07,0.676320733775327,3.5527136788005E-15,1,canonical C = b + k r
26,raw,1,1,1,6.62745598564261,-2.8462550507007,6.62745598564261,0.0547923802389904,0,24,2,276,1,0,0,8.48622723874125E-07,0.695841583529841,8.88178419700125E-16,1,canonical C = b + k r
27,raw,1,1,1,6.62739375038612,-2.83755422046253,6.62739375038614,0.0547824751902852,0,24,2,276,1,0,0,9.92364269696466E-07,0.668514642478134,2.66453525910038E-15,1,canonical C = b + k r
28,raw,1,1,1,6.62593439403974,-2.87369000347532,6.62593439403976,0.0545502114140264,0,24,12,276,37,10,0,1.31450741777859E-06,0.816770026053349,3.5527136788005E-15,1,canonical C = b + k r
29,raw,1,1,1,6.62519158134778,-2.87751548590404,6.62519158134776,0.0544319891023093,0,24,13,276,54,11,0,2.07427662795075E-06,1.01946532159464,7.99360577730113E-15,1,canonical C = b + k r
30,raw,1,1,1,6.62752333966769,-2.73807571351974,6.62752333966771,0.0548030999650199,0,24,2,276,1,0,0,9.19595755067128E-07,0.69184159306081,4.44089209850063E-15,1,canonical C = b + k r
