index,funno,ihono,bias
0,1,1,0
1,1,3,0.496822752921032
2,1,3,0.15644298990993
3,1,3,0.491843264060423
4,2,3,0.272693412467821
5,2,3,0.29500880239508
6,4,3,0.0233002817735668
7,4,3,-0.0257925411277207
8,7,3,0.369517536437964
9,7,3,-0.213082278996699
10,7,3,0.418120167764685
11,7,3,0.134278750496029
12,7,3,-0.255352810606874
13,7,3,0.146384835725033
14,7,3,-0.150614611579543
15,7,3,0.253943475646707
16,7,3,0.291442719056856
17,7,3,0.248972846742586
18,7,3,-0.0084587404334095
19,7,3,-0.100233468129853
20,1,2,-0.093376051354652
