r,A,r_scaled,A_scaled
375,445500,0.75,1.782
435,592425.63,0.87,2.36970252
380,455091.04,0.76,1.82036416
470,695128.12,0.94,2.78051248
200,126256,0.4,0.505024
475,711621.25,0.95,2.846485
395,492227.67,0.79,1.96891068
315,315257.67,0.63,1.26103068
285,254331.72,0.57,1.01732688
345,372738.69,0.69,1.49095476
270,229955.76,0.54,0.91982304
450,638442,0.9,2.553768
310,303522.24,0.62,1.21408896
415,541130.95,0.83,2.1645238
460,665862.88,0.92,2.66345152
385,464715.02,0.77,1.85886008
300,281592,0.6,1.126368
440,607361.92,0.88,2.42944768
275,239852.25,0.55,0.959409
340,365758.4,0.68,1.4630336
390,474430.32,0.78,1.89772128
455,654281.81,0.91,2.61712724
205,131588.68,0.41,0.52635472
355,398692.69,0.71,1.59477076
480,724008.96,0.96,2.89603584
410,531666.68,0.82,2.12666672
215,144573.31,0.43,0.57829324
230,165534.68,0.46,0.66213872
245,188718.6,0.49,0.7548744
490,752761.52,0.98,3.01104608
335,352072.27,0.67,1.40828908
220,152014.72,0.44,0.60805888
250,196975,0.5,0.7879
350,387933,0.7,1.551732
290,265285.04,0.58,1.06114016
370,429646.96,0.74,1.71858784
325,330817.5,0.65,1.32327
295,275451.53,0.59,1.10180612
330,345082.32,0.66,1.38032928
495,768300.39,0.99,3.07320156
225,159934.5,0.45,0.639738
235,174334.28,0.47,0.69733712
55,9559,0.11,0.038236
155,75246.3,0.31,0.3009852
170,91439.6,0.34,0.3657584
100,31196,0.2,0.124784
85,22559.34,0.17,0.09023736
110,37776.2,0.22,0.1511048
140,61410.72,0.28,0.24564288
115,41484.18,0.23,0.16593672
90,25566.84,0.18,0.10226736
135,57554.55,0.27,0.2302182
125,49781.25,0.25,0.199125
185,106932.59,0.37,0.42773036
65,13249.6,0.13,0.0529984
165,85214.25,0.33,0.340857
95,28201.32,0.19,0.11280528
50,7853,0.1,0.031412
75,17577,0.15,0.070308
175,95305,0.35,0.38122
150,70695,0.3,0.28278
145,65623.23,0.29,0.26249292
130,53113.32,0.26,0.21245328
