index,src,dst,weight
0,0,1,0.290897317323985
1,0,2,-0.333007492042577
2,0,3,-0.863142600892115
3,0,4,0.250222699127385
4,0,6,0.978662812110577
5,0,8,-0.317832998644936
6,0,11,-0.79609612226058
7,0,12,0.545020632823317
8,0,14,0.302680107677756
9,1,2,0.31758493267087
10,1,3,0.232330438238287
11,1,5,0.434665697236332
12,1,7,0.25759209118818
13,1,10,-0.368556220168137
14,1,11,0.300129829118253
15,1,14,0.301042607009522
16,2,8,0.307047354950403
17,2,10,-0.2379142759119
18,2,13,-0.31491407925474
19,3,4,-0.3417580162867
20,3,5,0.35179317346733
21,3,6,-0.225827795666584
22,3,8,-0.534565179693429
23,3,9,-0.404524320163167
24,3,11,-0.2874875158773
25,3,12,0.342129949266653
26,3,14,-0.511652576101597
27,4,6,-0.299223896162971
28,4,7,0.451510505637862
29,4,10,-0.447487820320921
30,4,11,-0.418305383280405
31,4,12,0.318522432554892
32,4,13,0.281464079838092
33,5,8,0.322411720912245
34,5,11,-0.288693633443546
35,5,12,0.248241624172788
36,5,13,0.382617599180945
37,5,14,0.365396663541453
38,6,13,-0.400053128895104
39,6,14,0.767125270685535
40,7,8,0.41610413282159
41,7,11,-0.294587155509917
42,7,12,0.326459519422758
43,7,13,0.30903434605139
44,8,9,0.474031588535844
45,8,13,0.484819034676749
46,9,11,0.458865625428076
47,9,12,-0.325528461041058
48,9,13,0.270143725066595
49,10,11,-0.447764355174075
50,10,12,0.348994939623776
51,10,14,-0.290886799379156
52,11,13,-0.231843511024617
53,11,14,-0.811284489865707
54,12,14,0.341698793622244
55,13,14,-0.416373031619877
