attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,128,4.65363506874945E-05,3.9789768575573E-05,-0.144974455715852,1,10000
2,138,128,128,4.65363506874945E-05,0.445628819993467,9574.92964231333,0,10000
3,69,128,128,4.65363506874945E-05,5.17095253620917E-05,0.111164167326668,0,10000
4,34,128,91,4.65363506874945E-05,2.30430856663145E-05,-0.50483685708285,1,10000
5,34,91,91,4.65363506874945E-05,9.56346696505331E-05,1.05505305503537,0,10000
6,17,91,59,4.65363506874945E-05,3.34731528827812E-05,-0.280709544511484,1,10000
7,17,59,33,4.65363506874945E-05,2.04807231322114E-05,-0.559898384174007,1,10000
8,17,33,33,4.65363506874945E-05,7.1766308256339E-05,0.542155910296258,0,10000
9,8,33,19,4.65363506874945E-05,4.99222818147834E-05,0.0727588450161553,1,10000
10,8,19,19,4.65363506874945E-05,0.000287908860083504,5.18675198699826,0,10000
11,4,19,9,4.65363506874945E-05,4.36745629929058E-05,-0.0614957479972263,1,10000
12,4,9,4,4.65363506874945E-05,2.31501682245484E-05,-0.502535805181444,1,10000
13,4,4,4,4.65363506874945E-05,0.471458899590642,10129.9813216045,0,10000
14,2,4,2,4.65363506874945E-05,1.73901675674281E-05,-0.62631002838602,1,10000
15,2,2,2,4.65363506874945E-05,0.448589598938564,9638.55257151506,0,10000
16,1,2,2,4.65363506874945E-05,0.537475789731568,11548.5904124687,0,10000
