attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,109,0.000417394507114285,5.13386794143259E-05,-0.877002024369551,1,10000
2,138,109,109,0.000417394507114285,0.343035485138456,820.849543517186,0,10000
3,69,109,33,0.000417394507114285,2.44614304337179E-05,-0.941394939279782,1,10000
4,69,33,33,0.000417394507114285,0.364908181188146,873.252475699764,0,10000
5,34,33,33,0.000417394507114285,0.353622299968595,846.213592755239,0,10000
6,17,33,6,0.000417394507114285,2.85879914213823E-06,-0.993150846277535,1,10000
7,17,6,6,0.000417394507114285,0.345839548477223,827.567560383659,0,10000
8,8,6,6,0.000417394507114285,0.373875296391764,894.736024358832,0,10000
9,4,6,2,0.000417394507114285,5.3841305744319E-06,-0.987100619479504,1,10000
10,4,2,2,0.000417394507114285,0.343879070494521,822.870617924459,0,10000
11,2,2,2,0.000417394507114285,0.345279934246848,826.226828244552,0,10000
12,1,2,2,0.000417394507114285,0.37515349548076,897.798352844738,0,10000
