N,seed,canonical,structural,near_zero_b,k_canonical,b,k_ols,pi_error,dense_neurons,pruned_neurons,dense_edges,pruned_edges,sq_linear,test_rmse,fidelity_max,fidelity_pass,reason
100,1,1,1,1,3.19151556452437,-1659.91764118139,3.19151556452438,0.01589095609755,24,3,276,2,1,12281.2254271454,3.5527136788005E-15,1,canonical A = b + k r^2
100,2,1,1,1,3.08221016938747,-2020.16662763278,3.08221016938747,0.0189020317877536,24,3,276,2,1,27390.4696729817,6.66133814775094E-15,1,canonical A = b + k r^2
100,3,1,1,1,3.18983854260967,-1526.65777492736,3.18983854260967,0.0153571434427517,24,3,276,2,1,19483.6279960342,8.88178419700125E-16,1,canonical A = b + k r^2
100,4,1,1,1,3.15131577243997,-2136.00460475398,3.15131577243997,0.00309496485455158,24,3,276,2,1,16398.8476107446,1.33226762955019E-15,1,canonical A = b + k r^2
100,5,1,1,1,3.13340839154465,655.277437301101,3.13340839154465,0.00260513152008718,24,4,276,4,2,9402.86611914417,3.10862446895044E-15,1,canonical A = b + k r^2
100,6,1,1,1,3.20988599701348,-1762.91970501356,3.20988599701348,0.0217384463723042,24,3,276,2,1,25070.1824364165,1.38777878078145E-17,1,canonical A = b + k r^2
100,7,1,1,1,3.1636403347179,3416.69184827191,3.1636403347179,0.00701799487050381,24,3,276,2,1,21812.180796377,1.55431223447522E-15,1,canonical A = b + k r^2
100,8,1,1,1,3.16836489080163,-2417.03095274948,3.16836489080163,0.0085218677797863,24,3,276,2,1,16318.7866196433,1.06581410364015E-14,1,canonical A = b + k r^2
100,9,1,1,1,3.16601414877659,-3500.85863595628,3.16601414877659,0.00777360335334824,24,3,276,2,1,21156.8112479992,3.5527136788005E-15,1,canonical A = b + k r^2
100,10,1,1,1,3.20648594956165,-1293.56941565028,3.20648594956165,0.0206561776548934,24,3,276,2,1,17584.1929696684,2.22044604925031E-15,1,canonical A = b + k r^2
100,11,1,1,1,3.15877012693674,-131.427603882799,3.15877012693674,0.00546775958599271,24,3,276,2,1,24650.2600693284,3.10862446895044E-15,1,canonical A = b + k r^2
100,12,1,1,1,3.17356789114685,3640.96090504251,3.17356789114685,0.0101780342274854,24,5,276,6,3,23908.0907562284,7.54951656745106E-15,1,canonical A = b + k r^2
100,13,1,1,1,3.09241390707179,6418.83970835519,3.09241390707179,0.0156540812068066,24,3,276,2,1,14841.5681487498,5.32907051820075E-15,1,canonical A = b + k r^2
100,14,1,1,1,3.20342966635121,-2092.89504261023,3.20342966635121,0.0196833324940329,24,3,276,2,1,18785.0369760177,2.66453525910038E-15,1,canonical A = b + k r^2
100,15,1,1,1,3.14003634638182,-2873.55814022996,3.14003634638182,0.000495387970235823,24,3,276,2,1,21403.8648910634,8.88178419700125E-15,1,canonical A = b + k r^2
300,1,1,1,1,3.18764813765374,-227.211322152388,3.18764813765374,0.014659915890535,24,3,276,2,1,14648.6080635166,5.32907051820075E-15,1,canonical A = b + k r^2
300,2,1,1,1,3.09991825271824,385.43698834969,3.09991825271824,0.0132653737982035,24,3,276,2,1,13070.458543106,9.76996261670138E-15,1,canonical A = b + k r^2
300,3,1,1,1,3.13624939463593,-761.182554373535,3.13624939463593,0.00170081214945582,24,3,276,2,1,9308.0212708625,3.10862446895044E-15,1,canonical A = b + k r^2
300,4,1,1,1,3.14005621897977,-984.969927374943,3.14005621897977,0.000489062325845207,24,3,276,2,1,7329.0458425311,4.88498130835069E-15,1,canonical A = b + k r^2
300,5,1,1,1,3.07177171100107,4528.6653893115,3.07177171100107,0.0222246962886613,24,4,276,4,2,14585.4672104925,9.71445146547012E-16,1,canonical A = b + k r^2
300,6,1,1,1,3.16300767452118,2859.79039553096,3.16300767452118,0.00681661287529429,24,3,276,2,1,13017.910628362,8.43769498715119E-15,1,canonical A = b + k r^2
300,7,1,1,1,3.12934064920256,986.371997008391,3.12934064920256,0.00389993412202258,24,3,276,2,1,13061.7971529667,3.10862446895044E-15,1,canonical A = b + k r^2
300,8,1,1,1,3.16812320774733,-2741.03119661057,3.16812320774733,0.0084449376742779,24,3,276,2,1,6140.31384079324,8.88178419700125E-16,1,canonical A = b + k r^2
300,9,1,1,1,3.16423306271975,-445.76176484934,3.16423306271975,0.00720666605331234,24,3,276,2,1,12515.3475309195,4.44089209850063E-15,1,canonical A = b + k r^2
300,10,1,1,1,3.08020597670774,-1635.00528978998,3.08020597670775,0.0195399861315261,24,3,276,2,1,15147.2114509253,1.46549439250521E-14,1,canonical A = b + k r^2
300,11,1,1,1,3.17282971116813,-1670.97858014166,3.17282971116814,0.00994306424247815,24,3,276,2,1,12638.4766446681,3.99680288865056E-15,1,canonical A = b + k r^2
300,12,1,1,1,3.13094296391883,-31.0766605319118,3.13094296391883,0.00338990150705831,24,3,276,2,1,9596.21036023761,1.77635683940025E-15,1,canonical A = b + k r^2
300,13,1,1,1,3.15956888555077,-653.805566999918,3.15956888555078,0.00572201234951331,24,3,276,2,1,9871.69894824301,4.44089209850063E-15,1,canonical A = b + k r^2
300,14,1,1,1,3.16478685721028,-1376.19859923054,3.16478685721028,0.00738294431456197,24,3,276,2,1,9888.80514608615,1.28785870856518E-14,1,canonical A = b + k r^2
300,15,1,1,1,3.16371573923684,849.224255894357,3.16371573923684,0.00704199687434575,24,3,276,2,1,10399.2067442326,2.22044604925031E-15,1,canonical A = b + k r^2
1000,1,1,1,1,3.15598469778368,-139.16277333165,3.15598469778368,0.00458112994930817,24,3,276,2,1,4258.18590826186,4.44089209850063E-16,1,canonical A = b + k r^2
1000,2,1,1,1,3.13359690021029,-685.270373054284,3.13359690021029,0.00254512734818424,24,3,276,2,1,4708.58687668568,5.32907051820075E-15,1,canonical A = b + k r^2
1000,3,1,1,1,3.14559882677621,-146.878294465685,3.14559882677621,0.001275204531001,24,3,276,2,1,5433.65127002908,7.99360577730113E-15,1,canonical A = b + k r^2
1000,4,1,1,1,3.15815592451612,-730.843118978225,3.15815592451612,0.00527225288338939,24,3,276,2,1,6458.17718432792,2.22044604925031E-15,1,canonical A = b + k r^2
1000,5,1,1,1,3.14613698584561,525.258840680527,3.14613698584561,0.00144650588312866,24,3,276,2,1,4586.76398854039,3.99680288865056E-15,1,canonical A = b + k r^2
1000,6,0,1,0,null,0,3.16025921708421,0.00594175170135093,24,21,276,193,12,10419.9428609457,0,1,non-canonical: sigmoid on path; square of degree>1 polynomial
1000,7,1,1,1,3.15918945995207,-1534.44713763561,3.15918945995207,0.00560123743037322,24,3,276,2,1,5858.24918738918,6.66133814775094E-15,1,canonical A = b + k r^2
1000,8,1,1,1,3.14647126332314,-3103.00219902059,3.14647126332314,0.00155290970895727,24,3,276,2,1,5177.74489311225,6.21724893790088E-15,1,canonical A = b + k r^2
1000,9,1,1,1,3.12923371228014,973.744349893643,3.12923371228014,0.00393397320162885,24,3,276,2,1,4797.21072094782,2.66453525910038E-15,1,canonical A = b + k r^2
1000,10,1,1,1,3.14422657847379,-171.996471769895,3.14422657847379,0.000838404330041685,24,3,276,2,1,7988.71245460408,4.44089209850063E-16,1,canonical A = b + k r^2
1000,11,1,1,1,3.14877074772094,-2512.84137805569,3.14877074772094,0.00228485832590293,24,3,276,2,1,8954.76025817553,1.02140518265514E-14,1,canonical A = b + k r^2
1000,12,1,1,1,3.13226821595339,-1500.47414780712,3.13226821595339,0.00296806068277002,24,3,276,2,1,5178.58398866024,1.15463194561016E-14,1,canonical A = b + k r^2
1000,13,1,1,1,3.15772441876653,-1634.7835413311,3.15772441876653,0.005134900337351,24,3,276,2,1,7313.9663926204,1.33226762955019E-15,1,canonical A = b + k r^2
1000,14,1,1,1,3.10825264819187,2136.69307892664,3.10825264819187,0.0106124533235808,24,3,276,2,1,4896.7399755225,9.76996261670138E-15,1,canonical A = b + k r^2
1000,15,1,1,1,3.14913942433672,1394.71636076099,3.14913942433672,0.00240221173750928,24,3,276,2,1,4711.48574821257,4.88498130835069E-15,1,canonical A = b + k r^2
3000,1,1,1,1,3.12018072992745,1348.71721850309,3.12018072992745,0.00681562698393702,24,3,276,2,1,2454.7172401379,8.88178419700125E-16,1,canonical A = b + k r^2
3000,2,1,1,1,3.14727877296928,713.672698668439,3.14727877296928,0.00180994801251041,24,3,276,2,1,3786.82667976083,6.66133814775094E-15,1,canonical A = b + k r^2
3000,3,1,1,1,3.15296003087022,-703.814576135733,3.15296003087022,0.00361834856834115,24,3,276,2,1,2929.09497139847,3.10862446895044E-15,1,canonical A = b + k r^2
3000,4,1,1,1,3.13497270412944,1163.01150856692,3.13497270412944,0.00210719535926817,24,3,276,2,1,4502.01108572657,8.88178419700125E-15,1,canonical A = b + k r^2
3000,5,1,1,1,3.16257930764088,257.90537794132,3.16257930764088,0.0066802594623813,24,3,276,2,1,2302.05077984552,8.43769498715119E-15,1,canonical A = b + k r^2
3000,6,1,1,1,3.11119787680396,0.714292122352966,3.11119787680396,0.00967495793928044,24,3,276,2,1,5538.29184275199,8.43769498715119E-15,1,canonical A = b + k r^2
3000,7,1,1,1,3.1504489689623,-1237.8949693619,3.1504489689623,0.0028190527382313,24,3,276,2,1,3897.67239847912,9.32587340685131E-15,1,canonical A = b + k r^2
3000,8,1,1,1,3.13985000083275,282.104415179653,3.13985000083275,0.000554703600751165,24,3,276,2,1,2369.05303126238,9.76996261670138E-15,1,canonical A = b + k r^2
3000,9,1,1,1,3.13821356678439,306.094027432154,3.13821356678439,0.00107559673643457,24,3,276,2,1,2628.47084035273,4.44089209850063E-15,1,canonical A = b + k r^2
3000,10,1,1,1,3.14002949572739,-101.621101153943,3.14002949572739,0.000497568601269403,24,3,276,2,1,2596.7024694598,1.11022302462516E-14,1,canonical A = b + k r^2
3000,11,0,1,0,null,0,3.115751695242,0.0082254325105674,24,16,276,52,12,3723.01373719194,1.77635683940025E-15,1,non-canonical: square of degree>1 polynomial
3000,12,0,1,0,null,0,3.1536689923261,0.00384401800866908,24,15,276,56,11,4735.47442770552,1.33226762955019E-15,1,non-canonical: square of degree>1 polynomial
3000,13,1,1,1,3.14889768169526,-254.376087123855,3.14889768169526,0.00232526266482185,24,3,276,2,1,5366.86025150043,3.99680288865056E-15,1,canonical A = b + k r^2
3000,14,1,1,1,3.1445306050886,130.524401280162,3.1445306050886,0.00093517900719905,24,3,276,2,1,3795.44315028219,5.77315972805081E-15,1,canonical A = b + k r^2
3000,15,1,1,1,3.13342545926006,20.6601224472679,3.13342545926006,0.0025996986975392,24,3,276,2,1,2738.55197721988,2.66453525910038E-15,1,canonical A = b + k r^2
10000,1,1,1,1,3.13597454982527,387.487928014384,3.13597454982527,0.00178829796985287,24,3,276,2,1,1451.66352344517,3.5527136788005E-15,1,canonical A = b + k r^2
10000,2,1,1,1,3.14130964128465,385.690682192742,3.14130964128465,9.00856146374592E-05,24,3,276,2,1,2000.56997504495,1.77635683940025E-15,1,canonical A = b + k r^2
10000,3,1,1,1,3.14417892921508,70.7321450834434,3.14417892921508,0.000823237099925446,24,3,276,2,1,2883.76115703773,1.77635683940025E-15,1,canonical A = b + k r^2
10000,4,1,1,1,3.136712223774,454.893261782018,3.136712223774,0.00155348905919452,24,3,276,2,1,1673.11276850077,8.88178419700125E-16,1,canonical A = b + k r^2
10000,5,1,1,1,3.12365552693593,274.802593634646,3.12365552693593,0.00570956474365489,24,3,276,2,1,2043.41480269963,8.43769498715119E-15,1,canonical A = b + k r^2
10000,6,1,1,1,3.13539223725272,330.402802153189,3.13539223725272,0.00197365381854625,24,3,276,2,1,3427.09551545768,8.88178419700125E-16,1,canonical A = b + k r^2
10000,7,1,1,1,3.14417604224225,139.178830434454,3.14417604224225,0.000822318147932472,24,3,276,2,1,2784.10601178479,1.33226762955019E-15,1,canonical A = b + k r^2
10000,8,1,1,1,3.13196839013326,187.750253511705,3.13196839013326,0.00306349820545116,24,3,276,2,1,3145.72798135965,3.5527136788005E-15,1,canonical A = b + k r^2
10000,9,1,1,1,3.14554414749469,-206.155417559775,3.14554414749469,0.00125779957512308,24,3,276,2,1,2527.55400971062,1.33226762955019E-15,1,canonical A = b + k r^2
10000,10,1,1,1,3.14416966720855,-228.063900242319,3.14416966720855,0.000820288911679013,24,3,276,2,1,2120.80033780184,7.105427357601E-15,1,canonical A = b + k r^2
10000,11,1,1,1,3.15815546700341,-581.659063626337,3.15815546700341,0.00527210725257288,24,3,276,2,1,3181.4264223444,7.105427357601E-15,1,canonical A = b + k r^2
10000,12,1,1,1,3.14335938141388,-477.130298153314,3.14335938141388,0.00056236693260306,24,3,276,2,1,2046.62735937444,7.105427357601E-15,1,canonical A = b + k r^2
10000,13,1,1,1,3.15327614620423,172.831616096623,3.15327614620423,0.00371897120433114,24,3,276,2,1,3689.01593514239,4.44089209850063E-16,1,canonical A = b + k r^2
10000,14,1,1,1,3.1214478867622,1289.86866270965,3.1214478867622,0.00641227843609046,24,3,276,2,1,2051.10418267882,1.06581410364015E-14,1,canonical A = b + k r^2
10000,15,1,1,1,3.13668542148272,162.540970554188,3.13668542148272,0.00156202049347996,24,3,276,2,1,4340.87763457868,7.54951656745106E-15,1,canonical A = b + k r^2
30000,1,1,1,1,3.13342831818615,543.959720506193,3.13342831818615,0.00259878867309902,24,3,276,2,1,1260.83502122506,7.7715611723761E-16,1,canonical A = b + k r^2
30000,2,1,1,1,3.14220255110445,42.8218531391862,3.14220255110445,0.000194136408472871,24,3,276,2,1,1572.54731747316,8.88178419700125E-16,1,canonical A = b + k r^2
30000,3,1,1,1,3.14258250465231,13.3120504625846,3.14258250465231,0.000315079379048418,24,3,276,2,1,1129.80272505606,4.44089209850063E-16,1,canonical A = b + k r^2
30000,4,1,1,1,3.14150511837909,-29.9784335769104,3.14150511837909,2.78633229562409E-05,24,3,276,2,1,1290.39308501975,3.5527136788005E-15,1,canonical A = b + k r^2
30000,5,1,1,1,3.13750166575183,-126.020403571098,3.13750166575183,0.00130220187308118,24,3,276,2,1,1063.76060414782,5.77315972805081E-15,1,canonical A = b + k r^2
30000,6,1,1,1,3.14299308450393,237.718508061091,3.14299308450393,0.000445771004886962,24,3,276,2,1,1575.81918606719,6.66133814775094E-15,1,canonical A = b + k r^2
30000,7,1,1,1,3.13575193679148,771.406916583152,3.13575193679148,0.00185915789930368,24,3,276,2,1,1301.56663209226,4.44089209850063E-16,1,canonical A = b + k r^2
30000,8,1,1,1,3.14381568542416,-9.42908734395049,3.14381568542416,0.000707613010180447,24,3,276,2,1,1205.0471392195,8.88178419700125E-16,1,canonical A = b + k r^2
30000,9,1,1,1,3.14264793424447,-88.5806219633502,3.14264793424447,0.000335906265081865,24,3,276,2,1,1536.05869916365,4.44089209850063E-16,1,canonical A = b + k r^2
30000,10,1,1,1,3.1417032416132,140.631198138369,3.1417032416132,3.52012611447214E-05,24,3,276,2,1,1424.42809909613,4.88498130835069E-15,1,canonical A = b + k r^2
30000,11,1,1,1,3.14477686825243,-99.5292879745996,3.14477686825243,0.00101356700684919,24,3,276,2,1,1641.78526134995,1.77635683940025E-15,1,canonical A = b + k r^2
30000,12,1,1,1,3.13941281516656,13.7108169083188,3.13941281516656,0.000693864120399903,24,3,276,2,1,1395.89591687744,4.44089209850063E-15,1,canonical A = b + k r^2
