attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,149,299,150,0.00706427870945377,0.00548163573144088,-0.224034617418891,1,2500
2,149,150,150,0.00706427870945377,0.0772826933848335,9.93992699939909,0,2500
3,74,150,66,0.00706427870945377,0.00691833780436294,-0.0206589959277132,1,2500
4,74,66,66,0.00706427870945377,0.0774282714824222,9.9605346372877,0,2500
5,37,66,19,0.00706427870945377,0.00693389729236564,-0.01845643730246,1,2500
6,37,19,19,0.00706427870945377,0.0773174143275368,9.94484200121758,0,2500
7,18,19,19,0.00706427870945377,0.0773916225337089,9.95534671220424,0,2500
8,9,19,19,0.00706427870945377,0.0113851126698568,0.611645454279811,0,2500
9,4,19,19,0.00706427870945377,0.00982127628571898,0.390273046924897,0,2500
10,2,19,17,0.00706427870945377,0.00659553711646436,-0.066353779666439,1,2500
11,2,17,13,0.00706427870945377,0.00496129594556781,-0.297692496343844,1,2500
12,2,13,10,0.00706427870945377,0.00621949704806913,-0.119584984699729,1,2500
13,2,10,10,0.00706427870945377,0.0674841579342639,8.55287308298768,0,2500
14,1,10,10,0.00706427870945377,0.00930148307603692,0.316692539832723,0,2500
