index,src,dst,weight
0,0,2,2.65191110346289
1,0,3,3.55689735721861
2,0,5,0.405850012875832
3,0,6,-0.236416428771784
4,0,11,-0.35849998424965
5,0,13,0.540657712700205
6,0,15,-0.289388921050783
7,0,17,1.10136174174893
8,0,19,0.763549648310185
9,1,2,-3.86304389221896
10,1,3,2.66334871226922
11,1,8,0.337024518382135
12,1,10,0.306056188143901
13,1,11,-0.467149144824574
14,1,13,0.49984302734611
15,1,16,-0.240734209176016
16,1,17,1.2714010200795
17,1,18,0.285799701400676
18,1,19,0.630872165870223
19,2,4,0.249147876791484
20,2,7,-0.305287010612728
21,2,9,-0.271484725628657
22,2,14,0.236995286361248
23,2,17,1.81082068633641
24,2,18,0.490979747418525
25,2,19,-0.228980367314824
26,3,7,-0.371731026737907
27,3,11,-0.353641550374631
28,3,12,0.365718868771228
29,3,13,0.54310892854079
30,3,14,0.281796378699981
31,3,15,-0.478300953809375
32,3,16,-0.437524391510744
33,3,17,1.48040791360907
34,3,18,0.590746276107689
35,3,19,0.620460198737494
36,4,6,-0.319695639433187
37,4,9,0.430859856569199
38,4,10,-0.423503603756319
39,4,13,-0.353037671914134
40,4,15,-0.237502211143066
41,4,16,-0.368930192063524
42,5,6,-0.270064731030702
43,5,7,0.390117955872615
44,5,8,-0.346845864520358
45,5,11,-0.38299381021918
46,5,12,-0.337653963636984
47,5,14,0.379146486360148
48,5,17,-0.61689590246054
49,5,18,-0.516085632657857
50,6,7,-0.313229645552856
51,6,8,0.405109616606442
52,6,9,-0.256914154800217
53,6,10,-0.440736918091449
54,6,12,0.353569541430101
55,6,13,0.353548617981947
56,6,14,0.379672415903441
57,6,16,0.416907637581377
58,6,18,-0.404542908968912
59,6,19,0.519853285794244
60,7,12,0.450601309304005
61,7,16,-0.337497863531471
62,7,17,-0.38483764904571
63,7,19,-0.219398408889867
64,8,10,0.381250324323223
65,8,12,0.457387911750144
66,8,13,0.284266754084086
67,8,17,-0.267070925704147
68,8,18,-0.561606722047889
69,9,10,0.489101995822434
70,9,13,0.418494813356105
71,10,12,0.379906938642441
72,10,14,-0.354330574186131
73,10,17,0.220048024040214
74,11,12,-0.395554890532932
75,11,13,-0.291341416872395
76,11,14,0.344429726046769
77,11,18,-0.566364770381335
78,11,19,0.904667178946837
79,12,15,-0.373953240906379
80,12,18,-0.316148409985827
81,13,17,0.465972701296219
82,14,15,0.307858547725097
83,14,18,-0.339332918614062
84,15,17,-0.816812264863624
85,15,18,-0.591367045946585
86,16,17,-0.299777843819899
87,16,18,-0.467820907645928
88,16,19,0.72109963444047
89,17,18,0.797487679187958
90,17,19,-1.50791471417467
91,18,19,-1.31401409243162
