Exp05 total=150: structure 150/150, canonical 150/150.
# Synthetic recovery summary

| Problem | Noise | n | Structure % | Canonical % | Mean max-rel-coeff-err | Mean RMSE/Acc |
|---------|-------|---|-------------|-------------|------------------------|---------------|
| S1 | 0 | 15 | 100.0 | 100.0 | 0.00 % | 4.247E-06 |
| S1 | 0.05 | 15 | 100.0 | 100.0 | 0.72 % | 0.04973 |
| S2 | 0 | 15 | 100.0 | 100.0 | 0.00 % | 1.734E-15 |
| S2 | 0.05 | 15 | 100.0 | 100.0 | 2.24 % | 0.05149 |
| S3 | 0 | 15 | 100.0 | 100.0 | 0.00 % | 1.122E-14 |
| S3 | 0.05 | 15 | 100.0 | 100.0 | 8.71 % | 0.05188 |
| S4 | 0 | 15 | 100.0 | 100.0 | 0.00 % | 1.397E-15 |
| S4 | 0.05 | 15 | 100.0 | 100.0 | 1.32 % | 0.05013 |
| S5 | 0 | 15 | 100.0 | 100.0 | 24.90 % | 0.9362 |
| S5 | 0.05 | 15 | 100.0 | 100.0 | 24.69 % | 0.8781 |
