problem,noise,seed,structure_ok,canonical,max_rel_err,test_rmse,test_acc,dense_n,pruned_n,dense_e,pruned_e,fidelity_max,reason
S1,0,1,1,1,2.22044604925031E-15,2.0245468102049E-15,null,24,2,276,1,2.66453525910038E-15,polynomial reduced; structure OK
S1,0,2,1,1,6.8463753185218E-15,4.17676073374078E-15,null,24,2,276,1,4.44089209850063E-15,polynomial reduced; structure OK
S1,0,3,1,1,1.48029736616688E-15,1.60784418549125E-15,null,24,2,276,1,1.77635683940025E-15,polynomial reduced; structure OK
S1,0,4,1,1,9.99200722162641E-15,6.82359284325524E-15,null,24,2,276,1,1.99840144432528E-15,polynomial reduced; structure OK
S1,0,5,1,1,9.62193288008469E-15,5.74462193723361E-15,null,24,2,276,1,2.22044604925031E-15,polynomial reduced; structure OK
S1,0,6,1,1,9.85721819590779E-05,6.37122730867498E-05,null,24,2,276,1,4.44089209850063E-15,polynomial reduced; structure OK
S1,0,7,1,1,4.79616346638068E-15,3.60840511815556E-15,null,24,2,276,1,6.66133814775094E-15,polynomial reduced; structure OK
S1,0,8,1,1,8.88178419700125E-15,5.53757856921006E-15,null,24,2,276,1,8.88178419700125E-16,polynomial reduced; structure OK
S1,0,9,1,1,9.25185853854297E-16,5.96267748098558E-16,null,24,2,276,1,1.11022302462516E-15,polynomial reduced; structure OK
S1,0,10,1,1,3.5527136788005E-15,2.52780009737522E-15,null,24,2,276,1,5.77315972805081E-15,polynomial reduced; structure OK
S1,0,11,1,1,7.40148683083438E-16,5.63194302445981E-16,null,24,2,276,1,8.88178419700125E-16,polynomial reduced; structure OK
S1,0,12,1,1,7.58652400160524E-15,4.65029003229305E-15,null,24,2,276,1,3.5527136788005E-15,polynomial reduced; structure OK
S1,0,13,1,1,2.59052039079203E-15,2.75231829017176E-15,null,24,2,276,1,3.10862446895044E-15,polynomial reduced; structure OK
S1,0,14,1,1,8.32667268468867E-15,5.18917603013137E-15,null,24,2,276,1,8.88178419700125E-16,polynomial reduced; structure OK
S1,0,15,1,1,1.85037170770859E-15,1.17751119100438E-15,null,24,2,276,1,1.99840144432528E-15,polynomial reduced; structure OK
S1,0.05,1,1,1,0.00633101406380843,0.0473878640932934,null,24,2,276,1,1.77635683940025E-15,polynomial reduced; structure OK
S1,0.05,2,1,1,0.00536159069627811,0.0497316019740082,null,24,2,276,1,9.32587340685131E-15,polynomial reduced; structure OK
S1,0.05,3,1,1,0.00277496310515435,0.049041002468484,null,24,2,276,1,5.32907051820075E-15,polynomial reduced; structure OK
S1,0.05,4,1,1,0.000871444781137498,0.0523275972733789,null,24,2,276,1,3.99680288865056E-15,polynomial reduced; structure OK
S1,0.05,5,1,1,0.00185472965230897,0.0450260149023709,null,24,2,276,1,1.77635683940025E-15,polynomial reduced; structure OK
S1,0.05,6,1,1,0.0085117447874139,0.0479784885715672,null,24,5,276,8,2.66453525910038E-15,polynomial reduced; structure OK
S1,0.05,7,1,1,0.0185856810304626,0.0496374288817657,null,24,2,276,1,4.88498130835069E-15,polynomial reduced; structure OK
S1,0.05,8,1,1,0.0236653160708431,0.0613484054802058,null,24,2,276,1,6.21724893790088E-15,polynomial reduced; structure OK
S1,0.05,9,1,1,0.00147763103162379,0.0548777511346387,null,24,2,276,1,5.32907051820075E-15,polynomial reduced; structure OK
S1,0.05,10,1,1,0.0118541326515614,0.0450644615739517,null,24,2,276,1,3.77475828372553E-15,polynomial reduced; structure OK
S1,0.05,11,1,1,0.00468199951415631,0.05407472183772,null,24,2,276,1,8.88178419700125E-16,polynomial reduced; structure OK
S1,0.05,12,1,1,0.0036725444577973,0.0415873126620936,null,24,2,276,1,3.10862446895044E-15,polynomial reduced; structure OK
S1,0.05,13,1,1,0.00548056356851774,0.0493327996226463,null,24,2,276,1,2.66453525910038E-15,polynomial reduced; structure OK
S1,0.05,14,1,1,0.00582848922096812,0.0517595706809906,null,24,2,276,1,2.66453525910038E-15,polynomial reduced; structure OK
S1,0.05,15,1,1,0.00733652931660334,0.0468210013813467,null,24,2,276,1,4.44089209850063E-15,polynomial reduced; structure OK
S2,0,1,1,1,1.30614473485313E-16,1.92034818798021E-16,null,24,3,276,2,4.44089209850063E-16,polynomial reduced; structure OK
S2,0,2,1,1,1.17553026136781E-15,5.95375170013579E-16,null,24,3,276,2,1.77635683940025E-15,polynomial reduced; structure OK
S2,0,3,1,1,5.55111512312578E-16,3.25694445598121E-16,null,24,3,276,2,4.44089209850063E-16,polynomial reduced; structure OK
S2,0,4,1,1,6.66133814775094E-15,1.98706425197183E-15,null,24,3,276,2,2.66453525910038E-15,polynomial reduced; structure OK
S2,0,5,1,1,2.08166817117217E-15,8.65139652333427E-16,null,24,3,276,2,2.88657986402541E-15,polynomial reduced; structure OK
S2,0,6,1,1,3.7470027081099E-15,1.19545263712242E-15,null,24,3,276,2,3.10862446895044E-15,polynomial reduced; structure OK
S2,0,7,1,1,3.19189119579733E-15,8.91772584283549E-16,null,24,3,276,2,2.22044604925031E-15,polynomial reduced; structure OK
S2,0,8,1,1,4.32986979603811E-14,1.32864492574021E-14,null,24,3,276,2,9.32587340685131E-15,polynomial reduced; structure OK
S2,0,9,1,1,2.08166817117217E-15,5.19839486786922E-16,null,24,3,276,2,1.33226762955019E-15,polynomial reduced; structure OK
S2,0,10,1,1,1.38777878078145E-15,4.70316107439561E-16,null,24,3,276,2,2.22044604925031E-15,polynomial reduced; structure OK
S2,0,11,1,1,7.83686840911875E-16,8.2608269396748E-16,null,24,3,276,2,1.77635683940025E-15,polynomial reduced; structure OK
S2,0,12,1,1,6.24500451351651E-15,1.71759577782414E-15,null,24,3,276,2,3.5527136788005E-15,polynomial reduced; structure OK
S2,0,13,1,1,3.7470027081099E-15,1.17141828803019E-15,null,24,3,276,2,4.44089209850063E-15,polynomial reduced; structure OK
S2,0,14,1,1,1.0449157878825E-15,6.86049403450236E-16,null,24,3,276,2,1.77635683940025E-15,polynomial reduced; structure OK
S2,0,15,1,1,3.88578058618805E-15,1.28541060370419E-15,null,24,3,276,2,4.88498130835069E-15,polynomial reduced; structure OK
S2,0.05,1,1,1,0.00938271835137668,0.0464037643379045,null,24,3,276,2,6.21724893790088E-15,polynomial reduced; structure OK
S2,0.05,2,1,1,0.00679838465868126,0.0553384401499038,null,24,3,276,2,1.77635683940025E-15,polynomial reduced; structure OK
S2,0.05,3,1,1,0.0098829978713133,0.0502874499381802,null,24,3,276,2,5.77315972805081E-15,polynomial reduced; structure OK
S2,0.05,4,1,1,0.0451050819081857,0.0571427927706128,null,24,3,276,2,5.77315972805081E-15,polynomial reduced; structure OK
S2,0.05,5,1,1,0.00767880474622676,0.0483576570617354,null,24,3,276,2,4.44089209850063E-15,polynomial reduced; structure OK
S2,0.05,6,1,1,0.029321833907367,0.0527660646053646,null,24,3,276,2,7.54951656745106E-15,polynomial reduced; structure OK
S2,0.05,7,1,1,0.0333445930946746,0.0508890923766661,null,24,3,276,2,6.21724893790088E-15,polynomial reduced; structure OK
S2,0.05,8,1,1,0.0209831415239681,0.0491573404732844,null,24,3,276,2,1.19904086659517E-14,polynomial reduced; structure OK
S2,0.05,9,1,1,0.0222823084188563,0.0541142654710749,null,24,4,276,4,8.88178419700125E-16,polynomial reduced; structure OK
S2,0.05,10,1,1,0.0220765326819901,0.0534603114628876,null,24,3,276,2,4.44089209850063E-15,polynomial reduced; structure OK
S2,0.05,11,1,1,0.0117153152993106,0.0535334384247939,null,24,3,276,2,5.55111512312578E-15,polynomial reduced; structure OK
S2,0.05,12,1,1,0.0341246217978727,0.0515920924702144,null,24,3,276,2,2.22044604925031E-15,polynomial reduced; structure OK
S2,0.05,13,1,1,0.013566047596196,0.0479265486580155,null,24,3,276,2,7.99360577730113E-15,polynomial reduced; structure OK
S2,0.05,14,1,1,0.0521207254037886,0.0492957263292787,null,24,3,276,2,7.54951656745106E-15,polynomial reduced; structure OK
S2,0.05,15,1,1,0.0178544181314752,0.0520624243516819,null,24,3,276,2,3.5527136788005E-15,polynomial reduced; structure OK
S3,0,1,1,1,1.26121335597418E-13,1.47046782662864E-14,null,24,3,276,3,3.10862446895044E-15,polynomial reduced; structure OK
S3,0,2,1,1,2.96059473233375E-14,3.99707523933732E-15,null,24,3,276,3,2.66453525910038E-15,polynomial reduced; structure OK
S3,0,3,1,1,1.80596278672359E-13,2.14154538630985E-14,null,24,3,276,3,4.44089209850063E-16,polynomial reduced; structure OK
S3,0,4,1,1,9.50350909079134E-14,1.09990152358173E-14,null,24,3,276,3,3.5527136788005E-15,polynomial reduced; structure OK
S3,0,5,1,1,7.61295788314393E-15,2.54959616730534E-15,null,24,3,276,3,5.32907051820075E-15,polynomial reduced; structure OK
S3,0,6,1,1,1.34114941374719E-13,1.48630175021625E-14,null,24,3,276,3,3.5527136788005E-15,polynomial reduced; structure OK
S3,0,7,1,1,3.04941257430376E-14,3.22618370995975E-15,null,24,3,276,3,9.99200722162641E-16,polynomial reduced; structure OK
S3,0,8,1,1,3.46389583683049E-14,5.46708033189659E-15,null,24,3,276,3,3.10862446895044E-15,polynomial reduced; structure OK
S3,0,9,1,1,3.11750625314744E-13,3.43081604149307E-14,null,24,3,276,3,1.55431223447522E-15,polynomial reduced; structure OK
S3,0,10,1,1,2.1582735598713E-13,2.26792193449306E-14,null,24,3,276,3,7.54951656745106E-15,polynomial reduced; structure OK
S3,0,11,1,1,5.9211894646675E-15,1.79308789421405E-15,null,24,3,276,3,8.88178419700125E-16,polynomial reduced; structure OK
S3,0,12,1,1,8.88178419700125E-15,2.69745816657336E-15,null,24,3,276,3,2.66453525910038E-15,polynomial reduced; structure OK
S3,0,13,1,1,1.55431223447522E-13,1.70667500000241E-14,null,24,3,276,3,1.77635683940025E-15,polynomial reduced; structure OK
S3,0,14,1,1,8.31927119785784E-14,9.47329993859977E-15,null,24,3,276,3,4.88498130835069E-15,polynomial reduced; structure OK
S3,0,15,1,1,8.4780667335012E-15,3.04066512655549E-15,null,24,3,276,3,8.88178419700125E-16,polynomial reduced; structure OK
S3,0.05,1,1,1,0.0146190581884599,0.0542540488693435,null,24,3,276,3,9.99200722162641E-16,polynomial reduced; structure OK
S3,0.05,2,1,1,0.114711218062619,0.0597608094580293,null,24,3,276,3,6.66133814775094E-15,polynomial reduced; structure OK
S3,0.05,3,1,1,0.0973265451430065,0.0495211784482875,null,24,3,276,3,1.77635683940025E-15,polynomial reduced; structure OK
S3,0.05,4,1,1,0.232538982508295,0.0595114906851007,null,24,3,276,3,7.99360577730113E-15,polynomial reduced; structure OK
S3,0.05,5,1,1,0.0384887076663036,0.0491353614662149,null,24,4,276,5,2.22044604925031E-15,polynomial reduced; structure OK
S3,0.05,6,1,1,0.0248059032022105,0.0442714102738662,null,24,3,276,3,1.77635683940025E-15,polynomial reduced; structure OK
S3,0.05,7,1,1,0.121462277034161,0.052285191841341,null,24,3,276,3,7.99360577730113E-15,polynomial reduced; structure OK
S3,0.05,8,1,1,0.0143449010823197,0.049285964650985,null,24,3,276,3,4.88498130835069E-15,polynomial reduced; structure OK
S3,0.05,9,1,1,0.154531295807266,0.0541544363569545,null,24,3,276,3,1.77635683940025E-15,polynomial reduced; structure OK
S3,0.05,10,1,1,0.0482154528875699,0.0516266700697905,null,24,3,276,3,2.66453525910038E-15,polynomial reduced; structure OK
S3,0.05,11,1,1,0.0250962920945315,0.0474052098524305,null,24,3,276,3,8.88178419700125E-16,polynomial reduced; structure OK
S3,0.05,12,1,1,0.0193232477406876,0.0482639757052089,null,24,4,276,5,2.22044604925031E-15,polynomial reduced; structure OK
S3,0.05,13,1,1,0.16301219818803,0.0515140595128875,null,24,3,276,3,2.66453525910038E-15,polynomial reduced; structure OK
S3,0.05,14,1,1,0.0349440072530947,0.0495179625603665,null,24,3,276,3,4.88498130835069E-15,polynomial reduced; structure OK
S3,0.05,15,1,1,0.203609548722618,0.0576265357934884,null,24,4,276,5,3.5527136788005E-15,polynomial reduced; structure OK
S4,0,1,1,1,2.08166817117217E-15,1.45575627147407E-15,null,25,5,299,4,4.66293670342566E-15,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=1.16332E-30
S4,0,2,1,1,2.22044604925031E-15,6.5508706265026E-16,null,25,5,299,4,4.44089209850063E-16,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=2.16262E-31
S4,0,3,1,1,8.32667268468867E-15,6.59494955781934E-16,null,25,5,299,4,8.88178419700125E-16,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=2.55049E-31
S4,0,4,1,1,3.03923552991137E-14,2.26341760374803E-15,null,25,5,299,4,4.44089209850063E-16,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=1.76275E-30
S4,0,5,1,1,1.80411241501588E-14,2.05676852106359E-15,null,25,5,299,4,8.88178419700125E-16,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=2.02131E-30
S4,0,6,1,1,6.10622663543836E-15,7.21958192569914E-16,null,25,5,299,4,1.99840144432528E-15,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=2.20058E-31
S4,0,7,1,1,4.85722573273506E-15,2.0918284652623E-15,null,25,5,299,4,3.5527136788005E-15,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=1.56227E-30
S4,0,8,1,1,8.74300631892311E-15,1.34454270156073E-15,null,25,5,299,4,3.10862446895044E-15,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=8.36312E-31
S4,0,9,1,1,5.55111512312578E-15,1.73773294883174E-15,null,25,5,299,4,4.88498130835069E-15,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=1.68368E-30
S4,0,10,1,1,2.72004641033163E-14,1.98112948412979E-15,null,25,5,299,4,2.88657986402541E-15,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=1.85895E-30
S4,0,11,1,1,4.02455846426619E-15,8.75090418369542E-16,null,25,5,299,4,3.5527136788005E-15,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=4.2628E-31
S4,0,12,1,1,4.44089209850063E-15,8.40300263519855E-16,null,25,5,299,4,1.55431223447522E-15,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=2.59503E-31
S4,0,13,1,1,8.18789480661053E-15,7.0876619442791E-16,null,25,5,299,4,1.77635683940025E-15,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=2.26109E-31
S4,0,14,1,1,2.41473507855972E-14,2.39234252626008E-15,null,25,5,299,4,4.44089209850063E-15,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=2.99825E-30
S4,0,15,1,1,7.7715611723761E-15,1.1686038916257E-15,null,25,5,299,4,3.99680288865056E-15,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=7.13334E-31
S4,0.05,1,1,1,0.0179924797713588,0.0573169136211848,null,25,5,299,4,1.33226762955019E-15,installed diag OLS c0=0.199546 a=1.30086 b=0.814394 Lval=0.0013438
S4,0.05,2,1,1,0.0258020894285324,0.0544752821852367,null,25,5,299,4,3.77475828372553E-15,installed diag OLS c0=0.20516 a=1.28755 b=0.797248 Lval=0.00108459
S4,0.05,3,1,1,0.0125739112719248,0.0514395607628729,null,25,5,299,4,4.88498130835069E-15,installed diag OLS c0=0.197485 a=1.30837 b=0.800201 Lval=0.00111421
S4,0.05,4,1,1,0.0041317791424475,0.0468983349012009,null,25,5,299,4,4.21884749357559E-15,installed diag OLS c0=0.199174 a=1.30369 b=0.798708 Lval=0.00145466
S4,0.05,5,1,1,0.00583373627301132,0.0546106330705221,null,25,5,299,4,3.33066907387547E-15,installed diag OLS c0=0.200255 a=1.30758 b=0.804421 Lval=0.00143869
S4,0.05,6,1,1,0.0035991602585092,0.0438974302000349,null,25,5,299,4,4.88498130835069E-15,installed diag OLS c0=0.2004 a=1.29661 b=0.802879 Lval=0.00100343
S4,0.05,7,1,1,0.00879542545491496,0.0541272458743409,null,25,5,299,4,1.55431223447522E-15,installed diag OLS c0=0.201759 a=1.29646 b=0.797901 Lval=0.00101224
S4,0.05,8,1,1,0.0160440307382642,0.0500730005548529,null,25,5,299,4,3.33066907387547E-15,installed diag OLS c0=0.196791 a=1.3003 b=0.806024 Lval=0.00143897
S4,0.05,9,1,1,0.0359619382960306,0.0486423878365945,null,25,5,299,4,2.22044604925031E-15,installed diag OLS c0=0.207192 a=1.30329 b=0.78759 Lval=0.00111571
S4,0.05,10,1,1,0.0102993767129564,0.0458930368111987,null,25,5,299,4,2.22044604925031E-15,installed diag OLS c0=0.20206 a=1.29015 b=0.801671 Lval=0.00128788
S4,0.05,11,1,1,0.0122773278585246,0.0475402329856107,null,25,5,299,4,6.66133814775094E-16,installed diag OLS c0=0.200043 a=1.30401 b=0.790178 Lval=0.00135373
S4,0.05,12,1,1,0.00638203375530623,0.049833204814,null,25,5,299,4,4.66293670342566E-15,installed diag OLS c0=0.200987 a=1.2917 b=0.803829 Lval=0.00121952
S4,0.05,13,1,1,0.020291971886254,0.0483653859144579,null,25,5,299,4,1.33226762955019E-15,installed diag OLS c0=0.195942 a=1.29856 b=0.801097 Lval=0.00121948
S4,0.05,14,1,1,0.00984953174136993,0.0493070479835374,null,25,5,299,4,4.21884749357559E-15,installed diag OLS c0=0.19803 a=1.30987 b=0.807868 Lval=0.00116134
S4,0.05,15,1,1,0.00853382573190316,0.0494872976824393,null,25,5,299,4,4.88498130835069E-15,installed diag OLS c0=0.201691 a=1.28891 b=0.802461 Lval=0.00162343
S5,0,1,1,1,0.429009136872446,0.312520904422761,0.880434782608696,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0,2,1,1,0.156521424787752,0.306911032776877,0.956521739130435,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0,3,1,1,0.0568346253819982,0.326654805586843,0.978260869565217,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0,4,1,1,0.147083974926682,0.305880022574976,0.934782608695652,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0,5,1,1,0.302783364248353,0.2936548594448,0.934782608695652,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0,6,1,1,0.0156588959793226,0.313078158761732,1,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0,7,1,1,1,0.315885570758495,0.83695652173913,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0,8,1,1,0.203836103778485,0.296215628858476,0.934782608695652,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0,9,1,1,0.392715572092311,0.298622769866476,0.923913043478261,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0,10,1,1,0.103626161508692,0.288532170806241,0.978260869565217,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0,11,1,1,0.0721455144966963,0.0893715183935494,0.989130434782609,25,20,299,92,0,canonical centred quadratic h with a~b
S5,0,12,1,1,0.140568975023962,0.294317081909268,0.956521739130435,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0,13,1,1,0.238752843901784,0.292827662157612,0.902173913043478,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0,14,1,1,0.385569096945801,0.31256030969462,0.880434782608696,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0,15,1,1,0.0894740826994167,0.290449324580094,0.956521739130435,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0.05,1,1,1,0.360348749656441,0.374176524024436,0.815217391304348,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0.05,2,1,1,0.163728903931951,0.352939639750235,0.880434782608696,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0.05,3,1,1,0.504265594815115,0.350617940230893,0.869565217391304,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0.05,4,1,1,0.14934150182653,0.345590356643838,0.91304347826087,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0.05,5,1,1,0.578508755223993,0.361088035607644,0.815217391304348,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0.05,6,1,1,0.296231217302738,0.341968412412296,0.815217391304348,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0.05,7,1,1,0.225066466045792,0.338367583408709,0.891304347826087,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0.05,8,1,1,0.148015832081182,0.351802696993266,0.891304347826087,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0.05,9,1,1,0.0357682787462182,0.347618202740959,0.956521739130435,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0.05,10,1,1,0.0911944764533477,0.35099122693451,0.9,25,4,299,3,0,canonical centred quadratic h with a~b
S5,0.05,11,1,1,0.304339491201063,0.310913527149471,0.869565217391304,25,4,299,3,0,canonical centred quadratic h with a~b
