attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,276,1.1575322499435E-06,1.93078244907892E-05,15.6801611719514,0,2000
2,69,276,276,1.1575322499435E-06,2.87409116711625E-06,1.48294694792006,0,2000
3,34,276,276,1.1575322499435E-06,5.56111121487065E-06,3.80428188082197,0,2000
4,17,276,276,1.1575322499435E-06,1.69489845503321E-06,0.46423432704872,0,2000
5,8,276,268,1.1575322499435E-06,7.7078172766527E-07,-0.334116412132023,1,2000
6,8,268,260,1.1575322499435E-06,7.76784707402548E-07,-0.328930397023095,1,2000
7,8,260,260,1.1575322499435E-06,1.555559605413E-06,0.343858545184313,0,2000
8,4,260,235,1.1575322499435E-06,9.61461251163856E-07,-0.169387072186727,1,2000
9,4,235,231,1.1575322499435E-06,8.21565398524034E-07,-0.290244052756081,1,2000
10,4,231,227,1.1575322499435E-06,1.23320792683728E-06,0.0653767330434842,1,2000
11,4,227,227,1.1575322499435E-06,1.37783552802139E-06,0.190321503429943,0,2000
12,2,227,227,1.1575322499435E-06,3.70467531515315E-06,2.2004942543363,0,2000
13,1,227,227,1.1575322499435E-06,2.13001911445068E-06,0.840138030326712,0,2000
