attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,276,0.000143707028477103,0.000174809714824509,0.216431212008266,0,2000
2,69,276,276,0.000143707028477103,0.000163859182698676,0.140230818458423,0,2000
3,34,276,276,0.000143707028477103,0.000349358735715541,1.43104835871826,0,2000
4,17,276,259,0.000143707028477103,0.000136720889046688,-0.0486137630458964,1,2000
5,17,259,259,0.000143707028477103,0.000180479915309249,0.255887879819353,0,2000
6,8,259,251,0.000143707028477103,0.000152349911783893,0.0601423841156574,1,2000
7,8,251,251,0.000143707028477103,0.000161832134240534,0.126125395226016,0,2000
8,4,251,251,0.000143707028477103,0.000187078029106947,0.301801526963963,0,2000
9,2,251,251,0.000143707028477103,0.00021055088947409,0.465139817483854,0,2000
10,1,251,251,0.000143707028477103,0.0001626686656343,0.131946484163909,0,2000
