Exp06 total=250: structure 250/250, canonical 250/250.
# Synthetic recovery summary

| Problem | Noise | n | Structure % | Canonical % | Mean max-rel-coeff-err | Mean RMSE/Acc |
|---------|-------|---|-------------|-------------|------------------------|---------------|
| S1 | 0 | 10 | 100.0 | 100.0 | 0.00 % | 3.18E-05 |
| S1 | 0.01 | 10 | 100.0 | 100.0 | 0.07 % | 0.009805 |
| S1 | 0.02 | 10 | 100.0 | 100.0 | 0.18 % | 0.01968 |
| S1 | 0.05 | 10 | 100.0 | 100.0 | 0.56 % | 0.04982 |
| S1 | 0.1 | 10 | 100.0 | 100.0 | 1.62 % | 0.1007 |
| S2 | 0 | 10 | 100.0 | 100.0 | 0.00 % | 7.804E-16 |
| S2 | 0.01 | 10 | 100.0 | 100.0 | 0.27 % | 0.01009 |
| S2 | 0.02 | 10 | 100.0 | 100.0 | 0.95 % | 0.02131 |
| S2 | 0.05 | 10 | 100.0 | 100.0 | 2.60 % | 0.05198 |
| S2 | 0.1 | 10 | 100.0 | 100.0 | 5.17 % | 0.1029 |
| S3 | 0 | 10 | 100.0 | 100.0 | 0.00 % | 1.342E-14 |
| S3 | 0.01 | 10 | 100.0 | 100.0 | 0.85 % | 0.0103 |
| S3 | 0.02 | 10 | 100.0 | 100.0 | 6.20 % | 0.02344 |
| S3 | 0.05 | 10 | 100.0 | 100.0 | 6.76 % | 0.05303 |
| S3 | 0.1 | 10 | 100.0 | 100.0 | 12.22 % | 0.105 |
| S4 | 0 | 10 | 100.0 | 100.0 | 0.00 % | 1.497E-15 |
| S4 | 0.01 | 10 | 100.0 | 100.0 | 0.38 % | 0.00964 |
| S4 | 0.02 | 10 | 100.0 | 100.0 | 0.87 % | 0.02024 |
| S4 | 0.05 | 10 | 100.0 | 100.0 | 1.41 % | 0.05074 |
| S4 | 0.1 | 10 | 100.0 | 100.0 | 3.64 % | 0.1032 |
| S5 | 0 | 10 | 100.0 | 100.0 | 28.08 % | 0.9359 |
| S5 | 0.01 | 10 | 100.0 | 100.0 | 33.02 % | 0.8931 |
| S5 | 0.02 | 10 | 100.0 | 100.0 | 30.65 % | 0.8989 |
| S5 | 0.05 | 10 | 100.0 | 100.0 | 25.52 % | 0.8748 |
| S5 | 0.1 | 10 | 100.0 | 100.0 | 32.73 % | 0.8319 |
