problem,noise,seed,structure_ok,canonical,max_rel_err,test_rmse,test_acc,dense_n,pruned_n,dense_e,pruned_e,fidelity_max,reason
S1,0,1,1,1,2.22044604925031E-15,2.0245468102049E-15,null,24,2,276,1,2.66453525910038E-15,polynomial reduced; structure OK
S1,0,2,1,1,6.8463753185218E-15,4.17676073374078E-15,null,24,2,276,1,4.44089209850063E-15,polynomial reduced; structure OK
S1,0,3,1,1,1.48029736616688E-15,1.60784418549125E-15,null,24,2,276,1,1.77635683940025E-15,polynomial reduced; structure OK
S1,0,4,1,1,9.99200722162641E-15,6.82359284325524E-15,null,24,2,276,1,1.99840144432528E-15,polynomial reduced; structure OK
S1,0,5,1,1,9.62193288008469E-15,5.74462193723361E-15,null,24,2,276,1,2.22044604925031E-15,polynomial reduced; structure OK
S1,0,6,1,1,0.000495606303487772,0.000317995361824958,null,24,2,276,1,4.66293670342566E-15,polynomial reduced; structure OK
S1,0,7,1,1,4.79616346638068E-15,3.60840511815556E-15,null,24,2,276,1,6.66133814775094E-15,polynomial reduced; structure OK
S1,0,8,1,1,8.88178419700125E-15,5.53757856921006E-15,null,24,2,276,1,8.88178419700125E-16,polynomial reduced; structure OK
S1,0,9,1,1,9.25185853854297E-16,5.96267748098558E-16,null,24,2,276,1,1.11022302462516E-15,polynomial reduced; structure OK
S1,0,10,1,1,3.5527136788005E-15,2.52780009737522E-15,null,24,2,276,1,5.77315972805081E-15,polynomial reduced; structure OK
S1,0.01,1,1,1,0.0013790181603716,0.0094499573811927,null,24,2,276,1,4.44089209850063E-15,polynomial reduced; structure OK
S1,0.01,2,1,1,0.00022411163167817,0.00996437871521086,null,24,2,276,1,2.44249065417534E-15,polynomial reduced; structure OK
S1,0.01,3,1,1,0.000333134854850944,0.00987297640209231,null,24,2,276,1,1.77635683940025E-15,polynomial reduced; structure OK
S1,0.01,4,1,1,0.000174288956226754,0.010465519454676,null,24,2,276,1,5.77315972805081E-15,polynomial reduced; structure OK
S1,0.01,5,1,1,0.000370945930456649,0.00900520298047413,null,24,2,276,1,1.99840144432528E-15,polynomial reduced; structure OK
S1,0.01,6,1,1,0.000875174253070303,0.00934047084617046,null,24,2,276,1,4.44089209850063E-15,polynomial reduced; structure OK
S1,0.01,7,1,1,0.00104124279098801,0.00935291417748447,null,24,2,276,1,5.32907051820075E-15,polynomial reduced; structure OK
S1,0.01,8,1,1,0.00154926360170134,0.0111643772039565,null,24,2,276,1,1.55431223447522E-15,polynomial reduced; structure OK
S1,0.01,9,1,1,0.000290001997166149,0.0110437982320613,null,24,2,276,1,1.77635683940025E-15,polynomial reduced; structure OK
S1,0.01,10,1,1,0.000704460864661272,0.00839361319414889,null,24,2,276,1,3.5527136788005E-15,polynomial reduced; structure OK
S1,0.02,1,1,1,0.00275685020291461,0.0199974052090451,null,24,2,276,1,2.44249065417534E-15,polynomial reduced; structure OK
S1,0.02,2,1,1,0.000448223263354741,0.0199287574304217,null,24,2,276,1,4.88498130835069E-15,polynomial reduced; structure OK
S1,0.02,3,1,1,0.000666269709694856,0.0197459528041838,null,24,2,276,1,3.77475828372553E-15,polynomial reduced; structure OK
S1,0.02,4,1,1,0.000348577912475179,0.0209310389093515,null,24,2,276,1,3.10862446895044E-15,polynomial reduced; structure OK
S1,0.02,5,1,1,0.00234552904023059,0.0176283279830107,null,24,2,276,1,5.77315972805081E-15,polynomial reduced; structure OK
S1,0.02,6,1,1,0.00175034850613505,0.0186809416923415,null,24,2,276,1,1.99840144432528E-15,polynomial reduced; structure OK
S1,0.02,7,1,1,0.00208248558198435,0.0187058283549703,null,24,2,276,1,2.66453525910038E-15,polynomial reduced; structure OK
