attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,131,0.000231683649655477,0.000238229325428035,0.0282526444239465,1,2500
2,138,131,131,0.000231683649655477,0.533431490449504,2301.41318816731,0,2500
3,69,131,42,0.000231683649655477,0.000186412819203855,-0.195399332317759,1,2500
4,69,42,42,0.000231683649655477,0.514384814629336,2219.20334794556,0,2500
5,34,42,42,0.000231683649655477,0.0189201966511628,80.6639269939763,0,2500
6,17,42,18,0.000231683649655477,0.000210613329643994,-0.0909443546957879,1,2500
7,17,18,18,0.000231683649655477,0.544536180501802,2349.3435883868,0,2500
8,8,18,18,0.000231683649655477,0.0223622800884885,95.5207519898024,0,2500
9,4,18,12,0.000231683649655477,0.000223422440414332,-0.0356572820457084,1,2500
10,4,12,12,0.000231683649655477,0.0181117779411651,77.17460562322,0,2500
11,2,12,12,0.000231683649655477,0.000668503406636188,1.885414692104,0,2500
12,1,12,10,0.000231683649655477,0.000228158695162858,-0.0152145155597309,1,2500
13,1,10,10,0.000231683649655477,0.00116769442755366,4.04003812651463,0,2500
9100,1,10,10,0.000231683649655477,0.0193126025455668,82.3576412245121,0,2500
9101,1,10,10,0.000231683649655477,0.000465447292630791,1.00897773029271,0,2500
9200,1,10,10,0.000231683649655477,0.00202711124355573,7.74947907014645,0,2500
9201,1,10,10,0.000231683649655477,0.000585283852463364,1.52621992675662,0,2500
9202,1,10,10,0.000231683649655477,0.0152984868315432,65.0317931554201,0,2500
9203,1,10,10,0.000231683649655477,0.000638384818978334,1.75541592998746,0,2500
9204,1,10,10,0.000231683649655477,0.0105110065196899,44.3679253383663,0,2500
9205,1,10,10,0.000231683649655477,0.0170720157970174,72.6867527009531,0,2500
9300,6,10,10,0.000231683649655477,0.0223423464784164,95.4347139370448,0,2500
