index,src,dst,weight
0,0,1,1.40527649570357
1,0,2,-1.2027887730586
2,0,3,-1.21019552517412
3,0,4,1.25063008017335
4,0,9,1.91442786807105
5,1,3,-0.834474292268419
6,1,5,-0.891381034285721
7,2,4,-0.832707068458418
8,2,6,-0.542368906571675
9,3,6,0.606414200562023
10,3,8,-0.861221597026823
11,3,9,-1.03961857055971
12,4,5,-1.10032763629457
13,5,6,-0.581263339115125
14,5,7,1.04658239140329
15,5,8,-0.934805919584147
16,6,7,-0.932711132132591
17,6,9,-0.501726390905238
18,7,9,-1.48376920093918
19,8,9,-1.73842994623929
