attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,121,2.66696968712143E-06,1.55985650771151E-06,-0.415120271053726,1,2500
2,138,121,121,2.66696968712143E-06,0.45105805143929,169126.550874467,0,2500
3,69,121,121,2.66696968712143E-06,7.90504959595977E-05,28.6405678479684,0,2500
4,34,121,87,2.66696968712143E-06,1.33562755872612E-06,-0.499196573108515,1,2500
5,34,87,87,2.66696968712143E-06,0.000121328269383619,44.4929315355562,0,2500
6,17,87,87,2.66696968712143E-06,6.054485188832E-05,21.7017397988009,0,2500
7,8,87,87,2.66696968712143E-06,4.15161338708624E-06,0.556678130664191,0,2500
8,4,87,87,2.66696968712143E-06,4.53792125607973E-06,0.701527121959043,0,2500
9,2,87,87,2.66696968712143E-06,5.67128606877758E-06,1.12649063698164,0,2500
10,1,87,87,2.66696968712143E-06,3.57205385674906E-06,0.339368000318191,0,2500
9100,1,87,72,2.66696968712143E-06,1.23769800091065E-06,-0.53591598476451,1,2500
9101,1,72,64,2.66696968712143E-06,9.74108474569207E-07,-0.634750826275569,1,2500
9102,1,64,54,2.66696968712143E-06,6.61221376359792E-07,-0.752070156795266,1,2500
9103,1,54,44,2.66696968712143E-06,1.63604230210937E-06,-0.386553844233896,1,2500
