attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,276,1.31051907938882E-05,3.81030784886931E-05,1.90747987480373,0,2500
2,69,276,207,1.31051907938882E-05,1.1739578685924E-05,-0.104203908927529,1,2500
3,69,207,207,1.31051907938882E-05,2.43687587703626E-05,0.859473788182264,0,2500
4,34,207,207,1.31051907938882E-05,2.08609865405457E-05,0.591810975409415,0,2500
5,17,207,190,1.31051907938882E-05,9.23880602369359E-06,-0.295026972976064,1,2500
6,17,190,190,1.31051907938882E-05,1.70787201888156E-05,0.30320271237718,0,2500
7,8,190,182,1.31051907938882E-05,9.90574037444087E-06,-0.244136119020827,1,2500
8,8,182,182,1.31051907938882E-05,1.95355534103538E-05,0.490672949184725,0,2500
9,4,182,182,1.31051907938882E-05,2.77087568670079E-05,1.11433448797481,0,2500
10,2,182,182,1.31051907938882E-05,1.73764388485548E-05,0.325920325910749,0,2500
11,1,182,181,1.31051907938882E-05,1.24870266249424E-05,-0.0471694139114763,1,2500
12,1,181,180,1.31051907938882E-05,9.73040208001583E-06,-0.257515420183448,1,2500
13,1,180,179,1.31051907938882E-05,1.4128381264009E-05,0.0780752059403795,1,2500
14,1,179,178,1.31051907938882E-05,9.66192262126329E-06,-0.262740789262735,1,2500
15,1,178,177,1.31051907938882E-05,1.36577958838817E-05,0.0421668862883899,1,2500
16,1,177,177,1.31051907938882E-05,2.12227679026111E-05,0.619416934586612,0,2500
