attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,276,3.61473290293282E-05,5.36070033213749E-05,0.483014229844777,0,2500
2,69,276,189,3.61473290293282E-05,3.58061095045603E-05,-0.00943968846193527,1,2500
3,69,189,189,3.61473290293282E-05,4.62138909325382E-05,0.278487018917566,0,2500
4,34,189,189,3.61473290293282E-05,6.66484998283981E-05,0.843801509492519,0,2500
5,17,189,189,3.61473290293282E-05,4.70980600171515E-05,0.302947168764211,0,2500
6,8,189,189,3.61473290293282E-05,4.16072043817961E-05,0.151045056414487,0,2500
7,4,189,185,3.61473290293282E-05,3.77899867823186E-05,0.0454434061132868,1,2500
8,4,185,185,3.61473290293282E-05,4.37397840216977E-05,0.210041936603653,0,2500
9,2,185,183,3.61473290293282E-05,3.73245004360375E-05,0.032565930549232,1,2500
10,2,183,181,3.61473290293282E-05,3.76170915448274E-05,0.0406603352161025,1,2500
11,2,181,179,3.61473290293282E-05,3.50723214639035E-05,-0.0297396126986991,1,2500
12,2,179,177,3.61473290293282E-05,3.38149004583653E-05,-0.06452561319456,1,2500
13,2,177,177,3.61473290293282E-05,5.41998447575889E-05,0.499414928101983,0,2500
14,1,177,177,3.61473290293282E-05,5.25192968821844E-05,0.452923308374258,0,2500
9100,1,177,162,3.61473290293282E-05,3.99918985969611E-05,0.10635833050109,1,2500
9101,1,162,146,3.61473290293282E-05,4.02520609263448E-05,0.11355560721198,1,2500
9102,1,146,130,3.61473290293282E-05,2.36170662349499E-05,-0.3466442232623,1,2500
9103,1,130,119,3.61473290293282E-05,4.01426772771752E-05,0.110529556543592,1,2500
9104,1,119,105,3.61473290293282E-05,2.7286919674562E-05,-0.245119337796088,1,2500
9105,1,105,91,3.61473290293282E-05,4.34288789221694E-05,0.20144088341723,1,2500
9106,1,91,79,3.61473290293282E-05,4.31239010103531E-05,0.193003803278645,1,2500
