model,seed,prune,passe,canonical,explicit_r2,k,b,pi_error,test_rmse,dense_n,final_n,dense_e,final_e,terms,sqlin,val_loss,fid_max,reason
A,1,1,0,0,0,null,0,null,5513.5582444759,24,13,276,62,74,0,0.000173921943881744,3.99680288865056E-15,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=2.20468)
A,2,1,0,0,0,null,-186185.666879132,null,54006.2907638328,24,2,276,1,2,0,0.0146567537804707,2.66453525910038E-15,non-canonical: no r^2 term (c2~0)
A,3,1,0,0,0,null,0,null,4796.47006775652,24,5,276,7,11,0,0.000258210464239859,4.66293670342566E-15,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.85654)
A,4,1,0,0,0,null,0,null,7788.01331102744,24,5,276,8,12,0,0.000459533867977709,4.44089209850063E-15,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.85515)
A,5,1,0,0,0,null,0,null,9964.69090227907,24,5,276,7,11,0,0.000730529882132861,6.66133814775094E-15,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.78887)
A,6,1,0,0,0,null,0,null,7924.40859393147,24,5,276,8,12,0,0.000511430603260227,3.99680288865056E-15,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.8365)
A,7,1,0,0,0,null,0,null,7045.12396535827,24,6,276,10,15,0,0.000228158695162858,3.5527136788005E-15,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=2.13331)
A,8,1,0,0,0,null,0,null,8351.56748517267,24,9,276,19,27,0,0.000591237560687222,6.21724893790088E-15,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.58318)
A,9,1,0,0,0,null,0,null,4904.18066144661,24,4,276,6,9,0,0.000375068734897643,3.5527136788005E-15,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.94311)
A,10,1,0,0,0,null,-183259.661035105,null,55020.4705738867,24,2,276,1,2,0,0.0227136497917262,2.22044604925031E-15,non-canonical: no r^2 term (c2~0)
A,11,1,0,0,0,null,0,null,10974.8657081913,24,5,276,8,12,0,0.000997988905712424,7.105427357601E-15,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.69047)
A,12,1,0,0,0,null,0,null,3313.29059229572,24,10,276,20,29,0,8.82693819570306E-05,5.32907051820075E-15,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=2.85202)
A,13,1,0,0,0,null,0,null,5556.26764819625,24,5,276,7,11,0,0.000361141848059814,7.105427357601E-15,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.7613)
A,14,1,0,0,0,null,0,null,3488.14775197884,24,8,276,15,22,0,7.11646908647458E-05,5.32907051820075E-15,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.35593)
A,15,1,0,0,0,null,0,null,8757.28871982462,24,5,276,7,11,0,0.000394434587778793,1.4210854715202E-14,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.58765)
B,1,1,0,0,1,null,0,null,2174.60174841237,24,10,276,16,25,8,4.31598188106894E-05,4.44089209850063E-15,non-canonical: square of degree>1 polynomial
B,2,1,0,0,1,null,0,null,1091.73802397918,24,9,276,13,21,7,4.87429311166749E-06,8.88178419700125E-16,non-canonical: square of degree>1 polynomial
B,3,1,0,0,1,null,0,null,407.284007286829,24,15,276,44,58,11,1.63604230210937E-06,1.19904086659517E-14,non-canonical: square of degree>1 polynomial
B,4,1,0,0,1,null,0,null,382.50785413225,24,16,276,87,102,12,7.45582486681321E-07,1.77635683940025E-15,non-canonical: square of degree>1 polynomial
B,5,1,0,0,1,null,0,null,438.584182684261,24,13,276,32,44,10,1.39093212557071E-06,1.77635683940025E-15,non-canonical: square of degree>1 polynomial
B,6,1,0,1,1,3.14167045420687,11.9402461906948,2.47647055655949E-05,24.2389179035217,24,3,276,2,4,1,3.1389320912038E-09,1.66533453693773E-15,canonical A = b + k r^2
B,7,1,0,0,1,null,0,null,2006.86038104328,24,14,276,42,55,11,1.71236890161855E-05,8.88178419700125E-16,non-canonical: square of degree>1 polynomial
B,8,1,0,0,1,null,0,null,2124.31912061668,24,8,276,15,22,6,4.31538491137396E-05,8.88178419700125E-16,non-canonical: square of degree>1 polynomial
B,9,1,0,0,1,null,0,null,475.200700390709,24,14,276,43,56,10,1.95244100968015E-06,8.88178419700125E-16,non-canonical: square of degree>1 polynomial
B,10,1,0,1,1,3.14164896618948,15.7741619138674,1.79248571964719E-05,24.3089905347072,24,3,276,2,4,1,2.7645794225291E-09,1.33226762955019E-14,canonical A = b + k r^2
B,11,1,0,0,1,null,0,null,2787.89823167353,24,9,276,16,24,7,5.65171974901517E-05,1.11022302462516E-15,non-canonical: square of degree>1 polynomial
B,12,1,0,0,1,null,0,null,1442.63132831659,24,12,276,26,37,10,1.37329212570711E-05,2.66453525910038E-15,non-canonical: square of degree>1 polynomial
B,13,1,0,0,1,null,0,null,1671.29184931223,24,16,276,79,94,12,4.31239010103531E-05,2.66453525910038E-15,non-canonical: square of degree>1 polynomial
B,14,1,0,0,1,null,0,null,259.443652644274,24,19,276,102,120,12,2.10976862344784E-07,0,non-canonical: sigmoid on path; square of degree>1 polynomial
B,15,1,0,0,1,null,0,null,2379.26144775069,24,14,276,50,63,9,2.71724984395931E-05,1.33226762955019E-14,non-canonical: square of degree>1 polynomial
C,1,1,0,0,1,null,0,null,583.722633422211,24,23,276,90,112,21,3.94602218259386E-06,2.66453525910038E-15,non-canonical: square of degree>1 polynomial
C,2,1,0,1,1,3.14163991977081,15.3062397573751,1.50452927006138E-05,22.002451223213,24,3,276,2,4,1,3.44940588140893E-09,1.33226762955019E-15,canonical A = b + k r^2
C,3,1,0,0,1,null,0,null,1021.48775364311,24,24,276,177,200,22,1.36577958838817E-05,1.77635683940025E-15,non-canonical: square of degree>1 polynomial
C,4,1,0,0,1,null,0,null,612.666773720962,24,19,276,55,73,17,3.80885306088354E-06,1.99840144432528E-15,non-canonical: square of degree>1 polynomial
C,5,1,0,0,1,null,0,null,1686.22694997487,24,20,276,75,94,18,1.24005447717583E-05,1.33226762955019E-15,non-canonical: square of degree>1 polynomial
C,6,1,0,0,1,null,0,null,891.539647361004,24,21,276,115,135,19,6.71336087272909E-06,2.66453525910038E-15,non-canonical: square of degree>1 polynomial
C,7,1,0,0,1,null,0,null,1177.50866880585,24,24,276,225,248,22,7.31377310607757E-06,1.33226762955019E-15,non-canonical: square of degree>1 polynomial
C,8,1,0,1,1,null,null,null,null,24,24,276,276,299,22,null,0,canonical A = b + k r^2
C,9,1,0,0,1,null,0,null,812.439574565834,24,10,276,16,25,8,6.94096572258825E-06,8.88178419700125E-16,non-canonical: square of degree>1 polynomial
C,10,1,0,0,1,null,0,null,3351.70478218538,24,13,276,28,40,11,9.16246887925065E-05,3.10862446895044E-15,non-canonical: square of degree>1 polynomial
C,11,1,0,0,1,null,0,null,1357.93457528733,24,16,276,47,62,14,1.18533851033686E-05,8.88178419700125E-16,non-canonical: square of degree>1 polynomial
C,12,1,0,1,1,3.14159614816828,0.221299242694761,1.11235888018375E-06,23.1612203489235,24,3,276,2,4,1,3.51744559412508E-09,1.37667655053519E-14,canonical A = b + k r^2
C,13,1,0,1,1,null,null,null,null,24,24,276,276,299,22,null,0,canonical A = b + k r^2
C,14,1,0,0,1,null,0,null,1369.61049761267,24,19,276,61,79,17,1.22197942447411E-05,1.77635683940025E-15,non-canonical: square of degree>1 polynomial
C,15,1,0,1,1,null,null,null,null,24,24,276,276,299,22,null,0,canonical A = b + k r^2
D,1,0,0,0,1,null,0,null,1929.15175468434,24,24,276,276,299,12,4.7524029413909E-05,0,non-canonical: sigmoid on path; square of degree>1 polynomial
D,2,0,0,0,1,null,0,null,2658.50624200167,24,24,276,276,299,12,5.84591778960041E-05,0,non-canonical: sigmoid on path; square of degree>1 polynomial
D,3,0,0,0,1,null,0,null,472.937294653718,24,24,276,276,299,12,2.66696968712143E-06,0,non-canonical: sigmoid on path; square of degree>1 polynomial
D,4,0,0,0,1,null,0,null,324.051485073352,24,24,276,276,299,12,1.0006623572342E-06,0,non-canonical: sigmoid on path; square of degree>1 polynomial
D,5,0,0,0,1,null,0,null,1348.98704094959,24,24,276,276,299,12,7.43855885665292E-06,0,non-canonical: sigmoid on path; square of degree>1 polynomial
D,6,0,0,0,1,null,0,null,2691.95530664614,24,24,276,276,299,12,5.71030619423263E-05,0,non-canonical: sigmoid on path; square of degree>1 polynomial
D,7,0,0,0,1,null,0,null,3178.92276336345,24,24,276,276,299,12,4.30351762505642E-05,0,non-canonical: sigmoid on path; square of degree>1 polynomial
D,8,0,0,0,1,null,0,null,2612.73504979374,24,24,276,276,299,12,4.73319756171598E-05,0,non-canonical: sigmoid on path; square of degree>1 polynomial
D,9,0,0,0,1,null,0,null,1042.08470438277,24,24,276,276,299,12,9.74179209880019E-06,0,non-canonical: sigmoid on path; square of degree>1 polynomial
D,10,0,0,0,1,null,0,null,3808.16091198646,24,24,276,276,299,12,0.00010281821082121,0,non-canonical: sigmoid on path; square of degree>1 polynomial
D,11,0,0,0,1,null,0,null,2822.86401690325,24,24,276,276,299,12,5.28495933028355E-05,0,non-canonical: sigmoid on path; square of degree>1 polynomial
D,12,0,0,0,1,null,0,null,1773.4428249617,24,24,276,276,299,12,2.02003079998591E-05,0,non-canonical: sigmoid on path; square of degree>1 polynomial
D,13,0,0,0,1,null,0,null,1803.3569592816,24,24,276,276,299,12,3.61473290293282E-05,0,non-canonical: sigmoid on path; square of degree>1 polynomial
D,14,0,0,0,1,null,0,null,247.172958239838,24,24,276,276,299,12,2.76935230910492E-07,0,non-canonical: sigmoid on path; square of degree>1 polynomial
D,15,0,0,0,1,null,0,null,2984.21738019175,24,24,276,276,299,12,3.13271984563517E-05,0,non-canonical: sigmoid on path; square of degree>1 polynomial
E,1,1,1,1,1,3.1416381953755,9.3634709533251,1.44964006234587E-05,17.7697754245335,24,3,276,2,4,1,3.61940497829378E-09,3.99680288865056E-15,canonical A = b + k r^2
E,2,1,1,1,1,3.14164976470255,9.57187152301773,1.81790318015711E-05,21.1707862426929,24,3,276,2,4,1,3.1426589742988E-09,8.88178419700125E-16,canonical A = b + k r^2
E,3,1,1,1,1,3.14161779820321,12.316290631274,8.00377903580705E-06,21.5443306362405,24,3,276,2,4,1,3.54695869293982E-09,3.10862446895044E-15,canonical A = b + k r^2
E,4,1,1,1,1,3.14165096404519,9.21645171935034,1.85607944217524E-05,20.6592879984641,24,3,276,2,4,1,3.22175486181529E-09,3.5527136788005E-15,canonical A = b + k r^2
E,5,1,1,1,1,3.14164433504776,9.31554922168979,1.64507190034192E-05,17.9852344955585,24,3,276,2,4,1,3.135922209112E-09,8.88178419700125E-16,canonical A = b + k r^2
E,6,1,1,1,1,3.14167045420687,11.9402461906948,2.47647055655949E-05,24.2389179035217,24,3,276,2,4,1,3.1389320912038E-09,1.66533453693773E-15,canonical A = b + k r^2
E,7,1,1,1,1,3.14165026328409,9.20059844898424,1.83377352351217E-05,17.261487532142,24,3,276,2,4,1,4.33426759887961E-09,1.77635683940025E-15,canonical A = b + k r^2
E,8,1,1,1,1,3.14163352141319,9.74900795702532,1.30086322142075E-05,17.7918699568471,24,3,276,2,4,1,3.79127471078292E-09,8.88178419700125E-16,canonical A = b + k r^2
E,9,1,1,1,1,3.14164948481253,9.9655132899594,1.80899400411452E-05,16.9121957469782,24,3,276,2,4,1,2.31869988842907E-09,8.88178419700125E-16,canonical A = b + k r^2
E,10,1,1,1,1,3.14164896618948,15.7741619138674,1.79248571964719E-05,24.3089905347072,24,3,276,2,4,1,2.7645794225291E-09,1.33226762955019E-14,canonical A = b + k r^2
E,11,1,1,1,1,3.14167079856645,8.22808727814686,2.48743186254298E-05,21.3771249579756,24,3,276,2,4,1,2.89714870244724E-09,4.44089209850063E-16,canonical A = b + k r^2
E,12,1,1,1,1,3.14164052002183,9.55778719112219,1.52363585348957E-05,16.9841019415424,24,3,276,2,4,1,1.7334515933519E-09,4.44089209850063E-15,canonical A = b + k r^2
E,13,1,1,1,1,3.14167299619275,6.77654130164669,2.55738448027316E-05,22.7755763947081,24,3,276,2,4,1,4.75322468540551E-09,0,canonical A = b + k r^2
E,14,1,1,1,1,3.14165060867743,8.38872011319854,1.84476773482175E-05,17.3711079552044,24,3,276,2,4,1,3.24919940454349E-09,3.10862446895044E-15,canonical A = b + k r^2
E,15,1,1,1,1,3.14165772999511,8.03927321062906,2.07144631711002E-05,22.228908651386,24,3,276,2,4,1,4.20659893759316E-09,4.44089209850063E-15,canonical A = b + k r^2
