index,funno,ihono,bias
0,1,1,0
1,1,3,0.0335319565566578
2,1,3,-0.456300010961524
3,1,3,0.00444861609625861
4,2,3,0.193054129735282
5,2,3,0.104287381998504
6,2,3,-0.085686712789386
7,4,3,-0.154193194061855
8,4,3,0.444923396341787
9,4,3,-0.444816236687575
10,4,3,0.143471926438045
11,7,3,-0.374154360737438
12,7,3,-0.383502143256036
13,7,3,-0.173096456188337
14,7,3,0.298933958590645
15,7,3,0.157188940778567
16,7,3,0.0894327639549641
17,7,3,-0.169576367523315
18,7,3,0.106150445372002
19,7,3,0.246411733325767
20,7,3,0.252082041342949
21,7,3,0.519940958448389
22,7,3,-0.300222159258436
23,1,2,-0.39091819933477
