attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,276,9.74179209880019E-06,0.1970237078556,20223.5855646894,0,0
2,69,276,276,9.74179209880019E-06,0.00074730002499581,75.7107342690929,0,0
3,34,276,276,9.74179209880019E-06,0.00166503995526861,169.917213011934,0,0
4,17,276,276,9.74179209880019E-06,0.000165810814440384,16.0205659039681,0,0
5,8,276,276,9.74179209880019E-06,1.40141684718247E-05,0.438561645505726,0,0
6,4,276,272,9.74179209880019E-06,9.80522381562639E-06,0.00651129855604351,1,0
7,4,272,272,9.74179209880019E-06,1.40141684718247E-05,0.438561645505726,0,0
8,2,272,272,9.74179209880019E-06,1.10759423333367E-05,0.136951211954199,0,0
9,1,272,271,9.74179209880019E-06,9.80784316762691E-06,0.00678017639432647,1,0
10,1,271,271,9.74179209880019E-06,1.10759423333367E-05,0.136951211954199,0,0
