attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,276,1.0006623572342E-06,1.97583186031788E-06,0.97452402004909,0,10000
2,69,276,189,1.0006623572342E-06,8.74590818136729E-07,-0.125988089974655,1,10000
3,69,189,189,1.0006623572342E-06,1.68184143059611E-06,0.680728188121979,0,10000
4,34,189,189,1.0006623572342E-06,6.57623756138132E-06,5.57188462605691,0,10000
5,17,189,172,1.0006623572342E-06,1.00864247358625E-06,0.00797483416294767,1,10000
6,17,172,155,1.0006623572342E-06,6.93815706516256E-07,-0.30664354314882,1,10000
7,17,155,155,1.0006623572342E-06,2.761180411632E-06,1.75935273438666,0,10000
8,8,155,147,1.0006623572342E-06,3.95975315057839E-07,-0.6042867884505,1,10000
9,8,147,147,1.0006623572342E-06,3.18014158262984E-06,2.17803658710582,0,10000
10,4,147,143,1.0006623572342E-06,4.34321793516106E-07,-0.565965692247525,1,10000
11,4,143,143,1.0006623572342E-06,1.43436529853247E-06,0.433415865164556,0,10000
12,2,143,143,1.0006623572342E-06,1.23005532394516E-06,0.229241127191982,0,10000
13,1,143,142,1.0006623572342E-06,4.74000089128348E-07,-0.526313660445399,1,10000
14,1,142,142,1.0006623572342E-06,1.70758405162847E-06,0.706453769629329,0,10000
9100,1,142,130,1.0006623572342E-06,7.36086270959428E-07,-0.264400958387257,1,3000
9101,1,130,115,1.0006623572342E-06,5.32415847112082E-07,-0.467936568950528,1,3000
9102,1,115,106,1.0006623572342E-06,9.08127907929191E-07,-0.0924731990126752,1,3000
9103,1,106,96,1.0006623572342E-06,8.25395935056681E-07,-0.17515041003636,1,3000
9104,1,96,96,1.0006623572342E-06,3.3629518060559E-06,2.36072580500678,0,3000
9105,1,96,83,1.0006623572342E-06,4.22859921777818E-07,-0.577419977157341,1,3000
9106,1,83,83,1.0006623572342E-06,3.01929222322243E-06,2.01729369691456,0,3000
9107,1,83,75,1.0006623572342E-06,8.7889854961478E-08,-0.912168320986509,1,3000
9108,1,75,75,1.0006623572342E-06,1.84087062679706E-06,0.839652119907021,0,3000
9200,1,75,74,1.0006623572342E-06,1.36055131909862E-07,-0.864034925540805,1,3000
9201,1,74,73,1.0006623572342E-06,2.52324616253195E-07,-0.747842402155896,1,3000
9202,1,73,72,1.0006623572342E-06,8.24558105831282E-08,-0.917598768468684,1,3000
9203,1,72,71,1.0006623572342E-06,1.33226165459287E-07,-0.86686201944528,1,3000
9204,1,71,68,1.0006623572342E-06,7.33706168592235E-07,-0.266779485319929,1,3000
