Exp09 total runs=100.
# Network size sensitivity

| Task | Hidden | n | Canon % | Struct % | Mean final n | Mean final e | Mean metric | PassE % | Mean t(s) |
|------|--------|---|---------|----------|--------------|--------------|-------------|---------|-----------|
| area | 8 | 10 | 100 | 100 | 3.0 | 2.0 | 19.88 | 90 | 0.18 |
| area | 12 | 10 | 90 | 100 | 4.1 | 10.9 | NaN | 30 | 0.54 |
| area | 22 | 10 | 100 | 100 | 3.0 | 2.0 | 21.55 | 40 | 1.06 |
| area | 36 | 10 | 100 | 100 | 3.0 | 2.0 | 21.23 | 30 | 2.12 |
| area | 50 | 10 | 100 | 100 | 3.0 | 2.0 | 21.35 | 30 | 6.03 |
| circle | 8 | 10 | 100 | 100 | 6.2 | 14.5 | 0.9447 | 60 | 1.13 |
| circle | 12 | 10 | 100 | 100 | 5.5 | 14.6 | 0.9305 | 80 | 1.93 |
| circle | 22 | 10 | 100 | 100 | 4.5 | 4.7 | 0.9281 | 90 | 4.88 |
| circle | 36 | 10 | 100 | 100 | 7.5 | 67.2 | 0.9265 | 90 | 11.34 |
| circle | 50 | 10 | 100 | 100 | 8.9 | 92.9 | 0.9268 | 90 | 10.95 |
