attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,688,1377,689,0.0969899715079804,0.0969899788093322,7.52794515033673E-08,1,2500
2,688,689,0,0.0969899715079804,0.078435215018336,-0.191305927831082,1,2500
3,688,0,0,0.0969899715079804,0.078309866739598,-0.19259831174242,0,2500
4,344,0,0,0.0969899715079804,0.078413072113951,-0.191534228799118,0,2500
5,172,0,0,0.0969899715079804,0.078177999919049,-0.193957904064169,0,2500
6,86,0,0,0.0969899715079804,0.0781799264741151,-0.193938040618122,0,2500
7,43,0,0,0.0969899715079804,0.0781892638333411,-0.19384176922964,0,2500
8,21,0,0,0.0969899715079804,0.0782337967715055,-0.193382619304425,0,2500
9,10,0,0,0.0969899715079804,0.0781863511112515,-0.193871800397237,0,2500
10,5,0,0,0.0969899715079804,0.0781759306283577,-0.193979239163655,0,2500
11,2,0,0,0.0969899715079804,0.0781782621190123,-0.193955200692272,0,2500
12,1,0,0,0.0969899715079804,0.0781829569286197,-0.193906795588791,0,2500
