attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,276,9.74179209880019E-06,3.10377400213826E-05,2.18604007420824,0,10000
2,69,276,190,9.74179209880019E-06,9.3630810636328E-06,-0.0388748837304825,1,10000
3,69,190,190,9.74179209880019E-06,2.08747048740543E-05,1.14279925729736,0,10000
4,34,190,145,9.74179209880019E-06,7.90333712255997E-06,-0.18871835465126,1,10000
5,34,145,102,9.74179209880019E-06,8.25211024891011E-06,-0.152916612752755,1,10000
6,34,102,102,9.74179209880019E-06,2.89338355657636E-05,1.97007319313734,0,10000
7,17,102,81,9.74179209880019E-06,9.58995202716658E-06,-0.0155864619254514,1,10000
8,17,81,60,9.74179209880019E-06,1.74471589739531E-05,0.790959897009292,1,10000
9,17,60,42,9.74179209880019E-06,1.6731973037025E-05,0.717545690498336,1,10000
10,17,42,42,9.74179209880019E-06,3.94071026161977E-05,3.04515947543688,0,10000
11,8,42,30,9.74179209880019E-06,5.63545489425641E-06,-0.421517638941352,1,10000
12,8,30,19,9.74179209880019E-06,3.76287859993834E-06,-0.613738564549968,1,10000
13,8,19,10,9.74179209880019E-06,2.77369835309627E-09,-0.999715278428757,1,10000
14,8,10,10,9.74179209880019E-06,0.383266793312053,39341.5346614877,0,10000
15,4,10,4,9.74179209880019E-06,2.35463986553923E-09,-0.999758294999354,1,10000
16,4,4,4,9.74179209880019E-06,0.387551085536728,39781.3194753313,0,10000
17,2,4,2,9.74179209880019E-06,4.86572468737131E-09,-0.999500530842988,1,10000
18,2,2,2,9.74179209880019E-06,0.374102343992595,38400.7991965431,0,10000
19,1,2,2,9.74179209880019E-06,0.373470070312856,38335.895976137,0,10000
