factor_id,factor,seed,canonical,structural,k,pi_error,dense_val,final_val,test_loss,test_rmse,dense_n,final_n,dense_e,final_e,compression,terms,runtime_s,reason
f100,1,1,1,1,3.14162044597387,8.84659061113054E-06,4.7524029413909E-05,4.02444492541782E-09,3.52059692876191E-09,20.9779554793907,24,3,276,2,0.992753623188406,4,0.5761865,canonical A = b + k r^2
f100,1,2,1,1,3.14161966518143,8.59805665855086E-06,5.84591778960041E-05,3.19738594812974E-09,3.77623683116011E-09,21.7262422865752,24,3,276,2,0.992753623188406,4,0.4613747,canonical A = b + k r^2
f100,1,3,0,1,null,null,2.66696968712143E-06,2.04843930722115E-07,1.20405739699572E-07,122.681365587635,24,9,276,15,0.945652173913043,23,0.6890944,non-canonical: square of degree>1 polynomial
f100,1,4,0,1,null,null,1.0006623572342E-06,1.62945569277682E-07,1.5317425084554E-07,138.371895107685,24,16,276,68,0.753623188405797,83,1.2895439,non-canonical: square of degree>1 polynomial
f100,1,5,0,1,null,null,7.43855885665292E-06,8.64307788914593E-07,1.58281817579267E-06,444.805881226945,24,13,276,35,0.873188405797101,47,0.7274147,non-canonical: square of degree>1 polynomial
f100,1,6,1,1,3.14174878262087,4.96974141130883E-05,5.71030619423263E-05,3.45432164925918E-09,5.52349613061948E-09,26.2761682200242,24,3,276,2,0.992753623188406,4,0.3335763,canonical A = b + k r^2
f100,1,7,1,1,3.14170372385699,3.53547641094314E-05,4.30351762505642E-05,5.61375493136413E-09,2.5348782120767E-09,17.8005555112606,24,3,276,2,0.992753623188406,4,0.308878,canonical A = b + k r^2
f100,1,8,0,1,null,null,4.73319756171598E-05,4.30552494208249E-05,4.9750437128599E-05,2493.75312352183,24,8,276,15,0.945652173913043,22,0.3250174,non-canonical: square of degree>1 polynomial
f100,1,9,0,1,null,null,9.74179209880019E-06,6.73123693715834E-06,5.07387102154182E-06,796.388019556254,24,13,276,34,0.876811594202899,46,0.7345494,non-canonical: square of degree>1 polynomial
f100,1,10,1,1,3.14169139692203,3.14309788457766E-05,0.00010281821082121,2.36048095393609E-09,4.56327164506198E-09,23.8832358702155,24,3,276,2,0.992753623188406,4,0.3144527,canonical A = b + k r^2
f105,1.05,1,1,1,3.14159300378091,1.11469295299538E-07,4.7524029413909E-05,3.75795306516407E-09,2.89460552127445E-09,19.0217162779701,24,3,276,2,0.992753623188406,4,0.4444108,canonical A = b + k r^2
f105,1.05,2,1,1,3.14161966518143,8.59805665855086E-06,5.84591778960041E-05,3.19738594812974E-09,3.77623683116011E-09,21.7262422865752,24,3,276,2,0.992753623188406,4,0.4519825,canonical A = b + k r^2
f105,1.05,3,0,1,null,null,2.66696968712143E-06,2.04843930722115E-07,1.20405739699572E-07,122.681365587635,24,9,276,15,0.945652173913043,23,0.6872771,non-canonical: square of degree>1 polynomial
f105,1.05,4,0,1,null,null,1.0006623572342E-06,1.80815655353227E-07,1.74774962531115E-07,147.806868299108,24,16,276,68,0.753623188405797,83,1.0822059,non-canonical: square of degree>1 polynomial
f105,1.05,5,0,1,null,null,7.43855885665292E-06,8.64307788914593E-07,1.58281817579267E-06,444.805881226945,24,13,276,35,0.873188405797101,47,0.7206615,non-canonical: square of degree>1 polynomial
f105,1.05,6,1,1,3.14174878262087,4.96974141130883E-05,5.71030619423263E-05,3.45432164925918E-09,5.52349613061948E-09,26.2761682200242,24,3,276,2,0.992753623188406,4,0.3227668,canonical A = b + k r^2
f105,1.05,7,1,1,3.14170372385699,3.53547641094314E-05,4.30351762505642E-05,5.61375493136413E-09,2.5348782120767E-09,17.8005555112606,24,3,276,2,0.992753623188406,4,0.3174298,canonical A = b + k r^2
f105,1.05,8,0,1,null,null,4.73319756171598E-05,4.30552494208249E-05,4.9750437128599E-05,2493.75312352183,24,8,276,15,0.945652173913043,22,0.3231317,non-canonical: square of degree>1 polynomial
f105,1.05,9,0,1,null,null,9.74179209880019E-06,6.721950341635E-06,5.20228362119389E-06,806.402785615997,24,12,276,20,0.927536231884058,31,0.8968935,non-canonical: square of degree>1 polynomial
f105,1.05,10,1,1,3.14169139692203,3.14309788457766E-05,0.00010281821082121,2.36048095393609E-09,4.56327164506198E-09,23.8832358702155,24,3,276,2,0.992753623188406,4,0.3186257,canonical A = b + k r^2
f110,1.1,1,1,1,3.14159300378091,1.11469295299538E-07,4.7524029413909E-05,3.75795306516407E-09,2.89460552127445E-09,19.0217162779701,24,3,276,2,0.992753623188406,4,0.4460802,canonical A = b + k r^2
f110,1.1,2,1,1,3.14161966518143,8.59805665855086E-06,5.84591778960041E-05,3.19738594812974E-09,3.77623683116011E-09,21.7262422865752,24,3,276,2,0.992753623188406,4,0.4571656,canonical A = b + k r^2
f110,1.1,3,0,1,null,null,2.66696968712143E-06,2.04843930722115E-07,1.20405739699572E-07,122.681365587635,24,9,276,15,0.945652173913043,23,0.6861565,non-canonical: square of degree>1 polynomial
f110,1.1,4,0,1,null,null,1.0006623572342E-06,1.80815655353227E-07,1.74774962531115E-07,147.806868299108,24,16,276,68,0.753623188405797,83,1.0732399,non-canonical: square of degree>1 polynomial
