method,family,seed,canonical,structural,operator_recovery,prior_features,auto_simplify,k,pi_error,test_rmse,val_loss,dense_n,final_n,dense_e,final_e,terms,runtime_s,reason
hsm,nn,1,1,1,1,0,1,3.14159300378091,1.11469295299538E-07,19.0217162779701,3.75795306516407E-09,24,3,276,2,4,0.4679378,canonical A = b + k r^2
hsm,nn,2,1,1,1,0,1,3.14161966518143,8.59805665855086E-06,21.7262422865752,3.19738594812974E-09,24,3,276,2,4,0.4642607,canonical A = b + k r^2
hsm,nn,3,1,1,1,0,1,3.14161779820321,8.00377903580705E-06,21.5443306362405,3.54695869293982E-09,24,3,276,2,4,0.7147886,canonical A = b + k r^2
hsm,nn,4,1,1,1,0,1,3.14165096404519,1.85607944217524E-05,20.6592879984641,3.22175486181529E-09,24,3,276,2,4,1.1714359,canonical A = b + k r^2
hsm,nn,5,1,1,1,0,1,3.14164433504776,1.64507190034192E-05,17.9852344955585,3.135922209112E-09,24,3,276,2,4,0.7583684,canonical A = b + k r^2
hsm,nn,6,1,1,1,0,1,3.14170981633105,3.72940588345863E-05,29.3930722794842,4.82232953111332E-09,24,3,276,2,4,0.3825862,canonical A = b + k r^2
hsm,nn,7,1,1,1,0,1,3.14170372385699,3.53547641094314E-05,17.8005555112606,5.61375493136413E-09,24,3,276,2,4,0.3500022,canonical A = b + k r^2
hsm,nn,8,1,1,1,0,1,3.14163352141319,1.30086322142075E-05,17.7918699568471,3.79127471078292E-09,24,3,276,2,4,0.3739782,canonical A = b + k r^2
hsm,nn,9,1,1,1,0,1,3.14164381008977,1.62836196860884E-05,25.1884453604398,4.65974528041914E-09,24,3,276,2,4,1.4150086,canonical A = b + k r^2
hsm,nn,10,1,1,1,0,1,3.14161287438867,6.43648018882939E-06,24.3410940716564,2.89993760203192E-09,24,3,276,2,4,0.3263457,canonical A = b + k r^2
mlp_dense,nn,1,0,0,0,0,0,null,null,7053.03436759778,0.000319468140411424,24,24,276,276,299,0.2371919,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.43544)
mlp_dense,nn,2,0,0,0,0,0,null,null,53861.2210629239,0.0157669969938795,24,24,276,276,299,0.3879849,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=0.442055)
mlp_dense,nn,3,0,0,0,0,0,null,null,6735.43200250437,0.000523920173775353,24,24,276,276,299,0.2580177,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.32025)
mlp_dense,nn,4,0,0,0,0,0,null,null,8179.04986119986,0.00105942852918339,24,24,276,276,299,0.2498552,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=0.931495)
mlp_dense,nn,5,0,0,0,0,0,null,null,11640.0487244387,0.000595658108685383,24,24,276,276,299,0.2541887,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.23552)
mlp_dense,nn,6,0,0,0,0,0,null,null,10575.4042326169,0.00110717497411084,24,24,276,276,299,0.3961491,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.49268)
mlp_dense,nn,7,0,0,0,0,0,null,null,7399.0538618498,0.000231683649655477,24,24,276,276,299,0.3325485,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.75069)
mlp_dense,nn,8,0,0,0,0,0,null,null,6560.91384568122,0.000480113244804073,24,24,276,276,299,0.2430529,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.26587)
mlp_dense,nn,9,0,0,0,0,0,null,null,7848.02326005893,0.000552369556947696,24,24,276,276,299,0.2288671,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=0.872632)
mlp_dense,nn,10,0,0,0,0,0,null,null,56872.5635738169,0.0260707868157764,24,24,276,276,299,0.2300765,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=0.0402918)
mlp_pruned,nn,1,0,0,0,0,1,null,null,5382.74012183386,0.000172527244821392,24,4,276,6,9,0.3270742,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=2.19767)
mlp_pruned,nn,2,0,0,0,0,1,null,null,54362.9501266557,0.0147209183712442,24,2,276,1,2,0.3432117,non-canonical: no r^2 term (c2~0)
mlp_pruned,nn,3,0,0,0,0,1,null,null,6371.06247515371,0.000305879326884568,24,5,276,7,11,0.4457354,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.91204)
mlp_pruned,nn,4,0,0,0,0,1,null,null,5346.02579026065,0.00029600510175468,24,5,276,8,12,0.3408312,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=2.08553)
mlp_pruned,nn,5,0,0,0,0,1,null,null,7055.37895397369,0.000278490971381267,24,4,276,6,9,0.3617443,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=2.74096)
mlp_pruned,nn,6,0,0,0,0,1,null,null,6901.85675855292,0.000392586155084773,24,5,276,8,12,0.3315675,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=2.01449)
mlp_pruned,nn,7,0,0,0,0,1,null,null,5974.83626434723,0.000176881836721566,24,6,276,10,15,0.3695176,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=2.29733)
mlp_pruned,nn,8,0,0,0,0,1,null,null,6556.78170118717,0.000434160210039324,24,6,276,8,13,0.407915,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=1.72011)
mlp_pruned,nn,9,0,0,0,0,1,null,null,4444.31874051412,0.000275306726032059,24,4,276,6,9,0.3505175,non-canonical: sigmoid on path and active (max|y_nn-y_poly|=2.17135)
mlp_pruned,nn,10,0,0,0,0,1,null,null,54717.3517477342,0.0223872959079146,24,2,276,1,2,0.3235647,non-canonical: no r^2 term (c2~0)
