attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,138,0.0157669969938795,0.000522641268083335,-0.966852199674661,1,10000
2,138,138,138,0.0157669969938795,0.481487413312423,29.5376739463659,0,10000
3,69,138,66,0.0157669969938795,0.000582347602676942,-0.963065407895809,1,10000
4,69,66,66,0.0157669969938795,0.453485910283412,27.7617173047886,0,10000
5,34,66,22,0.0157669969938795,0.000319652820352567,-0.979726461514729,1,10000
6,34,22,22,0.0157669969938795,0.462042225402739,28.3043897694721,0,10000
7,17,22,22,0.0157669969938795,0.0186429397398917,0.182402695144082,0,10000
8,8,22,6,0.0157669969938795,0.000498422466633394,-0.968388243694923,1,10000
9,8,6,6,0.0157669969938795,0.443669533344745,27.139127160167,0,10000
10,4,6,6,0.0157669969938795,0.449067519717614,27.4814869877844,0,10000
11,2,6,1,0.0157669969938795,0.0147209183712442,-0.0663460913350392,1,10000
12,2,1,1,0.0157669969938795,0.440055153145773,26.9098900898247,0,10000
13,1,1,1,0.0157669969938795,0.474809619642179,29.1141441091473,0,10000
