attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,149,299,150,5.80728157055802E-05,2.84899814592702E-05,-0.509409331834196,1,5000
2,149,150,150,5.80728157055802E-05,0.220115545111949,3789.33705250146,0,5000
3,74,150,150,5.80728157055802E-05,0.00021255817606047,2.66020096456328,0,5000
4,37,150,113,5.80728157055802E-05,4.08026851678877E-05,-0.297387518202136,1,5000
5,37,113,113,5.80728157055802E-05,0.000533791616402137,8.19176399347285,0,5000
6,18,113,113,5.80728157055802E-05,0.000283100035552867,3.87491491695767,0,5000
7,9,113,113,5.80728157055802E-05,8.28904042475097E-05,0.42735294027675,0,5000
8,4,113,113,5.80728157055802E-05,9.25108670536661E-05,0.593015009340709,0,5000
9,2,113,113,5.80728157055802E-05,9.05634586727565E-05,0.559481102688366,0,5000
10,1,113,112,5.80728157055802E-05,3.14415251023031E-05,-0.45858445607827,1,5000
11,1,112,102,5.80728157055802E-05,2.79613027294349E-05,-0.518513053143589,1,5000
12,1,102,101,5.80728157055802E-05,3.08383706299833E-05,-0.468970631864506,1,5000
13,1,101,100,5.80728157055802E-05,1.22751899156657E-05,-0.78862416491222,1,5000
14,1,100,99,5.80728157055802E-05,9.33591411393688E-06,-0.839237791374394,1,5000
15,1,99,99,5.80728157055802E-05,6.97243586410547E-05,0.200636783216193,0,5000
