problem,expects_exact,seed,structure,explicit_cross,limitation_ok,test_rmse,diag_oracle_rmse,full_oracle_rmse,diag_r2,full_r2,c0,a,b,cxy,dense_n,final_n,dense_e,final_e,runtime_s,reason
diag,1,1,1,0,1,1.79868087632981E-15,1.77287661298283E-15,3.84025673028249E-16,1,1,0.2,1.30000000000001,0.799999999999996,-1.70005823452166E-17,25,5,299,4,1.6664336,diagonal structure recovered
diag,1,2,1,0,1,1.7547907158763E-15,1.8019676932406E-15,1.85896640292284E-15,1,1,0.200000000000001,1.3,0.800000000000002,-3.30518241618429E-16,25,5,299,4,1.964462,diagonal structure recovered
diag,1,3,1,0,1,7.7397265615325E-16,7.81592645009049E-16,9.15871946472725E-16,1,1,0.199999999999999,1.3,0.800000000000004,-2.66478902998977E-16,25,5,299,4,1.2051274,diagonal structure recovered
diag,1,4,1,0,1,2.52081744785817E-15,2.53556293392769E-15,1.44607636259957E-15,1,1,0.199999999999995,1.30000000000001,0.800000000000003,5.26963297116604E-16,25,5,299,4,1.4938603,diagonal structure recovered
diag,1,5,1,0,1,1.77626619067617E-15,1.79167405833169E-15,1.87995726309424E-16,1,1,0.200000000000002,1.3,0.799999999999997,6.15102306520954E-17,25,5,299,4,1.6806919,diagonal structure recovered
diag,1,6,1,0,1,3.01945669273896E-15,3.06223231750915E-15,7.51453697638343E-16,1,1,0.2,1.30000000000001,0.799999999999991,0,25,5,299,4,1.3686718,diagonal structure recovered
diag,1,7,1,0,1,4.46754110111613E-15,4.45144895082452E-15,5.40220672092933E-16,1,1,0.200000000000006,1.3,0.79999999999999,-6.22465986853513E-16,25,5,299,4,1.3896745,diagonal structure recovered
diag,1,8,1,0,1,3.0643541083947E-15,3.04226150361642E-15,2.28761056628672E-15,1,1,0.200000000000007,1.29999999999999,0.799999999999989,-6.7572006105069E-16,25,5,299,4,1.4712665,diagonal structure recovered
diag,1,9,1,0,1,1.29331139730124E-15,1.38812382062624E-15,2.20400340787594E-15,1,1,0.199999999999998,1.3,0.800000000000004,-1.34542775555322E-16,25,5,299,4,1.3275903,diagonal structure recovered
diag,1,10,1,0,1,1.72580511647805E-15,1.75678810860531E-15,5.33019133504005E-16,1,1,0.200000000000001,1.3,0.799999999999996,0,25,5,299,4,1.6270423,diagonal structure recovered
cross,0,1,0,0,1,0.00339214018875681,0.55967714191154,3.96846257902372E-16,0.170305878503478,1,0.501212949834318,-0.00242964065882745,0.00172279883464155,2.00460253718543,25,24,299,135,1.6023911,expected: no exact x1*x2 recovery
cross,0,2,0,0,1,null,0.626401664286584,3.89167458557722E-16,0.0212243151509489,1,null,null,null,null,25,25,299,299,38.9512534,expected: no exact x1*x2 recovery
cross,0,3,0,0,1,0.00413067102086784,0.745715364613211,6.22661389728953E-16,0.000507581240355326,1,0.500555241089298,0.00188950298364433,-0.00399510099656379,2.00568377377929,25,25,299,244,1.2320951,expected: no exact x1*x2 recovery
cross,0,4,0,0,1,0.00309379273769575,0.711775597178318,1.36701551443887E-15,0.00893227198905122,1,0.49977641874668,-0.0015902593310709,0.000327296393723392,2.00052060122916,25,25,299,182,1.2131106,expected: no exact x1*x2 recovery
cross,0,5,0,0,1,0.00552678551591942,0.662347324876337,5.36494409099081E-16,0.000640994557379537,1,0.503922210375872,-0.00538643732806485,-0.00112387766210603,2.01019266817289,25,24,299,161,1.3880367,expected: no exact x1*x2 recovery
cross,0,6,0,0,1,0.00248327659221897,0.605885653346068,4.53789473601223E-16,0.040547657240013,1,0.500237522526656,-0.00151154644348753,-0.000685561469789486,1.99966294143774,25,25,299,299,1.1808451,expected: no exact x1*x2 recovery
cross,0,7,0,0,1,0.00173798915219156,0.654061748028804,3.8373074131571E-16,0.000637985829774368,1,0.500786332836522,-0.000563617228789177,-0.000236352701111525,1.99995676739689,25,25,299,250,1.5436046,expected: no exact x1*x2 recovery
cross,0,8,0,0,1,0.00235602135283638,0.677261290414395,6.94104978726653E-16,0.00354798782112464,1,0.499220071833227,0.000565262981351455,-0.000575036563303474,2.00244102815156,25,25,299,233,1.3916296,expected: no exact x1*x2 recovery
cross,0,9,0,0,1,null,0.7326417611308,1.05864031967815E-15,0.0026721314735747,1,null,null,null,null,25,25,299,299,35.6218966,expected: no exact x1*x2 recovery
cross,0,10,0,0,1,null,0.755635659399312,4.73803983039518E-16,0.00924892598196536,1,null,null,null,null,25,25,299,299,34.3376367,expected: no exact x1*x2 recovery
mixed,0,1,0,0,1,null,0.570050517472602,1.20354752338987E-15,0.288235887889167,1,null,null,null,null,25,25,299,299,35.4060905,expected: no exact x1*x2 recovery
mixed,0,2,0,0,1,0.00193037510400821,0.443864761180045,8.05098970209464E-16,0.470917989790253,1,0.10033150936748,0.999304423026466,0.698989755922998,1.5031285714856,25,25,299,214,3.2131252,expected: no exact x1*x2 recovery
mixed,0,3,0,0,1,0.00204701399067445,0.488338687938539,1.57922943758725E-15,0.393946762073194,1,0.0999818539579785,1.00039545577006,0.697318656650916,1.49865655848874,25,25,299,290,2.6786166,expected: no exact x1*x2 recovery
mixed,0,4,0,0,1,0.00195584015060759,0.506540490617852,1.08492782894882E-15,0.397633540935337,1,0.100615706682111,0.998496485992536,0.698810003321151,1.49632224548206,25,25,299,288,2.6395632,expected: no exact x1*x2 recovery
