Exp13 total runs=13. Fidelity PASS 13/13. Manual PASS 13/13. Worst max|d|=1.377E-14 (tol=1E-08).
# Equation-export verification

| Task | Seed | Fidelity | Manual | Max |d| | Mean |d| | Canonical snippet |
|------|------|----------|--------|---------|----------|-------------------|
| area | 1 | PASS | PASS | 2.22E-15 | 1.01E-15 | A = 10.9103521108017 + 3.14164618484981 ... |
| area | 2 | PASS | PASS | 3.109E-15 | 1.042E-15 | A = 15.6220679762183 + 3.14163407369186 ... |
| area | 3 | PASS | PASS | 3.109E-15 | 1.152E-15 | A = 12.316290631274 + 3.14161779820321 *... |
| area | 4 | PASS | PASS | 3.553E-15 | 1.349E-15 | A = 9.21645171935034 + 3.14165096404519 ... |
| area | 5 | PASS | PASS | 1.377E-14 | 4.746E-15 | A = 14.2491554613322 + 3.14165276150006 ... |
| area | 6 | PASS | PASS | 8.438E-15 | 3.553E-15 | A = -3.695617487115 + 3.14169403606243 *... |
| area | 7 | PASS | PASS | 1.776E-15 | 7.313E-16 | A = 9.20059844898424 + 3.14165026328409 ... |
| area | 8 | PASS | PASS | 8.882E-16 | 2.957E-16 | A = 9.74900795702532 + 3.14163352141319 ... |
| circle | 1 | PASS | PASS | 0 | 0 | h = 0.39181314392874 + -9.51693738142721... |
| circle | 2 | PASS | PASS | 0 | 0 | h = 0.380652724011635 + -9.5794832008548... |
| circle | 3 | PASS | PASS | 0 | 0 | h = 0.374944534389917 + -9.4836075819864... |
| circle | 4 | PASS | PASS | 0 | 0 | h = 0.404027361090207 + -9.7073838530837... |
| circle | 5 | PASS | PASS | 0 | 0 | h = 0.409749854947163 + -9.6818754547414... |
