r,A,r_scaled,A_scaled
290,264220,0.58,1.05688
256,205892,0.512,0.823568
252,199496,0.504,0.797984
270,229020,0.54,0.91608
478,717824,0.956,2.871296
318,317700,0.636,1.2708
408,522928,0.816,2.091712
344,371756,0.688,1.487024
414,538468,0.828,2.153872
210,138536,0.42,0.554144
490,754296,0.98,3.017184
398,497660,0.796,1.99064
228,163340,0.456,0.65336
266,222304,0.532,0.889216
246,190120,0.492,0.76048
286,257008,0.572,1.028032
218,149344,0.436,0.597376
304,290356,0.608,1.161424
426,570148,0.852,2.280592
446,624948,0.892,2.499792
430,580872,0.86,2.323488
258,209128,0.516,0.836512
294,271520,0.588,1.08608
312,305844,0.624,1.223376
472,699928,0.944,2.799712
342,367480,0.684,1.46992
298,279004,0.596,1.116016
348,380496,0.696,1.521984
444,619336,0.888,2.477344
474,705868,0.948,2.823472
452,641896,0.904,2.567584
288,260600,0.576,1.0424
364,416284,0.728,1.665136
402,507728,0.804,2.030912
236,175004,0.472,0.700016
424,564824,0.848,2.259296
238,177968,0.476,0.711872
322,325784,0.644,1.303136
260,212376,0.52,0.849504
310,301916,0.62,1.207664
262,215684,0.524,0.862736
212,141192,0.424,0.564768
370,430112,0.74,1.720448
376,444160,0.752,1.77664
496,772956,0.992,3.091824
470,694032,0.94,2.776128
494,766700,0.988,3.0668
416,543696,0.832,2.174784
268,225640,0.536,0.90256
392,482756,0.784,1.931024
264,218964,0.528,0.875856
240,180960,0.48,0.72384
460,664796,0.92,2.659184
352,389284,0.704,1.557136
432,586292,0.864,2.345168
366,420836,0.732,1.683344
396,492672,0.792,1.970688
382,458464,0.764,1.833856
332,346292,0.664,1.385168
480,723804,0.96,2.895216
386,468124,0.772,1.872496
334,350520,0.668,1.40208
336,354680,0.672,1.41872
326,333868,0.652,1.335472
358,402684,0.716,1.610736
380,453668,0.76,1.814672
388,472952,0.776,1.891808
420,554148,0.84,2.216592
292,267888,0.584,1.071552
354,393712,0.708,1.574848
428,575548,0.856,2.302192
230,166196,0.46,0.664784
438,602704,0.876,2.410816
206,133344,0.412,0.533376
406,517892,0.812,2.071568
378,448884,0.756,1.795536
442,613756,0.884,2.455024
436,597264,0.872,2.389056
254,202744,0.508,0.810976
346,376148,0.692,1.504592
324,329804,0.648,1.319216
226,160480,0.452,0.64192
374,439408,0.748,1.757632
384,463304,0.768,1.853216
274,235912,0.548,0.943648
316,313724,0.632,1.254896
412,533260,0.824,2.13304
340,363176,0.68,1.452704
244,187068,0.488,0.748272
234,171988,0.468,0.687952
328,337960,0.656,1.35184
440,608228,0.88,2.432912
466,682216,0.932,2.728864
356,398184,0.712,1.592736
308,298032,0.616,1.192128
492,760464,0.984,3.041856
276,239348,0.552,0.957392
482,729924,0.964,2.919696
394,487692,0.788,1.950768
418,548920,0.836,2.19568
220,152088,0.44,0.608352
202,128196,0.404,0.512784
350,384852,0.7,1.539408
314,309784,0.628,1.239136
278,242820,0.556,0.97128
160,80452,0.32,0.321808
146,66964,0.292,0.267856
154,74484,0.308,0.297936
102,32688,0.204,0.130752
106,35316,0.212,0.141264
92,26612,0.184,0.106448
124,48320,0.248,0.19328
184,106344,0.368,0.425376
152,72580,0.304,0.29032
114,40860,0.228,0.16344
170,90824,0.34,0.363296
52,8492,0.104,0.033968
112,39428,0.224,0.157712
98,30172,0.196,0.120688
130,53096,0.26,0.212384
72,16292,0.144,0.065168
108,36624,0.216,0.146496
96,28968,0.192,0.115872
156,76472,0.312,0.305888
182,104076,0.364,0.416304
148,68836,0.296,0.275344
128,51468,0.256,0.205872
162,82452,0.324,0.329808
176,97328,0.352,0.389312
180,101780,0.36,0.40712
190,113424,0.38,0.453696
140,61572,0.28,0.246288
164,84504,0.328,0.338016
100,31428,0.2,0.125712
168,88700,0.336,0.3548
118,43748,0.236,0.174992
126,49884,0.252,0.199536
134,56428,0.268,0.225712
104,33992,0.208,0.135968
178,99552,0.356,0.398208
188,111044,0.376,0.444176
116,42272,0.232,0.169088
82,21128,0.164,0.084512
142,63344,0.284,0.253376
50,7860,0.1,0.03144
66,13692,0.132,0.054768
144,65168,0.288,0.260672
64,12892,0.128,0.051568
86,23236,0.172,0.092944
68,14536,0.136,0.058144
186,108720,0.372,0.43488
150,70688,0.3,0.282752
78,19116,0.156,0.076464
198,123160,0.396,0.49264
56,9856,0.112,0.039424
70,15380,0.14,0.06152
90,25448,0.18,0.101792
