attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,110,4.73319756171598E-05,4.67770886119315E-05,-0.0117233011720543,1,5000
2,138,110,110,4.73319756171598E-05,0.438042303127903,9253.6803174025,0,5000
3,69,110,27,4.73319756171598E-05,3.08406827600568E-05,-0.348417589633089,1,5000
4,69,27,27,4.73319756171598E-05,0.435421929008438,9198.3187127938,0,5000
5,34,27,27,4.73319756171598E-05,0.450788125284008,9522.96597450665,0,5000
6,17,27,27,4.73319756171598E-05,0.000831481707814403,16.5670188487327,0,5000
7,8,27,27,4.73319756171598E-05,6.29919440388198E-05,0.330853893535403,0,5000
8,4,27,27,4.73319756171598E-05,7.64739983691498E-05,0.615694197675215,0,5000
9,2,27,17,4.73319756171598E-05,3.3186575192226E-05,-0.29885506025245,1,5000
10,2,17,17,4.73319756171598E-05,5.41914015473271E-05,0.144921606181183,0,5000
11,1,17,16,4.73319756171598E-05,5.06680249412467E-05,0.0704819370116791,1,5000
12,1,16,16,4.73319756171598E-05,6.77359009293799E-05,0.431081209820088,0,5000
