experiment,seed_dir,coverage,present,required
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_01,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_02,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_03,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_04,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_05,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_06,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_07,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_08,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_09,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_10,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_11,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_12,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_13,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_14,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_15,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_16,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_17,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_18,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_19,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_20,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_21,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_22,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_23,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_24,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_25,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_26,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_27,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_28,0.917,11,12
Exp01_CircleBoundary,Exp01_CircleBoundary/seed_29,0.917,11,12
