seed,dense_n,dense_e,final_n,final_e,quad,test_acc,a,b,rel_ab_pct,fidelity_pass
1,25,299,4,3,1,0.933774834437086,-9.51693738142721,-9.51693738142721,0.0,1
2,25,299,4,3,1,0.927152317880795,-9.57948320085481,-9.57948320085481,0.0,1
3,25,299,4,3,1,0.897350993377483,-9.48360758198641,-9.48360758198641,0.0,1
4,25,299,4,3,1,0.927152317880795,-9.70738385308375,-9.70738385308375,0.0,1
5,25,299,4,3,1,0.933774834437086,-9.68187545474149,-9.68187545474149,0.0,1
6,25,299,4,3,1,0.923841059602649,-9.49666943858709,-9.49666943858709,0.0,1
7,25,299,4,3,1,0.923841059602649,-9.51358224776926,-9.51358224776926,0.0,1
8,25,299,4,3,1,0.917218543046358,-9.71967561384844,-9.71967561384844,0.0,1
9,25,299,9,20,2,0.980132450331126,-1.10021457272203,-1.02330871111378,7.24323224460576,1
10,25,299,4,3,1,0.917218543046358,-9.5066209764129,-9.5066209764129,0.0,1
11,25,299,4,3,1,0.887417218543046,-9.64933321540154,-9.64933321540154,0.0,1
12,25,299,4,3,1,0.937086092715232,-9.61198362154344,-9.61198362154344,0.0,1
13,25,299,4,3,1,0.927152317880795,-9.55034615425339,-9.55034615425339,0.0,1
14,25,299,20,56,8,0.996688741721854,0.603816895369355,0.656457147359492,8.353778655340111,1
15,25,299,4,3,1,0.917218543046358,-9.52656847826547,-9.52656847826547,0.0,1
16,25,299,4,3,1,0.937086092715232,-9.66169007523032,-9.66169007523032,0.0,1
17,25,299,4,3,1,0.920529801324503,-9.40351261152431,-9.40351261152431,0.0,1
18,25,299,25,288,12,0.990066225165563,-0.929395413755741,-0.926891728888728,0.269751894466744,1
19,25,299,4,3,1,0.927152317880795,-9.61127736748993,-9.61127736748993,0.0,1
20,25,299,4,3,1,0.927152317880795,-9.40963780411199,-9.40963780411199,0.0,1
21,25,299,4,3,1,0.933774834437086,-9.54787268468879,-9.54787268468879,0.0,1
22,25,299,25,277,12,0.990066225165563,-0.661395696476497,-0.643669557519005,2.71651381464989,1
23,25,299,4,3,1,0.913907284768212,-10.0084305644723,-10.0084305644723,0.0,1
24,25,299,15,43,5,0.983443708609272,-0.893841036435791,-0.927985801815751,3.74840952642116,1
25,25,299,4,3,1,0.913907284768212,-9.57607775477969,-9.57607775477969,0.0,1
26,25,299,4,3,1,0.95364238410596,-9.78168469782144,-9.78168469782144,0.0,1
27,25,299,4,3,1,0.943708609271523,-9.77823393672664,-9.77823393672664,0.0,1
28,25,299,4,3,1,0.947019867549669,-9.75962421052112,-9.75962421052112,0.0,1
29,25,299,4,3,1,0.93046357615894,-9.60092464777869,-9.60092464777869,0.0,1
30,25,299,4,3,1,0.910596026490066,-9.58029523400212,-9.58029523400212,0.0,1
