seed,final_n,final_e,canonical,b,k,pi_error_pct,sq_linear,test_rmse
1,3,2,1,9.92172403780747,3.14164304807633,0.00160410632730659,1,21.3367370454717
2,3,2,1,9.00856314474405,3.14165909080182,0.00211476213999315,1,19.2729859988093
3,3,2,1,9.77839602333611,3.14164709900353,0.00173305134499962,1,19.657232626343
4,3,2,1,9.73078345270638,3.14164075172354,0.00153101114790699,1,18.229618865459
5,3,2,1,10.4769089569627,3.14164870182155,0.00178407062701294,1,19.1798418599283
6,3,2,1,9.57883285844725,3.14164994891225,0.00182376675686375,1,18.4745285661433
7,3,2,1,11.3673789443629,3.14163597349378,0.00137891537084726,1,18.9042371622134
8,3,2,1,9.45485295934139,3.14165043797662,0.00183933415925539,1,20.3784575345874
9,3,2,1,9.4490426720779,3.14165052316327,0.0018420457348020999,1,21.9523788375401
10,3,2,1,9.81826347920592,3.1416555994881,0.00200363017258443,1,21.9394000885581
11,3,2,1,3.29565791028913,3.14169930171829,0.00339471536440997,1,18.6620416707879
12,3,2,1,9.92336705523524,3.14164728332002,0.0017389183210265598,1,18.8406079996579
13,3,2,1,8.2216829993999,3.14166050061834,0.00215963799341057,1,21.3428717896705
14,3,2,1,9.47479560683448,3.14165159747438,0.00187624211951233,1,20.8132623669147
15,3,2,1,8.82934731774911,3.14165225456295,0.0018971578983406,1,21.5158875962331
16,3,2,1,8.21021472350872,3.14165780571134,0.0020738564395426603,1,21.147409564893
17,3,2,1,9.30447308001905,3.14165019162838,0.00183149265127327,1,18.2842426468716
18,3,2,1,10.7318819775642,3.14164760717302,0.00174922688214031,1,22.8216171699102
19,3,2,1,10.2278317084895,3.14164252756716,0.00158753800599644,1,21.5211049703679
20,3,2,1,9.98492533983985,3.14164418771251,0.0016403820736124702,1,19.5122347559823
21,3,2,1,20.094836817322,3.14158854498335,0.000130781004785246,1,22.2808382957575
22,3,2,1,8.84427996544183,3.14166624532017,0.0023424975320554303,1,21.2322868564391
23,3,2,1,9.74914966351059,3.14164462938397,0.0016544409129795,1,21.2337310455081
24,3,2,1,9.14650063597511,3.14165171296054,0.0018799181581629302,1,23.1764073363342
25,3,2,1,11.7980908235366,3.14162868609652,0.00114695031158282,1,24.6263039978054
26,3,2,1,9.61029465314932,3.1416579667136,0.00207898130063312,1,19.341680192501
27,3,2,1,10.2414276210735,3.14163761296489,0.00143110135711753,1,19.0734311276613
28,3,2,1,9.7413888338338,3.14164129972611,0.00154845461146101,1,20.4537920518406
29,3,2,1,11.4967465008593,3.14163677166865,0.00140432206604187,1,19.3400933553472
30,3,2,1,4.45484116068373,3.14161292074619,0.00064512362459,1,24.1168183360695
