setting,seed,retrain,prune,canonical,structural,k,pi_error,dense_val,final_val,test_loss,test_rmse,dense_n,final_n,dense_e,final_e,runtime_s,reason
none,1,0,0,0,1,null,null,4.7524029413909E-05,4.7524029413909E-05,2.97730119408133E-05,1929.15175468434,24,24,276,276,0.2495344,non-canonical: sigmoid on path; square of degree>1 polynomial
none,2,0,0,0,1,null,null,5.84591778960041E-05,5.84591778960041E-05,5.65412435100949E-05,2658.50624200167,24,24,276,276,0.2367573,non-canonical: sigmoid on path; square of degree>1 polynomial
none,3,0,0,0,1,null,null,2.66696968712143E-06,2.66696968712143E-06,1.78935747739501E-06,472.937294653718,24,24,276,276,0.2395592,non-canonical: sigmoid on path; square of degree>1 polynomial
none,4,0,0,0,1,null,null,1.0006623572342E-06,1.0006623572342E-06,8.40074919825998E-07,324.051485073352,24,24,276,276,0.2368418,non-canonical: sigmoid on path; square of degree>1 polynomial
none,5,0,0,0,1,null,null,7.43855885665292E-06,7.43855885665292E-06,1.45581282931993E-05,1348.98704094959,24,24,276,276,0.2379441,non-canonical: sigmoid on path; square of degree>1 polynomial
none,6,0,0,0,1,null,null,5.71030619423263E-05,5.71030619423263E-05,5.79729869838419E-05,2691.95530664614,24,24,276,276,0.2443339,non-canonical: sigmoid on path; square of degree>1 polynomial
none,7,0,0,0,1,null,null,4.30351762505642E-05,4.30351762505642E-05,8.08443994834423E-05,3178.92276336345,24,24,276,276,0.2431678,non-canonical: sigmoid on path; square of degree>1 polynomial
none,8,0,0,0,1,null,null,4.73319756171598E-05,4.73319756171598E-05,5.46110755233654E-05,2612.73504979374,24,24,276,276,0.2382924,non-canonical: sigmoid on path; square of degree>1 polynomial
none,9,0,0,0,1,null,null,9.74179209880019E-06,9.74179209880019E-06,8.6875242488681E-06,1042.08470438277,24,24,276,276,0.239593,non-canonical: sigmoid on path; square of degree>1 polynomial
none,10,0,0,0,1,null,null,0.00010281821082121,0.00010281821082121,0.000116016716252653,3808.16091198646,24,24,276,276,0.2386361,non-canonical: sigmoid on path; square of degree>1 polynomial
none,11,0,0,0,1,null,null,5.28495933028355E-05,5.28495933028355E-05,6.37484900634172E-05,2822.86401690325,24,24,276,276,0.2393908,non-canonical: sigmoid on path; square of degree>1 polynomial
none,12,0,0,0,1,null,null,2.02003079998591E-05,2.02003079998591E-05,2.51607956272651E-05,1773.4428249617,24,24,276,276,0.2757088,non-canonical: sigmoid on path; square of degree>1 polynomial
r0,1,0,1,0,1,null,null,4.7524029413909E-05,4.50610905406777E-05,2.92304092247525E-05,1911.49186581948,24,24,276,265,0.2628067,non-canonical: sigmoid on path; square of degree>1 polynomial
r0,2,0,1,0,1,null,null,5.84591778960041E-05,6.04792675547653E-05,5.47240833466935E-05,2615.43694596843,24,24,276,270,0.2671304,non-canonical: sigmoid on path; square of degree>1 polynomial
r0,3,0,1,0,1,null,null,2.66696968712143E-06,2.72005564560264E-06,1.65532149929676E-06,454.87931082002,24,24,276,275,0.2537528,non-canonical: sigmoid on path; square of degree>1 polynomial
r0,4,0,1,0,1,null,null,1.0006623572342E-06,9.86172516303746E-07,8.34897718151699E-07,323.051411959397,24,24,276,273,0.2531314,non-canonical: sigmoid on path; square of degree>1 polynomial
r0,5,0,1,0,1,null,null,7.43855885665292E-06,6.64707386897091E-06,1.34796066724191E-05,1298.05656042115,24,24,276,275,0.2566517,non-canonical: sigmoid on path; square of degree>1 polynomial
r0,6,0,1,0,1,null,null,5.71030619423263E-05,2.65021571662772E-05,2.65972575907297E-05,1823.36425292404,24,24,276,266,0.2531658,non-canonical: sigmoid on path; square of degree>1 polynomial
r0,7,0,1,0,1,null,null,4.30351762505642E-05,4.40038537729823E-05,7.13167088374633E-05,2985.73083259073,24,24,276,257,0.2557547,non-canonical: sigmoid on path; square of degree>1 polynomial
r0,8,0,1,0,1,null,null,4.73319756171598E-05,5.03474108627866E-05,5.64366750328535E-05,2656.04675770339,24,24,276,266,0.2507056,non-canonical: sigmoid on path; square of degree>1 polynomial
r0,9,0,1,0,1,null,null,9.74179209880019E-06,9.80784316762691E-06,8.7014467710244E-06,1042.91938632766,24,24,276,271,0.2539005,non-canonical: sigmoid on path; square of degree>1 polynomial
r0,10,0,1,0,1,null,null,0.00010281821082121,7.38877104368223E-05,7.95878944035481E-05,3154.12219174266,24,24,276,255,0.253691,non-canonical: sigmoid on path; square of degree>1 polynomial
r0,11,0,1,0,1,null,null,5.28495933028355E-05,4.99703050258709E-05,6.1131323303174E-05,2764.31101956649,24,24,276,273,0.256513,non-canonical: sigmoid on path; square of degree>1 polynomial
r0,12,0,1,0,1,null,null,2.02003079998591E-05,2.07486177793327E-05,4.15345269587091E-05,2278.5556543211,24,24,276,254,0.2561224,non-canonical: sigmoid on path; square of degree>1 polynomial
r1k,1,1000,1,0,1,null,null,4.7524029413909E-05,2.78267141010459E-05,1.70581532943291E-05,1460.22914701465,24,16,276,52,0.3491134,non-canonical: square of degree>1 polynomial
r1k,2,1000,1,0,1,null,null,5.84591778960041E-05,6.36918542635031E-05,7.59997100851889E-05,3082.2011226798,24,17,276,89,0.3856257,non-canonical: square of degree>1 polynomial
r1k,3,1000,1,0,1,null,null,2.66696968712143E-06,1.0407726936303E-07,9.24088531464491E-08,107.476074748317,24,17,276,102,0.7652801,non-canonical: square of degree>1 polynomial
r1k,4,1000,1,0,1,null,null,1.0006623572342E-06,1.13417946331826E-06,1.1481042750921E-06,378.831142313447,24,16,276,103,0.5180396,non-canonical: square of degree>1 polynomial
r1k,5,1000,1,0,1,null,null,7.43855885665292E-06,7.14863683516209E-06,1.09892009481432E-05,1172.02820721939,24,16,276,79,0.402601,non-canonical: square of degree>1 polynomial
r1k,6,1000,1,0,1,null,null,5.71030619423263E-05,3.60761613217204E-05,2.44032553812792E-05,1746.54141739036,24,8,276,13,0.2831597,non-canonical: square of degree>1 polynomial
r1k,7,1000,1,0,1,null,null,4.30351762505642E-05,4.93577598705618E-05,5.86795809358655E-05,2708.31084201632,24,17,276,113,0.4805349,non-canonical: square of degree>1 polynomial
r1k,8,1000,1,0,1,null,null,4.73319756171598E-05,5.46743057069848E-05,4.24840545920833E-05,2304.45369317989,24,17,276,126,0.5301255,non-canonical: square of degree>1 polynomial
r1k,9,1000,1,0,1,null,null,9.74179209880019E-06,8.69088490702863E-06,8.94708000913534E-06,1057.53723392698,24,16,276,93,0.5359637,non-canonical: square of degree>1 polynomial
r1k,10,1000,1,1,1,3.14163532491995,1.3582706244563E-05,0.00010281821082121,2.43543974646377E-09,4.45894529452057E-09,23.608645912354,24,3,276,2,0.2968311,canonical A = b + k r^2
r1k,11,1000,1,0,1,null,null,5.28495933028355E-05,3.4517831671856E-05,4.26626485956033E-05,2309.29233196025,24,12,276,30,0.3340725,non-canonical: square of degree>1 polynomial
r1k,12,1000,1,0,1,null,null,2.02003079998591E-05,1.73324504843579E-05,2.19787836945254E-05,1657.51258270207,24,15,276,52,0.3330679,non-canonical: square of degree>1 polynomial
r10k,1,10000,1,1,1,3.14159300378091,1.11469295299538E-07,4.7524029413909E-05,3.75795306516407E-09,2.89460552127445E-09,19.0217162779701,24,3,276,2,0.4591475,canonical A = b + k r^2
r10k,2,10000,1,1,1,3.14161966518143,8.59805665855086E-06,5.84591778960041E-05,3.19738594812974E-09,3.77623683116011E-09,21.7262422865752,24,3,276,2,0.4651067,canonical A = b + k r^2
r10k,3,10000,1,0,1,null,null,2.66696968712143E-06,2.04843930722115E-07,1.20405739699572E-07,122.681365587635,24,9,276,15,0.6904487,non-canonical: square of degree>1 polynomial
r10k,4,10000,1,0,1,null,null,1.0006623572342E-06,7.33706168592235E-07,1.12772444909557E-06,375.453800269692,24,16,276,68,1.0764971,non-canonical: square of degree>1 polynomial
r10k,5,10000,1,0,1,null,null,7.43855885665292E-06,1.30003365105841E-06,2.56496014522174E-06,566.2331835496,24,13,276,35,0.702793,non-canonical: square of degree>1 polynomial
r10k,6,10000,1,1,1,3.14170981633105,3.72940588345863E-05,5.71030619423263E-05,4.82232953111332E-09,6.91162158421522E-09,29.3930722794842,24,3,276,2,0.3169955,canonical A = b + k r^2
r10k,7,10000,1,1,1,3.14170372385699,3.53547641094314E-05,4.30351762505642E-05,5.61375493136413E-09,2.5348782120767E-09,17.8005555112606,24,3,276,2,0.3098384,canonical A = b + k r^2
r10k,8,10000,1,0,1,null,null,4.73319756171598E-05,4.30552494208249E-05,4.9750437128599E-05,2493.75312352183,24,8,276,15,0.3276017,non-canonical: square of degree>1 polynomial
r10k,9,10000,1,1,1,3.14164381008977,1.62836196860884E-05,9.74179209880019E-06,4.65974528041914E-09,5.07566223740839E-09,25.1884453604398,24,3,276,2,0.9595041,canonical A = b + k r^2
r10k,10,10000,1,1,1,3.14161287438867,6.43648018882939E-06,0.00010281821082121,2.89993760203192E-09,4.73991088484225E-09,24.3410940716564,24,3,276,2,0.2836827,canonical A = b + k r^2
r10k,11,10000,1,1,1,3.14168380902247,2.90156753993946E-05,5.28495933028355E-05,4.37687969547753E-09,5.28812981971285E-09,25.710235850033,24,3,276,2,0.3324776,canonical A = b + k r^2
r10k,12,10000,1,1,1,3.14165228881116,1.89824805261168E-05,2.02003079998591E-05,1.71565900040588E-09,2.22989607740797E-09,16.6954188230233,24,3,276,2,0.559625,canonical A = b + k r^2
r50k,1,50000,1,1,1,3.14166108459211,2.17822645587245E-05,4.7524029413909E-05,3.74742256116368E-09,2.18920987003938E-09,16.5424071330373,24,3,276,2,1.2998258,canonical A = b + k r^2
r50k,2,50000,1,1,1,3.14164719761001,1.73619008675221E-05,5.84591778960041E-05,3.11047145238355E-09,3.58944484527034E-09,21.1820821842027,24,3,276,2,0.6749297,canonical A = b + k r^2
r50k,3,50000,1,1,1,3.14163605323309,1.38145355185409E-05,2.66696968712143E-06,3.03301345018716E-09,4.18281813002842E-09,22.8659630510846,24,3,276,2,0.6651048,canonical A = b + k r^2
r50k,4,50000,1,1,1,3.14164531728001,1.67633732400352E-05,1.0006623572342E-06,3.35123111464078E-09,3.52195327962658E-09,20.9819960907821,24,3,276,2,2.3046857,canonical A = b + k r^2
r50k,5,50000,1,1,1,3.14167874518313,2.74038052764643E-05,7.43855885665292E-06,3.99198558133872E-09,3.00021501685396E-09,19.3656106825147,24,3,276,2,0.5646646,canonical A = b + k r^2
r50k,6,50000,1,1,1,3.14174811592079,4.94851968856464E-05,5.71030619423263E-05,3.56766169418802E-09,5.69340829157607E-09,26.6772569138304,24,3,276,2,0.5736082,canonical A = b + k r^2
r50k,7,50000,1,1,1,3.14159725281387,1.46397849182131E-06,4.30351762505642E-05,4.36638194183274E-09,2.69849988120302E-09,18.3660688540199,24,3,276,2,0.5180991,canonical A = b + k r^2
r50k,8,50000,1,1,1,3.14165977478746,2.13653407893538E-05,4.73319756171598E-05,3.50022012139479E-09,2.50599873299357E-09,17.6988655462609,24,3,276,2,0.5482657,canonical A = b + k r^2
r50k,9,50000,1,1,1,3.141660539052,2.16086137474201E-05,9.74179209880019E-06,2.40093747203982E-09,2.30681494216675E-09,16.9809265875205,24,3,276,2,0.5689671,canonical A = b + k r^2
r50k,10,50000,1,1,1,3.14158909579501,1.13248125251414E-06,0.00010281821082121,4.582705234107E-09,6.59573018604424E-09,28.7135207394588,24,3,276,2,0.4666049,canonical A = b + k r^2
r50k,11,50000,1,1,1,3.1416782306394,2.72400209195323E-05,5.28495933028355E-05,3.00985816220362E-09,3.79315051576265E-09,21.7748436152904,24,3,276,2,0.6236003,canonical A = b + k r^2
r50k,12,50000,1,1,1,3.1416378068786,1.43727382222694E-05,2.02003079998591E-05,1.75906883395868E-09,2.44026614144886E-09,17.4652016215416,24,3,276,2,0.5921409,canonical A = b + k r^2
