method,name,family,seed,canonical,structural,operator_recovery,prior_features,auto_simplify,k,pi_error,test_rmse,terms,equation,runtime_s
linreg,linear regression on r,sklearn,1,0,0,0,0,0,,,45744.8207439267,2,A = -186591 + 1742.34*r,0.02071590000014112
poly2,polynomial regression deg-2,sklearn,1,1,1,1,1,0,3.141628567021979,1.1431600511420707e-05,17.757558802755444,3,A = 8.72237 + 3.14163*r^2,0.001252300000487594
lasso_poly2,Lasso on poly-2 features,sklearn,1,1,1,1,1,1,3.141617533783586,7.919611654264169e-06,17.745103403340963,3,A = 7.98773 + 3.14162*r^2,0.0012552999996842118
dtree,decision tree,sklearn,1,0,0,0,0,0,,,6377.735310514827,64,black-box tree leaves=64,0.0006307000003289431
rforest,random forest,sklearn,1,0,0,0,0,0,,,2901.393852380088,100,black-box ensemble,0.09518260000004375
gboost,gradient boosting,sklearn,1,0,0,0,0,0,,,4635.616697806867,100,black-box boosting,0.025082199999815202
mlp_sk,sklearn MLPRegressor (dense),sklearn,1,0,0,0,0,0,,,47657.80734690783,67,black-box MLP weights~=67,0.1937314000006154
linreg,linear regression on r,sklearn,2,0,0,0,0,0,,,54057.04873397028,2,A = -183366 + 1723.17*r,0.000550499999008025
poly2,polynomial regression deg-2,sklearn,2,1,1,1,1,0,3.1415357301809506,1.8119283790009193e-05,21.46827202367272,3,A = 2.14969 + 3.14154*r^2,0.0009691999985079747
lasso_poly2,Lasso on poly-2 features,sklearn,2,1,1,1,1,1,3.1415238233220952,2.1909354677054524e-05,21.50961189081895,3,A = 1.37471 + 3.14152*r^2,0.0010760000004665926
dtree,decision tree,sklearn,2,0,0,0,0,0,,,5417.4857337471585,64,black-box tree leaves=64,0.0005253999988781288
rforest,random forest,sklearn,2,0,0,0,0,0,,,3163.3209091154613,100,black-box ensemble,0.08929340000031516
gboost,gradient boosting,sklearn,2,0,0,0,0,0,,,3853.864777740475,100,black-box boosting,0.026796699999977136
mlp_sk,sklearn MLPRegressor (dense),sklearn,2,0,0,0,0,0,,,61893.7451476093,67,black-box MLP weights~=67,0.11999400000058813
linreg,linear regression on r,sklearn,3,0,0,0,0,0,,,40910.34751499311,2,A = -179135 + 1718.62*r,0.0005280999994283775
poly2,polynomial regression deg-2,sklearn,3,1,1,1,1,0,3.141489227161454,3.2921654633139856e-05,21.80703541114545,3,A = 4.0879 + 3.14149*r^2,0.0009826000004977686
lasso_poly2,Lasso on poly-2 features,sklearn,3,1,1,1,1,1,3.1414776196312983,3.6616446235882545e-05,21.837301998667005,3,A = 3.34503 + 3.14148*r^2,0.0011319999994157115
dtree,decision tree,sklearn,3,0,0,0,0,0,,,6339.28883753367,64,black-box tree leaves=64,0.0018607000001793494
rforest,random forest,sklearn,3,0,0,0,0,0,,,1942.6953221792912,100,black-box ensemble,0.08492970000042988
gboost,gradient boosting,sklearn,3,0,0,0,0,0,,,3583.933454915338,100,black-box boosting,0.024902400000428315
mlp_sk,sklearn MLPRegressor (dense),sklearn,3,0,0,0,0,0,,,50141.43970276757,67,black-box MLP weights~=67,0.159790100000464
linreg,linear regression on r,sklearn,4,0,0,0,0,0,,,42754.08751093458,2,A = -180803 + 1718.45*r,0.0005372000014176592
poly2,polynomial regression deg-2,sklearn,4,1,1,1,1,0,3.1416196837914963,8.603980427509287e-06,20.717507980641685,3,A = 7.19782 + 3.14162*r^2,0.0009630999993532896
lasso_poly2,Lasso on poly-2 features,sklearn,4,1,1,1,1,1,3.1416081058532126,4.91860821019521e-06,20.74148259947594,3,A = 6.45065 + 3.14161*r^2,0.0010645999991538702
dtree,decision tree,sklearn,4,0,0,0,0,0,,,5899.204483667564,64,black-box tree leaves=64,0.0005328000006556977
rforest,random forest,sklearn,4,0,0,0,0,0,,,2400.514950180339,100,black-box ensemble,0.08455710000089312
gboost,gradient boosting,sklearn,4,0,0,0,0,0,,,4113.161622605886,100,black-box boosting,0.026987799999915296
mlp_sk,sklearn MLPRegressor (dense),sklearn,4,0,0,0,0,0,,,122241.0894797246,67,black-box MLP weights~=67,0.011019899999155314
linreg,linear regression on r,sklearn,5,0,0,0,0,0,,,53957.018231212984,2,A = -177877 + 1704.85*r,0.0004927999998471932
poly2,polynomial regression deg-2,sklearn,5,1,1,1,1,0,3.1415948399557645,6.95941903364546e-07,17.996397652055062,3,A = 6.17842 + 3.14159*r^2,0.001240499999767053
lasso_poly2,Lasso on poly-2 features,sklearn,5,1,1,1,1,1,3.141582755975421,3.150508504412278e-06,18.005096735675398,3,A = 5.41251 + 3.14158*r^2,0.001552800000354182
dtree,decision tree,sklearn,5,0,0,0,0,0,,,6943.013160401448,63,black-box tree leaves=63,0.000556999999389518
rforest,random forest,sklearn,5,0,0,0,0,0,,,3848.585356822418,100,black-box ensemble,0.08968970000023546
gboost,gradient boosting,sklearn,5,0,0,0,0,0,,,5084.867305496068,100,black-box boosting,0.023487300000851974
mlp_sk,sklearn MLPRegressor (dense),sklearn,5,0,0,0,0,0,,,150050.27852034578,67,black-box MLP weights~=67,0.008133599998473073
linreg,linear regression on r,sklearn,6,0,0,0,0,0,,,49868.87981275194,2,A = -182658 + 1710.83*r,0.0005012000001443084
poly2,polynomial regression deg-2,sklearn,6,1,1,1,1,0,3.141574783739073,5.688150148962964e-06,23.32486544360706,3,A = 1.91865 + 3.14157*r^2,0.0009609000007912982
lasso_poly2,Lasso on poly-2 features,sklearn,6,1,1,1,1,1,3.1415627579020753,9.516092954989697e-06,23.317516454242234,3,A = 1.1401 + 3.14156*r^2,0.0010751999998319661
dtree,decision tree,sklearn,6,0,0,0,0,0,,,6434.965654517114,64,black-box tree leaves=64,0.0005204000008234289
rforest,random forest,sklearn,6,0,0,0,0,0,,,3123.559222354998,100,black-box ensemble,0.09145960000023479
gboost,gradient boosting,sklearn,6,0,0,0,0,0,,,4471.269879364364,100,black-box boosting,0.0247585999986768
mlp_sk,sklearn MLPRegressor (dense),sklearn,6,0,0,0,0,0,,,54804.58907945482,67,black-box MLP weights~=67,0.0472527000001719
linreg,linear regression on r,sklearn,7,0,0,0,0,0,,,53660.00262994189,2,A = -173960 + 1678.77*r,0.0005689000008715084
poly2,polynomial regression deg-2,sklearn,7,1,1,1,1,0,3.1415612577830734,9.993595663748873e-06,17.45432094339063,3,A = 3.64661 + 3.14156*r^2,0.0009699000002001412
lasso_poly2,Lasso on poly-2 features,sklearn,7,1,1,1,1,1,3.1415498887135116,1.361248290197596e-05,17.487282297447408,3,A = 2.93718 + 3.14155*r^2,0.0010528000002523186
dtree,decision tree,sklearn,7,0,0,0,0,0,,,7237.922785331422,62,black-box tree leaves=62,0.0005255999985820381
rforest,random forest,sklearn,7,0,0,0,0,0,,,3561.8182119348994,100,black-box ensemble,0.08120799999960582
gboost,gradient boosting,sklearn,7,0,0,0,0,0,,,4852.436532048792,100,black-box boosting,0.02596830000038608
mlp_sk,sklearn MLPRegressor (dense),sklearn,7,0,0,0,0,0,,,59733.74657146903,67,black-box MLP weights~=67,0.08218069999929867
linreg,linear regression on r,sklearn,8,0,0,0,0,0,,,46727.4852064132,2,A = -186015 + 1735.2*r,0.0006914999994478421
poly2,polynomial regression deg-2,sklearn,8,1,1,1,1,0,3.141576838145757,5.034212191241155e-06,17.652016163651084,3,A = 6.01703 + 3.14158*r^2,0.0010362000011809869
lasso_poly2,Lasso on poly-2 features,sklearn,8,1,1,1,1,1,3.1415644386961974,8.981079569283971e-06,17.627086182186446,3,A = 5.20066 + 3.14156*r^2,0.0012663999987125862
dtree,decision tree,sklearn,8,0,0,0,0,0,,,5997.209176686676,64,black-box tree leaves=64,0.0005392999992182013
rforest,random forest,sklearn,8,0,0,0,0,0,,,2326.0531693346697,100,black-box ensemble,0.09105129999989003
gboost,gradient boosting,sklearn,8,0,0,0,0,0,,,4001.070184721581,100,black-box boosting,0.025925800000550225
mlp_sk,sklearn MLPRegressor (dense),sklearn,8,0,0,0,0,0,,,48177.20227693091,67,black-box MLP weights~=67,0.02391669999997248
linreg,linear regression on r,sklearn,9,0,0,0,0,0,,,45528.97234992379,2,A = -176946 + 1717.13*r,0.0005115999992995057
poly2,polynomial regression deg-2,sklearn,9,1,1,1,1,0,3.141614748842078,7.033137239801376e-06,16.902856660195216,3,A = 7.77955 + 3.14161*r^2,0.0010934000001725508
lasso_poly2,Lasso on poly-2 features,sklearn,9,1,1,1,1,1,3.141602653172493,3.1829660310106967e-06,16.903379706881676,3,A = 7.01836 + 3.1416*r^2,0.0018709999985730974
dtree,decision tree,sklearn,9,0,0,0,0,0,,,5601.307260688525,64,black-box tree leaves=64,0.000532500000190339
rforest,random forest,sklearn,9,0,0,0,0,0,,,2404.4491252024864,100,black-box ensemble,0.0878381000002264
gboost,gradient boosting,sklearn,9,0,0,0,0,0,,,3845.833933724517,100,black-box boosting,0.024539199999708217
mlp_sk,sklearn MLPRegressor (dense),sklearn,9,0,0,0,0,0,,,49588.7398651836,67,black-box MLP weights~=67,0.09236259999852336
linreg,linear regression on r,sklearn,10,0,0,0,0,0,,,54407.49725825875,2,A = -181850 + 1713.04*r,0.0005512999996426515
poly2,polynomial regression deg-2,sklearn,10,1,1,1,1,0,3.1417159024499597,3.923133065176125e-05,23.81940260058397,3,A = 14.0972 + 3.14172*r^2,0.000976200000877725
lasso_poly2,Lasso on poly-2 features,sklearn,10,1,1,1,1,1,3.1417030402564454,3.513716729816245e-05,23.742708021134103,3,A = 13.2709 + 3.1417*r^2,0.001182100000733044
dtree,decision tree,sklearn,10,0,0,0,0,0,,,6389.739779821017,64,black-box tree leaves=64,0.0005653000007441733
rforest,random forest,sklearn,10,0,0,0,0,0,,,3526.178622511582,100,black-box ensemble,0.090572200000679
gboost,gradient boosting,sklearn,10,0,0,0,0,0,,,4235.986736940952,100,black-box boosting,0.026305600000341656
mlp_sk,sklearn MLPRegressor (dense),sklearn,10,0,0,0,0,0,,,65216.534175402296,67,black-box MLP weights~=67,0.15195700000003853
