task,seed,fidelity_pass,manual_pass,parse_ok,max_abs,mean_abs,manual_max,runtime_s,canonical,notes
area,1,1,1,1,2.22044604925031E-15,1.00999455712427E-15,1.55431223447522E-15,0.4211298,A = 10.9103521108017 + 3.14164618484981 * r^2,exported equation matches network
area,2,1,1,1,3.10862446895044E-15,1.0419905679034E-15,1.77635683940025E-15,0.3125369,A = 15.6220679762183 + 3.14163407369186 * r^2,exported equation matches network
area,3,1,1,1,3.10862446895044E-15,1.15224188215437E-15,2.66453525910038E-15,0.6940001,A = 12.316290631274 + 3.14161779820321 * r^2,exported equation matches network
area,4,1,1,1,3.5527136788005E-15,1.3490366231513E-15,2.22044604925031E-15,0.9539465,A = 9.21645171935034 + 3.14165096404519 * r^2,exported equation matches network
area,5,1,1,1,1.37667655053519E-14,4.74620343027254E-15,1.15463194561016E-14,0.2930441,A = 14.2491554613322 + 3.14165276150006 * r^2,exported equation matches network
area,6,1,1,1,8.43769498715119E-15,3.5527136788005E-15,7.99360577730113E-15,0.3335875,A = -3.695617487115 + 3.14169403606243 * r^2,exported equation matches network
area,7,1,1,1,1.77635683940025E-15,7.31282318650667E-16,1.77635683940025E-15,0.5022383,A = 9.20059844898424 + 3.14165026328409 * r^2,exported equation matches network
area,8,1,1,1,8.88178419700125E-16,2.95673979127602E-16,8.88178419700125E-16,0.3160549,A = 9.74900795702532 + 3.14163352141319 * r^2,exported equation matches network
circle,1,1,1,1,0,0,0,2.5956296,h = 0.39181314392874 + -9.51693738142721*(x-0.5)^2 + -9.51693738142721*(y-0.5)^2,frozen-graph matches network; text parse failed: expected )
circle,2,1,1,1,0,0,0,2.3112309,h = 0.380652724011635 + -9.57948320085481*(x-0.5)^2 + -9.57948320085481*(y-0.5)^2,frozen-graph matches network; text parse failed: expected )
circle,3,1,1,1,0,0,0,2.3119217,h = 0.374944534389917 + -9.48360758198641*(x-0.5)^2 + -9.48360758198641*(y-0.5)^2,frozen-graph matches network; text parse failed: expected )
circle,4,1,1,1,0,0,0,2.3447796,h = 0.404027361090207 + -9.70738385308375*(x-0.5)^2 + -9.70738385308375*(y-0.5)^2,frozen-graph matches network; text parse failed: expected )
circle,5,1,1,1,0,0,0,2.3946368,h = 0.409749854947163 + -9.68187545474149*(x-0.5)^2 + -9.68187545474149*(y-0.5)^2,frozen-graph matches network; text parse failed: expected )
